MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-08-30,451.03,629.49,1321.04,502.8,547.83,311.98
2018-08-31,593.53,888.24,1798.6,426.01,601.99,333.47
2018-09-01,870.48,1166.85,2501.42,417.63,656.15,354.97
2018-09-02,480.93,1089.43,1826.53,558.95,710.31,376.46
2018-09-03,485.98,873.81,1618.94,734.72,661.57,346.79
2018-09-04,126.38,369.89,563.6,872.49,456.0,272.4
2018-09-05,77.18,377.21,495.64,1126.97,418.1,224.9
2018-09-06,176.6,588.1,859.05,832.85,332.7,171.6
2018-09-07,150.35,602.75,833.75,835.8,258.3,90.5
2018-09-08,540.85,1064.8,1894.45,539.8,164.7,88.0
2018-09-09,200.85,788.25,1096.1,910.2,165.6,96.4
2018-09-10,418.5,913.95,1555.85,795.1,259.4,109.7
2018-09-11,343.65,751.8,1278.45,748.9,202.6,100.0
2018-09-12,587.95,648.5,1549.95,682.6,199.7,104.6
2018-09-13,987.8,962.95,2477.6,480.15,285.5,143.2
2018-09-14,518.0,1076.6,1870.75,549.5,219.0,83.3
2018-09-15,484.7,991.45,1734.6,636.9,225.1,128.2
2018-09-16,355.45,1089.65,1634.45,766.3,200.3,112.1
2018-09-17,401.35,1200.85,1816.05,911.3,258.6,134.0
2018-09-18,276.55,724.55,1148.25,1024.2,336.6,151.6
2018-09-19,335.8,679.35,1194.3,898.85,274.5,154.0
2018-09-20,338.35,688.95,1208.3,945.8,272.5,160.0
2018-09-21,248.28,520.5,901.28,945.4,153.1,66.0
2018-09-22,413.05,836.25,1469.85,604.25,191.6,111.6
2018-09-23,127.05,374.85,569.75,921.95,126.0,77.4
2018-09-24,859.5,840.85,2158.45,556.9,273.1,113.4
2018-09-25,2661.09,1655.82,5735.85,355.9,318.2,181.7
2018-09-26,2554.89,1878.18,5795.44,317.25,363.5,177.3
2018-09-27,2024.07,1645.83,4749.38,496.89,392.2,185.4
2018-09-28,1293.6,1045.84,3029.61,758.91,270.0,102.6
2018-09-29,1428.48,1144.95,3335.35,636.78,427.0,198.8
2018-09-30,627.67,706.16,1668.63,889.0,266.7,171.0
2018-10-01,254.67,569.92,960.59,936.41,240.2,88.2
2018-10-02,199.95,439.8,746.02,893.15,234.5,69.6
2018-10-03,695.68,749.03,1815.55,460.05,302.0,97.7
2018-10-04,576.43,761.08,1644.93,319.1,308.0,184.5
2018-10-05,802.82,1129.98,2361.12,349.85,607.8,368.7
2018-10-06,250.45,382.67,766.75,888.8,265.8,173.9
2018-10-07,400.25,651.08,1264.88,768.85,185.4,92.1
2018-10-08,846.65,1215.65,2513.83,412.25,177.9,97.6
2018-10-09,1120.18,1373.15,3090.6,475.35,312.0,183.5
2018-10-10,966.22,1298.35,2779.58,394.95,857.3,567.3
2018-10-11,444.3,1033.5,1714.75,654.45,299.7,163.8
2018-10-12,262.1,638.25,1040.1,1054.35,297.2,114.3
2018-10-13,304.65,758.12,1225.1,880.05,260.1,143.1
2018-10-14,70.72,226.92,334.58,1206.55,85.5,43.3
2018-10-15,186.0,599.5,884.35,665.3,198.9,131.3
2018-10-16,658.87,972.97,1983.38,380.3,408.5,279.0
2018-10-17,678.28,1024.65,2064.52,216.1,295.8,164.0
2018-10-18,228.37,607.62,957.67,471.25,352.5,200.4
2018-10-19,1375.95,1068.38,3178.32,323.75,434.7,242.5
2018-10-20,1761.92,1249.72,3951.62,205.45,565.6,398.6
2018-10-21,781.37,652.15,1849.92,505.75,356.3,256.6
2018-10-22,596.78,774.35,1689.35,724.4,426.4,192.1
2018-10-23,408.38,726.65,1352.65,562.25,355.1,162.0
2018-10-24,402.0,704.15,1320.5,440.05,400.8,201.3
2018-10-25,261.2,696.47,1097.3,659.25,378.0,229.3
2018-10-26,185.95,671.08,956.32,804.65,159.7,74.8
2018-10-27,87.28,285.73,419.15,1008.05,123.6,58.4
2018-10-28,66.97,182.8,285.2,1182.45,107.1,53.0
2018-10-29,202.55,396.7,707.07,835.5,133.3,67.6
2018-10-30,290.38,651.5,1096.75,529.45,277.5,152.4
2018-10-31,1673.62,1189.22,3755.2,243.1,481.8,299.7
2018-11-01,1006.22,1207.12,2750.05,114.35,321.2,235.1
2018-11-02,1332.98,1345.82,3389.62,280.35,438.3,280.4
2018-11-03,1002.72,1420.63,2958.5,415.95,310.0,211.9
2018-11-04,591.48,1214.12,2120.92,460.85,443.4,313.6
2018-11-05,1501.1,1184.9,3486.73,62.35,1036.9,726.1
2018-11-06,1269.82,1108.25,3055.25,260.42,470.4,341.8
2018-11-07,494.0,922.4,1680.28,678.65,152.2,78.2
2018-11-08,715.95,1252.5,2350.4,595.3,263.3,125.2
2018-11-09,576.48,946.05,1829.65,679.2,242.0,136.3
2018-11-10,630.1,1307.22,2273.68,630.9,236.5,128.8
2018-11-11,534.5,1288.22,2107.42,569.45,178.5,92.8
2018-11-12,805.8,1443.08,2678.78,490.45,241.4,122.8
2018-11-13,733.32,1294.57,2419.3,611.9,257.3,123.7
2018-11-14,1075.25,1365.6,3014.2,464.75,289.4,165.4
2018-11-15,1323.88,1183.9,3213.95,129.65,544.9,388.1
2018-11-16,868.25,984.02,2315.52,90.65,368.8,266.7
2018-11-17,375.68,1018.08,1594.25,147.88,599.7,438.0
2018-11-18,193.3,672.5,968.92,545.7,487.9,308.9
2018-11-19,153.85,447.9,683.72,878.0,242.5,116.0
2018-11-20,205.58,684.12,999.8,598.77,315.5,230.7
2018-11-21,1375.52,1233.57,3342.5,147.5,546.1,428.0
2018-11-22,1910.3,1324.63,4253.47,33.7,1193.3,859.1
2018-11-23,1006.72,1251.75,2795.25,46.85,980.2,740.6
2018-11-24,284.33,1015.4,1451.07,271.4,711.9,529.8
2018-11-25,104.45,623.22,783.68,469.1,478.4,364.1
2018-11-26,321.12,753.38,1245.65,459.35,331.5,223.3
2018-11-27,1026.33,1137.18,2710.82,203.35,354.1,276.3
2018-11-28,406.15,1089.62,1712.18,726.45,195.6,112.9
2018-11-29,247.9,829.2,1209.0,969.3,188.2,102.8
2018-11-30,635.9,1259.25,2234.0,543.05,253.9,128.2
2018-12-01,503.22,1207.18,1978.73,556.2,128.2,70.4
2018-12-02,191.25,561.28,854.72,902.1,63.7,33.8
2018-12-03,273.55,774.78,1194.28,798.25,252.1,147.7
2018-12-04,1683.68,1454.9,4036.6,133.2,293.0,150.4
2018-12-05,868.4,1140.25,2472.0,437.75,173.7,115.9
2018-12-06,395.88,992.53,1599.2,592.2,134.9,76.1
2018-12-07,159.5,506.62,751.15,1160.95,124.3,66.2
2018-12-08,122.4,393.82,581.65,1370.85,211.4,127.1
2018-12-09,81.43,346.2,470.8,1249.55,140.6,81.9
2018-12-10,195.15,834.45,1133.85,540.1,269.4,125.0
2018-12-11,2619.12,1556.7,5572.52,51.2,539.8,316.1
2018-12-12,848.88,1268.27,2569.83,282.35,372.9,262.2
2018-12-13,811.22,1108.6,2352.38,189.12,484.8,329.0
2018-12-14,2465.07,1489.52,5269.32,89.6,743.7,493.2
2018-12-15,627.08,974.72,1936.25,442.35,428.2,337.3
2018-12-16,922.45,1545.62,2960.38,474.6,239.0,120.5
2018-12-17,1120.18,1445.3,3162.78,445.15,253.5,131.1
2018-12-18,396.05,902.42,1509.62,869.6,197.9,116.5
