MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-07-07,436.72,1029.58,1519.96,314.4,696.75,389.5
2018-07-08,447.68,1006.86,1507.2,314.4,471.88,227.45
2018-07-09,648.89,1058.71,1890.01,314.4,462.9,198.9
2018-07-10,584.34,582.62,1269.51,314.4,362.85,170.5
2018-07-11,647.53,734.86,1526.05,314.4,443.05,193.15
2018-07-12,695.55,1061.18,1955.51,314.4,528.55,200.65
2018-07-13,645.58,1030.93,1850.5,314.4,470.95,214.3
2018-07-14,429.66,832.75,1339.71,314.4,417.6,210.4
2018-07-15,415.67,860.8,1329.25,314.4,385.7,212.8
2018-07-16,660.11,1066.74,1942.5,314.4,376.35,176.65
2018-07-17,833.56,810.19,1920.44,314.4,301.4,142.9
2018-07-18,645.03,822.48,1670.7,314.4,320.75,139.8
2018-07-19,588.02,1050.64,1814.72,314.4,365.75,155.85
2018-07-20,464.67,858.18,1452.72,314.4,394.4,205.5
2018-07-21,480.42,980.65,1586.75,314.4,480.25,285.55
2018-07-22,484.92,784.31,1373.0,314.4,386.4,198.45
2018-07-23,560.91,728.59,1469.14,314.4,337.0,165.5
2018-07-24,735.23,873.21,1883.39,314.4,374.5,198.15
2018-07-25,664.03,1044.51,1907.55,314.4,481.05,203.55
2018-07-26,642.79,1017.87,1876.26,314.4,636.48,327.85
2018-07-27,524.83,922.42,1589.58,314.4,475.45,245.85
2018-07-28,450.62,363.78,890.62,314.4,363.78,132.75
2018-07-29,350.62,269.6,622.65,314.4,258.98,100.55
2018-07-30,456.35,349.92,922.5,314.4,253.45,130.0
2018-07-31,618.36,579.6,1398.09,314.4,311.42,147.75
2018-08-01,647.14,700.14,1557.4,314.4,305.65,136.9
2018-08-02,645.19,875.39,1724.19,314.4,344.65,173.4
2018-08-03,624.41,1063.59,1866.26,314.4,445.98,222.65
2018-08-04,442.54,663.92,1145.45,314.4,329.18,156.15
2018-08-05,440.04,791.63,1297.6,314.4,327.8,148.9
2018-08-06,538.87,990.54,1695.16,314.4,408.32,214.6
2018-08-07,610.05,1012.11,1816.56,314.4,436.75,214.2
2018-08-08,753.93,1020.54,2017.64,314.4,364.12,135.78
2018-08-09,801.32,1047.33,2151.02,314.4,321.08,127.19
2018-08-10,668.55,869.38,1776.55,314.4,279.92,173.16
2018-08-11,637.49,892.12,1756.21,314.4,285.35,154.2
2018-08-12,599.21,823.9,1594.74,314.4,239.6,124.2
2018-08-13,705.06,895.49,1792.02,314.4,340.55,174.6
2018-08-14,738.21,912.38,1877.17,314.4,304.75,154.8
2018-08-15,753.58,870.62,1875.14,314.4,299.55,163.35
2018-08-16,805.94,892.31,2010.89,314.4,312.3,158.5
2018-08-17,829.35,916.88,2056.64,314.4,314.55,159.95
2018-08-18,580.0,528.37,1265.71,314.4,319.1,165.5
2018-08-19,477.16,415.94,972.38,314.4,290.08,156.9
2018-08-20,811.56,718.61,1814.84,314.4,296.2,167.55
2018-08-21,621.73,680.55,1492.55,314.4,230.95,130.95
2018-08-22,792.69,650.71,1738.8,314.4,297.8,177.85
2018-08-23,734.41,655.11,1611.6,314.4,304.45,172.9
2018-08-24,927.26,756.52,2012.45,314.4,281.8,150.45
2018-08-25,777.76,754.96,1791.65,314.4,350.85,196.9
