MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-10-20,1978.3,1681.75,4715.53,790.45,553.0
2018-10-21,890.03,1077.18,2441.85,496.05,408.0
2018-10-22,928.9,1062.6,2486.62,441.85,269.0
2018-10-23,1266.42,1335.65,3277.55,536.7,311.0
2018-10-24,1669.85,1451.12,4011.6,627.45,356.0
2018-10-25,1637.08,1510.72,4020.85,547.75,341.0
2018-10-26,1162.62,1312.55,3095.35,336.75,190.0
2018-10-27,545.15,810.75,1646.82,188.0,151.0
2018-10-28,155.12,515.45,753.25,155.75,130.0
2018-10-29,843.2,1020.6,2313.32,206.7,122.0
2018-10-30,1203.21,1154.66,2999.45,409.8,225.0
2018-10-31,1586.98,1540.85,3974.35,555.9,298.0
2018-11-01,2630.7,1762.5,5796.68,464.55,354.0
2018-11-02,2794.2,2018.5,6302.98,733.55,435.0
2018-11-03,992.0,1336.15,2857.4,563.65,310.0
2018-11-04,721.88,1030.6,2137.22,611.35,433.0
2018-11-05,1603.7,1317.72,3776.7,956.05,715.0
2018-11-06,1531.98,1302.88,3651.7,695.05,481.0
2018-11-07,1057.12,976.92,2597.88,301.5,230.0
2018-11-08,1150.3,1333.2,3096.88,548.45,263.0
2018-11-09,910.95,1043.35,2439.85,451.3,262.0
2018-11-10,1141.87,1298.08,3048.95,456.25,261.0
2018-11-11,614.3,891.5,1833.63,345.45,216.0
2018-11-12,1407.0,1446.22,3603.47,406.05,271.0
2018-11-13,1152.2,1237.53,3004.15,545.1,284.0
2018-11-14,1644.35,1647.75,4169.02,609.3,337.0
2018-11-15,1902.48,1427.46,4344.58,836.35,564.5
2018-11-16,797.1,923.05,2145.4,397.25,290.0
2018-11-17,508.1,1043.32,1822.38,591.6,479.0
2018-11-18,270.9,863.38,1278.8,506.5,333.0
2018-11-19,255.72,616.25,1008.35,225.7,109.0
2018-11-20,447.28,933.95,1619.72,348.5,283.0
2018-11-21,1659.85,1544.6,4089.87,607.53,506.0
2018-11-22,4668.06,1988.12,9146.05,1219.65,1083.5
2018-11-23,2251.27,1412.19,4864.41,956.2,829.0
2018-11-24,1529.55,1244.73,3590.06,784.7,628.0
2018-11-25,1100.45,944.62,2631.81,542.9,430.0
2018-11-26,1479.81,1272.31,3541.24,499.98,277.0
2018-11-27,1399.81,1211.25,3357.06,436.35,290.0
2018-11-28,635.82,770.38,1745.17,313.1,160.0
2018-11-29,589.3,811.42,1715.28,383.0,156.0
2018-11-30,995.18,1098.52,2624.5,500.1,162.0
2018-12-01,693.05,940.7,2003.32,254.02,87.0
2018-12-02,261.3,370.0,770.75,155.25,83.0
2018-12-03,703.87,933.85,2012.95,432.25,185.0
2018-12-04,2531.0,1866.32,5747.2,710.3,241.0
2018-12-05,1189.88,1180.28,3004.92,306.7,184.0
2018-12-06,708.85,808.75,1895.62,309.3,146.0
2018-12-07,566.62,670.2,1538.83,226.35,91.0
2018-12-08,344.03,463.28,990.85,362.5,153.0
2018-12-09,438.5,680.18,1352.82,263.15,128.0
2018-12-10,1595.35,1577.22,4023.25,555.7,233.0
2018-12-11,2798.1,1901.02,6191.3,858.7,451.0
2018-12-12,916.03,1319.9,2724.18,602.53,347.5
2018-12-13,889.95,1169.8,2534.22,536.1,373.0
2018-12-14,2617.62,1903.48,5917.38,897.6,526.0
2018-12-15,718.85,913.0,2015.43,514.1,316.0
2018-12-16,906.58,1225.35,2615.57,339.95,128.0
2018-12-17,1187.35,1347.15,3167.75,439.1,177.0
2018-12-18,719.88,958.42,2061.91,413.9,181.5
2018-12-19,1153.05,1515.02,3283.12,298.2,118.0
2018-12-20,771.72,1007.88,2191.08,399.35,128.0
2018-12-21,509.7,676.88,1458.52,463.9,187.0
2018-12-22,615.35,832.32,1776.07,452.4,184.0
