MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2019-01-28,295.25,895.55,1348.55,397.5
2019-01-29,353.5,1150.25,1692.5,398.0
2019-01-30,671.85,1296.25,2326.6,397.0
2019-01-31,2060.55,1397.05,4556.45,608.0
2019-02-01,261.5,799.7,1200.75,318.5
2019-02-02,136.35,591.0,800.05,362.5
2019-02-03,256.8,836.95,1230.5,362.0
2019-02-04,451.7,868.55,1561.1,263.5
2019-02-05,372.4,887.45,1458.25,263.0
2019-02-06,242.3,904.1,1275.6,271.0
2019-02-07,62.8,437.45,533.55,284.0
2019-02-08,53.5,342.55,424.8,259.0
2019-02-09,43.5,293.35,360.0,333.5
2019-02-10,68.05,483.35,587.55,151.5
2019-02-11,292.25,1009.8,1458.25,356.0
2019-02-12,217.95,1042.35,1376.95,414.0
2019-02-13,214.25,911.0,1239.35,523.5
2019-02-14,1597.57,1521.8,3970.92,787.75
2019-02-15,1629.2,1587.5,4085.65,990.0
2019-02-16,155.7,915.35,1154.0,691.0
2019-02-17,181.7,764.1,1042.65,697.5
2019-02-18,117.25,815.4,995.25,413.0
2019-02-19,108.45,644.65,811.1,451.5
2019-02-20,92.95,614.05,756.4,427.5
2019-02-21,101.0,768.2,923.3,540.5
2019-02-22,614.85,1202.95,2145.8,748.5
2019-02-23,653.35,1072.95,2074.6,769.0
2019-02-24,1080.6,1484.65,3141.65,1007.5
2019-02-25,1723.35,1840.05,4482.45,1207.5
2019-02-26,2245.75,2174.3,5617.7,1381.0
2019-02-27,1790.15,1992.1,4737.25,1389.5
2019-02-28,148.55,1045.55,1273.5,685.0
2019-03-01,200.35,915.2,1222.5,660.0
2019-03-02,69.3,462.9,569.25,365.5
2019-03-03,26.0,244.2,284.3,252.0
2019-03-04,78.3,486.7,606.7,236.0
2019-03-05,94.8,543.75,689.2,298.0
2019-03-06,87.75,437.5,572.05,353.5
2019-03-07,58.58,415.83,505.52,294.75
2019-03-08,130.15,651.05,850.9,288.0
2019-03-09,44.85,382.2,451.25,463.5
2019-03-10,41.3,331.45,394.55,215.0
2019-03-11,68.0,424.05,528.55,327.5
2019-03-12,59.8,450.4,541.9,223.5
2019-03-13,58.6,370.85,461.1,395.0
2019-03-14,54.0,407.95,490.6,289.0
2019-03-15,56.6,366.6,453.25,163.0
2019-03-16,31.05,207.2,254.65,254.5
2019-03-17,55.0,389.4,473.7,158.5
2019-03-18,160.2,909.0,1154.8,345.0
2019-03-19,186.85,952.3,1238.8,372.0
2019-03-20,99.6,656.7,809.65,303.0
2019-03-21,243.0,863.05,1235.4,356.0
2019-03-22,113.05,639.85,813.35,367.0
2019-03-23,161.8,812.75,1060.7,469.5
2019-03-24,105.6,719.6,881.25,442.5
2019-03-25,127.75,615.8,811.45,443.0
2019-03-26,406.75,1323.05,1946.85,651.5
2019-03-27,234.4,1096.55,1456.05,492.0
2019-03-28,247.75,1123.95,1503.85,597.5
2019-03-29,769.02,1374.6,2553.47,1018.0
2019-03-30,732.75,1310.25,2434.1,1188.0
2019-03-31,73.85,392.85,505.9,678.0
2019-04-01,152.1,589.9,823.15,521.5
2019-04-02,153.75,996.35,1231.95,605.0
