MeasurementDateGMT,Enfield - Prince of Wales School: Nitric Oxide (ug/m3),Enfield - Prince of Wales School: Nitrogen Dioxide (ug/m3),Enfield - Prince of Wales School: Oxides of Nitrogen (ug/m3)
2018-06-22,29.3,323.70000000000005,369.1000000000001
2018-06-23,79.19999999999999,494.3999999999999,615.9999999999999
2018-06-24,82.59999999999997,486.79999999999995,613.2000000000002
2018-06-25,149.79999999999998,558.1000000000001,787.6
2018-06-26,111.79999999999998,584.7999999999998,756.0999999999998
2018-06-27,31.8,362.0,410.50000000000006
2018-06-28,24.800000000000004,325.9,364.00000000000006
2018-06-29,23.100000000000005,285.69999999999993,320.8
2018-06-30,17.700000000000003,247.6,274.70000000000005
2018-07-01,18.1,397.9000000000001,426.00000000000006
2018-07-02,26.100000000000005,428.99999999999994,469.00000000000006
2018-07-03,27.499999999999996,397.20000000000005,439.40000000000015
2018-07-04,36.6,499.79999999999995,556.0000000000001
2018-07-05,171.29999999999998,578.5999999999999,840.9000000000001
2018-07-06,38.29999999999998,490.6000000000001,549.0
2018-07-07,48.30000000000001,467.79999999999995,541.7999999999998
2018-07-08,19.5,417.0,446.6000000000001
2018-07-09,146.3,577.0999999999998,801.2
2018-07-10,32.4,261.1,310.6
2018-07-11,21.700000000000003,264.29999999999995,297.70000000000005
2018-07-12,26.89999999999999,352.00000000000006,392.5999999999999
2018-07-13,44.1,427.2,494.59999999999997
2018-07-14,30.500000000000004,567.1,614.4
2018-07-15,164.50000000000003,651.9999999999999,904.0999999999999
2018-07-16,89.2,556.6999999999999,693.4
2018-07-17,18.400000000000002,228.70000000000005,256.9
2018-07-18,45.10000000000001,567.2,636.0999999999999
2018-07-19,258.29999999999995,838.4,1234.6
2018-07-20,130.9,883.0,1083.6999999999998
2018-07-21,31.3,463.59999999999997,511.69999999999993
2018-07-22,103.5,527.4999999999999,686.0
2018-07-23,419.6,656.0000000000001,1299.3000000000002
2018-07-24,35.7,435.6,490.1999999999999
2018-07-25,36.900000000000006,502.6000000000001,558.8
2018-07-26,81.79999999999998,730.3,855.8
2018-07-27,102.29999999999998,870.2999999999998,1027.0
2018-07-28,32.8,213.89999999999995,263.7
2018-07-29,82.39999999999999,265.7,391.50000000000006
2018-07-30,92.30000000000001,298.1,439.5000000000001
2018-07-31,40.699999999999996,323.90000000000003,386.6000000000001
2018-08-01,72.30000000000001,500.5,611.6000000000001
2018-08-02,165.8,600.9000000000001,855.1000000000001
2018-08-03,369.4999999999999,562.4000000000001,1128.9
2018-08-04,38.099999999999994,282.79999999999995,341.09999999999997
2018-08-05,75.49999999999999,356.2,472.4000000000001
2018-08-06,202.7,764.4000000000001,1074.8999999999999
2018-08-07,250.6,787.9000000000002,1172.4
2018-08-08,13.5,188.70000000000005,209.6
2018-08-09,137.69999999999996,546.3000000000001,757.7
2018-08-10,113.20000000000005,429.24999999999994,602.1
2018-08-11,250.89999999999998,370.8,755.3000000000001
2018-08-12,42.0,241.79999999999998,305.7000000000001
2018-08-13,25.3,237.19999999999993,275.90000000000003
2018-08-14,39.30000000000001,223.3,282.9
2018-08-15,34.599999999999994,270.2,323.3
2018-08-16,89.8,361.90000000000003,499.59999999999997
2018-08-17,294.0,277.3,728.4000000000001
2018-08-18,31.400000000000002,232.00000000000003,279.7
2018-08-19,20.9,142.20000000000005,174.30000000000004
2018-08-20,34.7,297.7,350.49999999999994
2018-08-21,35.5,386.9,441.40000000000003
2018-08-22,65.19999999999999,431.59999999999997,531.5
2018-08-23,36.9,257.79999999999995,313.89999999999986
2018-08-24,18.899999999999995,125.8,155.29999999999998
2018-08-25,273.8,308.09999999999997,728.2
2018-08-26,594.2,386.2999999999999,1298.2999999999997
2018-08-27,13.0,135.0,155.20000000000002
2018-08-28,389.20000000000005,674.1999999999999,1270.8999999999999
2018-08-29,308.00000000000006,467.5,940.0999999999999
2018-08-30,195.70000000000005,431.20000000000005,731.5999999999999
2018-08-31,134.1,534.3000000000001,739.8000000000001
2018-09-01,428.09999999999997,595.6,1251.8999999999999
2018-09-02,202.5,584.5999999999999,894.7999999999998
2018-09-03,438.70000000000005,785.4000000000001,1458.3
2018-09-04,86.29999999999995,380.09999999999997,512.6999999999999
2018-09-05,25.300000000000004,347.9,386.40000000000003
2018-09-06,65.60000000000002,398.6000000000001,499.50000000000006
2018-09-07,25.3,257.7,296.90000000000003
2018-09-08,129.9,531.1,730.0999999999997
2018-09-09,18.300000000000004,197.70000000000002,225.59999999999994
2018-09-10,38.099999999999994,266.8,325.0
2018-09-11,35.5,262.7,317.0
2018-09-12,536.2,372.50000000000006,1194.4
2018-09-13,1522.0500000000004,577.7,2911.55
2018-09-14,148.00000000000003,484.1999999999999,710.7999999999997
2018-09-15,87.2,359.7,493.29999999999995
2018-09-16,22.500000000000004,374.9000000000001,409.59999999999997
2018-09-17,43.1,604.7,670.8
2018-09-18,20.500000000000007,310.0,341.4
2018-09-19,29.4,281.9,326.90000000000003
2018-09-20,43.9,369.5,436.29999999999995
2018-09-21,14.300000000000002,150.0,171.3
2018-09-22,46.099999999999994,321.40000000000003,392.09999999999997
2018-09-23,128.1,319.3,516.1
2018-09-24,1065.3999999999999,651.7,2284.6000000000004
2018-09-25,1299.8999999999996,1015.6999999999999,3008.8
2018-09-26,1463.9,1142.6,3387.6
2018-09-27,1213.8000000000002,1197.1,3058.300000000001
2018-09-28,101.3,485.29999999999995,641.0
2018-09-29,1155.5,920.4000000000001,2692.2999999999997
2018-09-30,742.4999999999998,483.39999999999986,1622.3000000000002
2018-10-01,38.900000000000006,419.5,479.50000000000006
2018-10-02,28.0,302.20000000000005,345.1
2018-10-03,1200.8000000000002,659.3,2500.7
2018-10-04,471.4,729.4,1452.9999999999995
2018-10-05,1102.8,1045.8,2737.1
2018-10-06,499.9000000000001,338.50000000000006,1104.9000000000005
2018-10-07,285.0,535.3,972.3999999999999
2018-10-08,959.8790697674422,1187.6302325581394,2661.3976744186048
2018-10-09,998.4348837209303,1137.2162790697676,2670.5372093023257
2018-10-10,841.374418604651,1021.6813953488371,2313.886046511628
2018-10-11,684.3139534883719,906.1465116279069,1957.2348837209302
2018-10-12,527.2534883720933,790.6116279069769,1600.5837209302326
2018-10-13,370.1930232558142,675.0767441860465,1243.9325581395349
2018-10-14,213.13255813953492,559.5418604651162,887.2813953488372
2018-10-15,85.26860465116286,468.64534883720927,599.6965116279071
2018-10-16,200.10000000000005,549.1000000000001,855.7
2018-10-17,367.6,707.6999999999999,1270.7999999999997
2018-10-18,162.5,579.6999999999999,828.7999999999998
2018-10-19,1673.2,813.1999999999999,3379.0
2018-10-20,2268.7999999999997,904.9999999999998,4383.6
2018-10-21,860.7,578.3,1898.2
2018-10-22,568.6999999999999,688.6,1560.7
2018-10-23,172.90000000000006,540.9999999999999,806.0
2018-10-24,102.5,622.3000000000001,779.1999999999999
2018-10-25,406.49999999999994,607.9,1230.8999999999996
2018-10-26,31.099999999999998,438.4,486.1
2018-10-27,30.499999999999996,269.90000000000003,316.4000000000001
2018-10-28,28.499999999999993,287.29999999999995,331.50000000000006
2018-10-29,130.7,546.8,747.7
2018-10-30,98.5,524.3,675.5
2018-10-31,1785.6,934.3,3671.4999999999995
2018-11-01,522.5,724.6,1525.3
2018-11-02,2767.9000000000005,944.0000000000001,5188.299999999999
2018-11-03,934.6999999999999,791.4999999999999,2225.0000000000005
2018-11-04,113.1,550.6,723.8
2018-11-05,1328.0000000000002,659.4,2696.1000000000004
2018-11-06,566.1,545.5999999999999,1413.6000000000004
2018-11-07,99.60000000000001,476.50000000000006,629.6
2018-11-08,175.50000000000003,730.6000000000001,999.6
2018-11-09,166.45,482.44999999999993,737.5500000000001
2018-11-10,129.8,636.4999999999999,835.0000000000001
2018-11-11,81.1,509.2,633.6999999999999
2018-11-12,242.39999999999998,860.7,1232.7999999999997
2018-11-13,171.2,786.5,1049.0
2018-11-14,337.6,925.1999999999999,1442.6999999999998
2018-11-15,546.9000000000001,649.3,1487.6999999999996
2018-11-16,299.80000000000007,450.0,909.5
2018-11-17,386.90000000000003,702.6,1295.9999999999998
2018-11-18,97.0,582.5999999999999,731.2999999999998
2018-11-19,71.99999999999999,423.99999999999994,534.3000000000001
2018-11-20,127.8,509.9,705.8
2018-11-21,813.3000000000001,643.3000000000001,1890.6999999999996
2018-11-22,2142.4999999999995,781.9999999999999,4067.0
2018-11-23,664.5999999999999,770.25,1788.8500000000001
2018-11-24,170.9,698.9000000000002,961.3000000000001
2018-11-25,68.39999999999999,473.79999999999995,578.5999999999999
2018-11-26,248.0,684.5999999999999,1064.8
2018-11-27,654.4000000000001,670.1000000000001,1673.6999999999998
2018-11-28,190.0,938.1,1228.8
2018-11-29,97.69999999999996,544.7,694.9000000000001
2018-11-30,62.00000000000001,674.1,769.4
2018-12-01,58.800000000000004,582.9,673.2
2018-12-02,20.500000000000004,276.09999999999997,307.59999999999997
2018-12-03,59.10000000000001,456.9,548.0
2018-12-04,2307.0999999999995,1082.9,4619.999999999999
2018-12-05,252.69999999999996,781.9999999999999,1169.7999999999997
2018-12-06,42.0,524.2000000000002,589.1
2018-12-07,29.399999999999995,316.40000000000003,361.19999999999993
2018-12-08,15.2,175.59999999999994,198.8
2018-12-09,21.1,211.6,244.3
2018-12-10,240.00000000000003,769.9999999999999,1138.1
2018-12-11,2948.3,1082.6000000000001,5603.6
2018-12-12,241.79999999999998,775.3499999999999,1146.2500000000002
2018-12-13,865.1999999999999,907.4000000000001,2234.3
2018-12-14,1412.4,1005.9,3171.9000000000005
2018-12-15,93.89999999999998,510.5,654.6999999999999
2018-12-16,175.99999999999997,825.4,1094.8999999999999
2018-12-17,290.0,875.5,1320.0
2018-12-18,87.7,470.80000000000007,605.4
2018-12-19,202.49999999999997,1006.3999999999999,1317.6
2018-12-20,137.8,795.1999999999999,1006.4
2018-12-21,39.199999999999996,386.5,446.49999999999994
2018-12-22,27.7,421.5,464.2
2018-12-23,81.50000000000003,562.8,688.3000000000001
2018-12-24,1739.6000000000001,898.2,3566.2000000000003
2018-12-25,2409.3999999999996,899.4,4593.8
2018-12-26,585.3000000000001,783.2999999999998,1681.1000000000001
2018-12-27,5008.0999999999985,1141.7,8820.5
2018-12-28,2328.7000000000003,816.7000000000002,4387.599999999999
2018-12-29,246.70000000000002,518.0,896.3999999999999
2018-12-30,202.1,438.3000000000001,747.8000000000001
2018-12-31,15.1,204.7,227.60000000000005
2019-01-01,17.700000000000003,270.80000000000007,297.3999999999999
2019-01-02,55.2,731.5999999999999,816.4
2019-01-03,102.49999999999999,912.3999999999999,1070.0
2019-01-04,439.69999999999993,975.5,1649.4999999999993
2019-01-05,36.800000000000004,608.6000000000001,664.9
