MeasurementDateGMT,Sutton - Wallington: Nitric Oxide (ug/m3),Sutton - Wallington: Nitrogen Dioxide (ug/m3),Sutton - Wallington: Oxides of Nitrogen (ug/m3),Sutton - Wallington: PM10 Particulate (ug/m3)
2020-05-20,914.0318181818182,1479.9681818181818,2881.909090909091,360.0
2020-05-21,905.959090909091,1468.840909090909,2858.3454545454542,477.0
2020-05-22,897.8863636363636,1457.7136363636366,2834.781818181818,590.0
2020-05-23,889.8136363636363,1446.5863636363638,2811.218181818182,450.0
2020-05-24,881.7409090909091,1435.4590909090907,2787.6545454545458,416.0
2020-05-25,873.6681818181819,1424.3318181818183,2764.090909090909,427.0
2020-05-26,865.5954545454546,1413.2045454545453,2740.5272727272727,463.0
2020-05-27,857.5227272727274,1402.0772727272729,2716.9636363636364,448.0
2020-05-28,849.4499999999999,1390.9499999999998,2693.4000000000005,339.0
2020-05-29,841.3772727272727,1379.8227272727274,2669.836363636364,417.0
2020-05-30,833.3045454545454,1368.6954545454546,2646.2727272727275,505.0
2020-05-31,825.2318181818182,1357.568181818182,2622.709090909091,381.0
2020-06-01,817.159090909091,1346.4409090909091,2599.145454545455,408.0
2020-06-02,809.0863636363636,1335.313636363636,2575.581818181818,483.0
2020-06-03,801.0136363636365,1324.1863636363637,2552.018181818182,518.0
2020-06-04,792.9409090909091,1313.0590909090909,2528.454545454546,329.0
2020-06-05,784.8681818181819,1301.9318181818182,2504.890909090909,301.0
2020-06-06,776.7954545454546,1290.8045454545454,2481.327272727273,259.0
2020-06-07,768.7227272727273,1279.6772727272728,2457.7636363636366,306.0
2020-06-08,760.6500000000001,1268.55,2434.2000000000003,335.0
2020-06-09,752.5772727272728,1257.4227272727271,2410.636363636364,430.0
2020-06-10,543.9753787878786,999.4579545454543,1833.2227272727275,604.5
2020-06-11,288.29999999999995,627.0,1069.1,689.0
2020-06-12,289.00000000000006,740.6,1184.0,658.0
2020-06-13,153.60000000000002,488.69999999999993,724.3999999999999,318.0
2020-06-14,254.0,533.2,923.3,304.0
2020-06-15,800.9,1083.8000000000002,2312.2,427.0
2020-06-16,653.0,924.4999999999999,1925.3,396.0
2020-06-17,641.8000000000001,1164.1000000000001,2148.0999999999995,503.0
2020-06-18,639.4000000000002,990.2000000000002,1970.8,283.0
2020-06-19,460.8,640.9,1347.3999999999999,371.0
2020-06-20,434.0,720.3000000000001,1385.7,346.0
2020-06-21,403.20000000000005,638.4,1256.8000000000002,307.0
2020-06-22,548.1000000000001,765.8000000000001,1606.4,609.0
2020-06-23,316.3,823.2500000000001,1308.2500000000005,547.0
2020-06-24,237.29999999999998,1078.8,1442.6000000000001,652.0
2020-06-25,281.9999999999999,1195.7,1628.5999999999995,687.0
2020-06-26,405.9,1113.6000000000001,1736.1000000000001,524.0
2020-06-27,300.0,448.0,907.6999999999999,336.0
2020-06-28,231.60000000000002,299.1,654.3,268.0
2020-06-29,471.0,659.8000000000002,1381.7,336.0
2020-06-30,820.3000000000001,859.8000000000001,2117.7,249.0
2020-07-01,618.4,702.5999999999999,1650.4999999999995,258.0
2020-07-02,766.1,956.3,2130.2999999999997,269.0
2020-07-03,389.7999999999999,523.4999999999999,1121.1000000000001,297.3333333333333
2020-07-04,303.6000000000001,342.4,808.2,303.6923076923077
2020-07-05,319.9,451.19999999999993,941.8,318.46153846153845
2020-07-06,867.1999999999998,1240.45,2570.3,330.5128205128205
2020-07-07,744.6999999999998,1022.5,2164.1999999999994,385.0
2020-07-08,925.0999999999999,797.0999999999998,2215.4,235.78048780487805
2020-07-09,577.6,559.6999999999999,1445.3,203.90243902439022
2020-07-10,1270.9,1457.0,3405.4000000000005,213.2682926829268
2020-07-11,967.5999999999998,1293.4000000000003,2776.9000000000005,222.6341463414634
2020-07-12,447.6000000000001,859.3000000000002,1545.7,232.0
2020-07-13,896.5999999999999,1248.8,2623.600000000001,302.4146341463415
2020-07-14,1274.8999999999999,1381.5,3336.1999999999994,228.83333333333334
2020-07-15,1222.7,1293.5999999999997,3168.5999999999995,138.0
2020-07-16,1180.8,1467.6,3277.8999999999996,209.16666666666669
2020-07-17,1232.6000000000001,1374.8,3264.8,408.8367346938776
2020-07-18,827.0,1070.6999999999998,2338.7,450.0
2020-07-19,393.1,714.4000000000001,1317.3,397.10204081632645
2020-07-20,934.6,1284.3,2717.2,344.2040816326531
2020-07-21,997.4499999999999,1331.4999999999995,2861.2999999999993,310.35714285714283
2020-07-22,686.2,1052.3000000000002,2104.1,429.0
2020-07-23,637.1999999999998,965.0999999999999,1942.2,463.0
2020-07-24,646.1000000000001,766.5,1757.0999999999995,322.0
2020-07-25,498.20000000000005,537.0,1300.5999999999997,230.0
2020-07-26,365.3,430.1,990.1000000000003,365.0
2020-07-27,450.5,547.9999999999999,1238.6,434.07352941176475
2020-07-28,1051.9,1015.2,2628.4000000000005,580.4117647058823
2020-07-29,1065.4999999999998,1230.2,2864.4,554.9999999999999
2020-07-30,645.9000000000002,1152.8000000000002,2143.2999999999997,450.014705882353
2020-07-31,236.09999999999997,774.1,1136.4999999999998,578.0
2020-08-01,666.4000000000001,795.3000000000002,1817.3999999999999,320.0
2020-08-02,530.4,740.3,1553.7000000000003,284.0
2020-08-03,1162.9,1548.2,3331.2,316.0
2020-08-04,729.6000000000001,916.7000000000002,2035.2,445.0
2020-08-05,513.5999999999999,689.1,1476.3999999999999,328.0
2020-08-06,683.8000000000002,967.5999999999999,2015.6999999999998,379.0
2020-08-07,681.4999999999998,1704.3999999999996,2749.2000000000003,621.0
2020-08-08,329.0,1250.1,1754.7000000000003,800.0
2020-08-09,117.6,720.9000000000001,901.1999999999999,729.0
2020-08-10,270.50000000000006,1140.1,1554.6999999999998,825.0
2020-08-11,338.3999999999999,1489.4999999999998,2008.1999999999996,768.0
2020-08-12,263.2,1458.3,1862.2,768.0
2020-08-13,270.95000000000005,1083.2,1498.7999999999997,728.0
2020-08-14,874.0999999999999,1487.0000000000002,2827.4,592.0
2020-08-15,915.1,1252.8000000000002,2656.5,583.6666666666666
2020-08-16,498.59999999999997,957.5,1721.7999999999995,662.1818181818181
2020-08-17,634.4000000000001,1026.3999999999999,1999.0000000000002,574.909090909091
2020-08-18,609.9000000000001,831.3000000000001,1766.7999999999995,385.24242424242425
2020-08-19,312.5,563.3,1042.9,171.0
2020-08-20,594.7,870.6,1782.4,730.0
2020-08-21,300.29999999999995,424.0,884.2,642.0
2020-08-22,257.9,365.70000000000005,761.1000000000001,424.0
2020-08-23,322.99999999999994,481.70000000000005,976.9000000000001,292.0
2020-08-24,799.0,895.3,2120.3000000000006,313.0
2020-08-25,277.6,338.49999999999994,763.4,341.0
2020-08-26,880.4000000000001,988.8000000000001,2338.8000000000006,341.0
2020-08-27,614.95,808.9499999999999,1752.1499999999999,412.5
2020-08-28,1079.0,1136.8000000000004,2791.2999999999997,272.0
2020-08-29,946.1,1062.1000000000001,2512.7000000000003,396.0
2020-08-30,398.4000000000001,738.4000000000001,1349.2,393.0
2020-08-31,1006.5000000000001,1467.0,3010.7999999999997,362.0
2020-09-01,1568.7,1721.1000000000001,4126.0,458.0
2020-09-02,847.0,1209.3999999999999,2508.1,441.0
2020-09-03,504.2000000000001,650.3999999999999,1423.3,318.0
2020-09-04,768.0,871.1999999999998,2049.1,468.0
2020-09-05,877.8,991.0000000000001,2337.2000000000003,430.0
2020-09-06,738.3999999999999,940.0,2072.2,404.0
2020-09-07,1135.1999999999996,941.9,2682.4999999999995,363.0
2020-09-08,894.4000000000001,958.4,2329.9999999999995,294.0
2020-09-09,1186.8999999999999,1374.5000000000002,3194.5,342.0
2020-09-10,1253.4,1684.5000000000002,3606.5000000000005,477.0
2020-09-11,1330.9,1517.6,3558.2999999999997,475.0
2020-09-12,596.1,767.6999999999999,1681.9999999999998,377.0
2020-09-13,425.2,690.3000000000001,1342.3,329.0
2020-09-14,855.9,1400.3999999999999,2713.1000000000004,473.0
2020-09-15,1035.2000000000003,2024.8000000000002,3612.1,1046.0
2020-09-16,240.5,1065.4999999999998,1435.0000000000002,719.0
2020-09-17,286.2,735.8999999999999,1174.6000000000001,607.0
2020-09-18,457.5,973.1,1675.1000000000001,598.0
2020-09-19,211.2,818.5000000000001,1141.9999999999998,604.0
2020-09-20,139.39999999999998,687.0,900.9000000000001,613.0
2020-09-21,815.6000000000001,1574.6000000000004,2825.100000000001,700.0
2020-09-22,623.8,1189.6000000000004,2146.3000000000006,573.0
2020-09-23,555.9,785.1,1637.7000000000003,306.0
2020-09-24,772.5500000000001,926.3000000000001,2110.65,255.0
2020-09-25,914.4,1149.8999999999999,2552.3,295.0
2020-09-26,901.8999999999999,1183.8,2566.400000000001,271.0
2020-09-27,547.4999999999999,847.5,1686.7999999999997,280.0
2020-09-28,1413.2000000000003,1500.1000000000001,3667.1999999999994,455.0
2020-09-29,1275.1000000000004,1362.8999999999999,3318.0,432.0
2020-09-30,615.6999999999999,794.5,1738.3,491.0
2020-10-01,1033.3,1140.0,2724.6999999999994,327.0
2020-10-02,494.7,916.5,1674.9999999999995,397.0
2020-10-03,596.0,943.3,1857.4999999999998,271.0
2020-10-04,348.19999999999993,483.00000000000006,1016.8,216.5
2020-10-05,678.7,762.8000000000001,1803.1,341.0
2020-10-06,542.6,716.6999999999999,1548.3999999999999,367.0
2020-10-07,915.5999999999998,974.7000000000002,2378.9,424.0
2020-10-08,927.3,1074.25,2496.35,270.0
2020-10-09,1256.2,1281.1,3207.2999999999997,308.0
2020-10-10,869.6999999999999,1032.9,2366.2999999999993,292.0
2020-10-11,895.9,1148.1000000000001,2521.5,314.0
2020-10-12,1203.2,1259.6,3104.1000000000004,320.0
2020-10-13,1472.2999999999995,1324.1999999999998,3581.2000000000003,371.0
2020-10-14,478.2,851.3,1584.8999999999999,338.0
2020-10-15,717.5,1089.7,2189.6000000000004,346.0
2020-10-16,1496.7,1594.6000000000001,3889.2999999999993,495.0
2020-10-17,864.7999999999998,1303.4,2629.3999999999996,445.0
2020-10-18,1009.2000000000002,1361.5,2909.2000000000003,519.0
2020-10-19,331.1,853.7,1361.2,433.0
2020-10-20,428.2,757.3499999999999,1413.8499999999997,640.0
2020-10-21,624.6,895.5999999999999,1853.4999999999995,412.75862068965523
2020-10-22,629.3000000000002,913.1000000000001,1878.7,422.6896551724138
2020-10-23,672.6,880.5000000000001,1911.8000000000002,357.9168926772569
2020-10-24,290.5,475.6000000000001,921.1999999999999,279.64044943820215
2020-10-25,410.19999999999993,679.6000000000001,1308.7999999999997,266.69662921348316
2020-10-26,765.6,950.5000000000001,2124.9000000000005,253.7528089887641
2020-10-27,553.8,706.0999999999999,1554.9000000000003,266.0449438202247
2020-10-28,427.7,638.8999999999999,1294.3999999999999,275.38235294117646
2020-10-29,421.09999999999997,572.6,1218.5000000000002,372.35294117647055
2020-10-30,375.7999999999999,590.0,1166.2,394.7647058823529
2020-10-31,339.0,578.2,1098.1000000000001,213.99999999999997
2020-11-01,189.79999999999998,325.4,616.5000000000001,244.20779220779224
2020-11-02,437.2,547.5000000000001,1217.8,281.6103896103896
2020-11-03,744.1,1011.3999999999999,2152.6000000000004,319.012987012987
2020-11-04,2489.25,1838.1,5655.049999999999,356.4155844155843
2020-11-05,2407.7000000000003,1707.4000000000003,5399.5,393.81818181818176
2020-11-06,1706.6999999999998,1642.4999999999998,4259.7,431.22077922077926
2020-11-07,1755.1000000000001,1337.9,4028.3,468.6233766233766
2020-11-08,1286.4999999999998,1067.5,3039.8,506.02597402597405
2020-11-09,731.6,900.9,2023.2,492.06493506493496
2020-11-10,1009.1999999999998,1198.8,2746.0000000000005,434.5
2020-11-11,509.6999999999999,775.9999999999999,1557.7,371.0
2020-11-12,498.90000000000003,815.7,1580.4,398.0
2020-11-13,971.4,1399.3000000000002,2889.1,473.0
2020-11-14,279.7999999999999,483.80000000000007,912.9999999999999,458.0
2020-11-15,194.29999999999998,332.9,631.1000000000001,235.0
2020-11-16,457.40000000000003,779.9,1481.3999999999996,389.0
2020-11-17,442.80000000000007,708.6999999999999,1387.2,486.0
2020-11-18,466.1,645.5999999999999,1360.6000000000001,492.0
2020-11-19,1356.9000000000003,1415.3999999999999,3496.3999999999996,348.0
2020-11-20,934.0999999999999,1180.5000000000002,2613.2999999999997,318.0
2020-11-21,309.90000000000003,535.3000000000001,1010.8,278.0
2020-11-22,1182.3999999999999,1364.6,3177.3999999999996,406.0
2020-11-23,1319.4999999999998,1363.4000000000003,3386.8999999999996,496.0
2020-11-24,527.5999999999999,782.9,1591.8,393.0
2020-11-25,1101.8,1280.1,2969.5999999999995,641.0
2020-11-26,2163.2,1965.5,5282.7,730.0
2020-11-27,2447.8,1793.2999999999997,5546.5,755.0
2020-11-28,1214.8,1326.9,3189.4999999999995,1110.0
2020-11-29,572.5000000000001,1284.2000000000003,2162.0000000000005,841.0
2020-11-30,1141.2,1099.15,2849.4000000000005,526.5
2020-12-01,2003.3000000000002,2120.0,5191.900000000001,564.0
2020-12-02,1957.9,1882.3000000000004,4884.299999999999,589.0
2020-12-03,977.5999999999998,1256.5,2755.6000000000004,264.0
2020-12-04,835.5000000000001,1124.2,2405.0,300.0
2020-12-05,393.9000000000001,893.9999999999999,1498.0,277.0
2020-12-06,1633.2,1663.1,4166.8,452.0
2020-12-07,1608.6,1682.4999999999998,4149.0,539.0
2020-12-08,2040.6999999999998,1733.6000000000001,4863.0999999999985,577.0
2020-12-09,1191.2000000000005,1158.6000000000001,2984.8999999999987,519.0
2020-12-10,366.19999999999993,719.3000000000001,1281.1999999999998,365.0
2020-12-11,1627.2000000000003,1416.6999999999998,3911.5,546.0
2020-12-12,1001.5999999999998,1136.5000000000002,2672.3,462.0
2020-12-13,280.40000000000003,612.8000000000001,1042.1999999999998,271.0
2020-12-14,543.6,812.6,1646.0000000000002,458.0
2020-12-15,871.9,1139.3,2475.9999999999995,428.0
2020-12-16,501.9,831.8000000000001,1601.3999999999999,374.0
2020-12-17,693.2500000000001,822.4,1885.5,415.0
2020-12-18,401.8,564.1999999999999,1180.0,255.0
2020-12-19,455.4000000000001,606.0,1304.0,316.0
2020-12-20,480.79999999999995,765.6,1503.0000000000002,183.0
2020-12-21,397.3000000000001,547.1000000000001,1155.9,158.0
2020-12-22,1015.9,1060.9,2618.8,295.0
2020-12-23,643.8999999999999,888.5999999999999,1875.7,255.0
2020-12-24,972.1999999999999,1209.4999999999998,2699.899999999999,207.0
2020-12-25,200.3,510.0,817.4,268.0
2020-12-26,156.4,309.2,548.6999999999999,36.0
2020-12-27,412.29999999999995,688.7,1321.0999999999997,166.0
2020-12-28,601.3,1098.7999999999997,2020.6999999999998,242.0
2020-12-29,1454.3999999999999,1467.9999999999995,3697.8999999999996,340.0
2020-12-30,1743.6,1441.6000000000004,4115.200000000001,451.0
2020-12-31,1973.6999999999996,1904.0000000000002,4930.1,420.0
2021-01-01,1066.0000000000002,1192.1000000000001,2827.0999999999995,536.0
2021-01-02,1455.4999999999998,1451.6000000000001,3683.2000000000003,236.0
2021-01-03,384.3999999999999,860.3000000000001,1449.6,173.0
2021-01-04,230.89999999999995,628.8000000000001,982.6000000000001,117.0
2021-01-05,263.70000000000005,583.9999999999999,988.5999999999999,125.0
2021-01-06,919.6,1106.5000000000002,2516.5,210.0
2021-01-07,1955.3000000000002,1630.4,4628.5,447.0
2021-01-08,1540.9999999999998,1461.7000000000003,3824.5,466.0
2021-01-09,1666.0000000000002,1629.5,4183.5,458.0
2021-01-10,864.9999999999999,1096.1,2422.5,263.0
2021-01-11,401.49999999999994,658.3999999999999,1273.6999999999998,105.0
2021-01-12,1605.7,1681.9999999999998,4143.299999999999,294.0
2021-01-13,1140.7000000000003,1218.7,2967.9,292.0
2021-01-14,617.0,957.7,1903.4,195.0
2021-01-15,2538.55,1655.7999999999997,5548.049999999999,517.0
