MeasurementDateGMT,London Teddington Bushy Park : PM10 Particulate (ug/m3),London Teddington Bushy Park : PM2.5 Particulate (ug/m3)
2019-07-28,300.0,154.00000000000003
2019-07-29,300.0,197.39999999999998
2019-07-30,300.0,210.2
2019-07-31,300.0,143.39999999999998
2019-08-01,300.0,211.2
2019-08-02,300.0,266.0
2019-08-03,300.0,231.39999999999995
2019-08-04,300.0,283.5
2019-08-05,300.0,198.00000000000003
2019-08-06,300.0,175.00000000000003
2019-08-07,300.0,149.20000000000005
2019-08-08,300.0,172.49999999999997
2019-08-09,300.0,199.70000000000005
2019-08-10,300.0,246.60000000000002
2019-08-11,300.0,194.1
2019-08-12,300.0,178.2
2019-08-13,300.0,149.50000000000003
2019-08-14,300.0,153.10000000000002
2019-08-15,300.0,112.01836734693876
2019-08-16,300.0,119.95102040816325
2019-08-17,300.0,138.75918367346938
2019-08-18,300.0,157.5673469387755
2019-08-19,300.0,159.40408163265306
2019-08-20,300.0,195.59999999999997
2019-08-21,300.0,252.0
2019-08-22,300.0,219.7
2019-08-23,300.0,223.3
2019-08-24,300.0,415.49999999999994
2019-08-25,300.0,742.6000000000001
2019-08-26,300.0,452.80000000000007
2019-08-27,300.0,501.05
2019-08-28,300.0,201.39999999999998
2019-08-29,300.0,153.1
2019-08-30,300.0,196.29999999999998
2019-08-31,300.0,173.20000000000002
2019-09-01,300.0,170.70000000000002
2019-09-02,300.0,151.90000000000003
2019-09-03,300.0,146.79999999999998
2019-09-04,300.0,121.05
2019-09-05,300.0,149.00000000000003
2019-09-06,300.0,173.5
2019-09-07,300.0,176.00000000000003
2019-09-08,300.0,180.49999999999997
2019-09-09,300.0,208.3
2019-09-10,300.0,257.69999999999993
2019-09-11,300.0,129.3
2019-09-12,300.0,153.89999999999998
2019-09-13,300.0,187.20000000000002
2019-09-14,300.0,212.50000000000003
2019-09-15,300.0,230.8
2019-09-16,300.0,254.2
2019-09-17,300.0,200.0
2019-09-18,300.0,235.79999999999998
2019-09-19,300.0,252.60000000000005
2019-09-20,300.0,290.49999999999994
2019-09-21,300.0,325.7
2019-09-22,300.0,207.70000000000005
2019-09-23,300.0,119.6
2019-09-24,300.0,126.80000000000001
2019-09-25,300.0,112.3
2019-09-26,300.0,153.95
2019-09-27,300.0,137.70000000000002
2019-09-28,300.0,117.7
2019-09-29,300.0,99.30000000000003
2019-09-30,300.0,125.69999999999999
2019-10-01,300.0,144.50000000000003
2019-10-02,300.0,156.5
2019-10-03,300.0,261.49999999999994
2019-10-04,300.0,201.90000000000003
2019-10-05,300.0,258.17499999999995
2019-10-06,300.0,144.22500000000002
2019-10-07,300.0,135.8
2019-10-08,300.0,176.1
2019-10-09,300.0,126.89999999999998
2019-10-10,300.0,177.25
2019-10-11,300.0,121.2
2019-10-12,300.0,137.6
2019-10-13,300.0,156.3
2019-10-14,300.0,191.19999999999996
2019-10-15,300.0,129.4
2019-10-16,300.0,150.2
2019-10-17,300.0,123.49999999999999
2019-10-18,300.0,138.40000000000003
2019-10-19,300.0,150.70000000000002
2019-10-20,300.0,228.60000000000002
2019-10-21,300.0,99.00000000000001
2019-10-22,300.0,57.99999999999999
2019-10-23,300.0,54.1
2019-10-24,300.0,340.40000000000003
2019-10-25,300.0,139.89999999999998
2019-10-26,300.0,198.09999999999997
2019-10-27,300.0,523.0
2019-10-28,300.0,386.9
2019-10-29,300.0,153.79999999999998
2019-10-30,300.0,358.79999999999995
2019-10-31,300.0,720.3
2019-11-01,300.0,242.69999999999993
2019-11-02,300.0,142.60000000000002
2019-11-03,300.0,212.20000000000005
2019-11-04,300.0,176.39999999999998
2019-11-05,300.0,304.1999999999999
2019-11-06,300.0,349.0
2019-11-07,300.0,165.70000000000002
2019-11-08,300.0,337.80000000000007
2019-11-09,300.0,316.3999999999999
2019-11-10,300.0,314.2
2019-11-11,300.0,201.90000000000003
