MeasurementDateGMT,Croydon - Norbury: Nitric Oxide (ug/m3),Croydon - Norbury: Nitrogen Dioxide (ug/m3),Croydon - Norbury: Oxides of Nitrogen (ug/m3)
2019-02-16,739.1,1216.6999999999998,2349.2000000000003
2019-02-17,367.29999999999995,847.6,1411.5
2019-02-18,396.8,899.8000000000001,1507.9
2019-02-19,396.8,797.8999999999999,1406.1000000000001
2019-02-20,176.3,616.6999999999999,887.1
2019-02-21,451.29999999999995,900.9000000000001,1592.8000000000004
2019-02-22,2244.7,1628.8999999999999,5070.599999999999
2019-02-23,2223.7999999999997,1579.1000000000004,4989.0
2019-02-24,2557.2000000000003,1765.1000000000001,5685.8
2019-02-25,4005.6999999999994,2215.8999999999996,8357.8
2019-02-26,3822.2,2358.9,8220.1
2019-02-27,2912.700000000001,1884.3000000000006,6350.099999999999
2019-02-28,559.6500000000002,1058.95,1916.8
2019-03-01,578.3,1047.1,1933.8000000000004
2019-03-02,302.9,555.2,1019.6
2019-03-03,64.6,225.50000000000003,324.4
2019-03-04,331.99999999999994,557.8000000000001,1067.0999999999997
2019-03-05,306.3,623.9999999999999,1093.3999999999999
2019-03-06,254.20000000000002,516.8999999999999,906.7000000000003
2019-03-07,195.70000000000002,402.2000000000001,702.0999999999998
2019-03-08,450.40000000000003,687.1999999999998,1377.8999999999999
2019-03-09,183.5,469.69999999999993,751.0
2019-03-10,277.5999999999999,507.99999999999994,933.9000000000001
2019-03-11,218.3,487.79999999999995,822.5
2019-03-12,150.10000000000002,448.1,677.8000000000002
2019-03-13,147.1,375.09999999999997,601.0000000000001
2019-03-14,198.1,476.2,779.7
2019-03-15,159.1,326.40000000000003,570.3
2019-03-16,35.5,148.8,203.29999999999995
2019-03-17,183.89999999999998,465.70000000000005,747.9000000000001
2019-03-18,883.1999999999999,1165.2,2519.5
2019-03-19,783.5000000000001,1004.4,2205.8999999999996
2019-03-20,374.59999999999997,698.0,1272.4
2019-03-21,722.7,912.3,2020.4
2019-03-22,363.6,670.5,1227.8
2019-03-23,1588.2999999999997,1351.2000000000003,3786.7
2019-03-24,523.4000000000001,1007.0999999999999,1809.6
2019-03-25,1290.2000000000003,1279.7,3258.2999999999997
2019-03-26,1671.0,1715.3999999999999,4277.4
2019-03-27,1568.2,1745.4999999999998,4150.000000000001
2019-03-28,2314.1,2024.5000000000002,5572.699999999998
2019-03-29,1957.3000000000004,1661.1,4662.299999999999
2019-03-30,1681.1000000000001,1517.8,4095.2000000000003
2019-03-31,823.3000000000001,886.9000000000001,2149.1000000000004
2019-04-01,1681.3999999999999,1385.9,3963.500000000001
2019-04-02,700.0999999999999,988.9,2062.499999999999
2019-04-03,1058.1999999999998,1263.7,2885.9999999999995
2019-04-04,1149.7000000000003,1215.9,2979.2000000000007
2019-04-05,1240.4,1281.1,3183.0999999999995
2019-04-06,1368.3000000000002,1219.1,3317.2000000000003
2019-04-07,1402.8999999999996,1140.7,3291.9
2019-04-08,1339.6999999999998,1519.3999999999999,3574.1
2019-04-09,1688.0000000000002,1456.6999999999998,4044.9
2019-04-10,1235.3,1062.8000000000002,2957.0000000000005
2019-04-11,1602.9,1494.9999999999995,3952.3
2019-04-12,1749.2999999999997,1678.6,4360.899999999999
2019-04-13,1529.8,1538.3999999999999,3883.999999999999
2019-04-14,1085.3999999999999,1296.4,2960.8999999999996
2019-04-15,1266.6,1284.1000000000004,3226.0
2019-04-16,2026.2999999999995,1906.8999999999996,5014.300000000001
2019-04-17,1819.9,1797.1999999999998,4587.800000000001
2019-04-18,1669.8,1739.3,4299.299999999999
2019-04-19,1334.8,1966.2999999999997,4012.9
2019-04-20,1192.3000000000002,1973.5999999999997,3801.9
2019-04-21,749.1999999999999,1624.4000000000003,2773.4000000000005
2019-04-22,850.2999999999998,1742.1999999999996,3045.9
2019-04-23,1808.7999999999997,2065.1,4838.8
2019-04-24,1047.2,1134.0999999999997,2740.1
2019-04-25,483.69999999999993,717.55,1459.3999999999999
