MeasurementDateGMT,Kensington and Chelsea - North Ken FIDAS: PM10 Particulate (ug/m3),Kensington and Chelsea - North Ken FIDAS: PM2.5 Particulate (ug/m3)
2019-09-13,233.29999999999995,110.59999999999998
2019-09-14,284.99999999999994,151.59999999999997
2019-09-15,242.00000000000006,155.60000000000002
2019-09-16,279.90000000000003,191.39999999999998
2019-09-17,269.50000000000006,135.40000000000003
2019-09-18,355.7,157.5
2019-09-19,375.5,181.90000000000006
2019-09-20,485.49999999999994,222.00000000000003
2019-09-21,562.5,246.80000000000004
2019-09-22,299.1,168.2
2019-09-23,165.90000000000003,82.99999999999999
2019-09-24,155.3,83.70000000000002
2019-09-25,130.5,65.8
2019-09-26,200.70000000000002,106.3
2019-09-27,265.90000000000003,131.60000000000002
2019-09-28,184.3,94.1
2019-09-29,101.19999999999999,56.29999999999998
2019-09-30,163.89999999999998,81.80000000000001
2019-10-01,211.59999999999997,110.10000000000001
2019-10-02,185.70000000000002,94.9
2019-10-03,345.9,206.19999999999996
2019-10-04,389.6000000000001,217.29999999999998
2019-10-05,291.2,204.29999999999995
2019-10-06,209.4,142.70000000000002
2019-10-07,173.4,94.4
2019-10-08,348.6,179.6
2019-10-09,204.09999999999997,95.40000000000002
2019-10-10,271.50000000000006,131.8
2019-10-11,155.99999999999997,87.89999999999999
2019-10-12,132.10000000000002,83.3
2019-10-13,166.3,103.59999999999998
2019-10-14,277.0,154.69999999999996
2019-10-15,192.10000000000002,108.10000000000001
2019-10-16,255.0,132.79999999999998
2019-10-17,216.29999999999998,111.4
2019-10-18,259.50000000000006,124.4
2019-10-19,223.59999999999997,133.2
2019-10-20,282.0,202.59999999999997
2019-10-21,212.7,112.89999999999998
2019-10-22,352.2,229.4
2019-10-23,573.3000000000001,400.70000000000005
2019-10-24,561.0,423.0
2019-10-25,211.50000000000003,103.3
2019-10-26,218.59999999999997,130.5
2019-10-27,356.5,257.4
2019-10-28,926.4,753.3999999999997
2019-10-29,260.40000000000003,111.30000000000001
2019-10-30,444.80000000000007,275.6
2019-10-31,812.0000000000001,606.3
2019-11-01,297.8,212.40000000000003
2019-11-02,223.50000000000003,124.6
2019-11-03,321.20000000000005,198.8
2019-11-04,303.1000000000001,176.79999999999998
2019-11-05,301.3999999999999,216.4
2019-11-06,514.3,355.7
2019-11-07,184.40000000000003,104.69999999999999
2019-11-08,445.6,276.19999999999993
2019-11-09,348.79999999999995,247.00000000000003
2019-11-10,325.70000000000005,247.59999999999997
2019-11-11,245.99999999999997,151.8
2019-11-12,186.7,98.19999999999999
2019-11-13,232.8,127.90000000000002
2019-11-14,164.30000000000004,94.50000000000001
2019-11-15,317.5,234.6
2019-11-16,447.6,348.80000000000007
2019-11-17,702.3000000000001,564.7
2019-11-18,292.7,163.20000000000002
2019-11-19,558.7,386.8
2019-11-20,332.90000000000003,213.2
2019-11-21,662.6999999999999,538.9
2019-11-22,272.59999999999997,159.50000000000003
2019-11-23,398.1,286.50000000000006
2019-11-24,442.9,336.59999999999985
2019-11-25,211.0,123.0
2019-11-26,208.89999999999995,114.2
2019-11-27,186.89999999999998,116.00000000000001
2019-11-28,292.90000000000003,197.09999999999997
2019-11-29,381.0,220.29999999999998
2019-11-30,426.3,327.79999999999995
2019-12-01,189.0,137.8
2019-12-02,487.9,362.9000000000001
