MeasurementDateGMT,Lambeth - Brixton Road: Nitric Oxide (ug/m3),Lambeth - Brixton Road: Nitrogen Dioxide (ug/m3),Lambeth - Brixton Road: Oxides of Nitrogen (ug/m3),Lambeth - Brixton Road: PM10 Particulate (ug/m3)
2018-06-24,1312.8999999999999,2000.3000000000002,4013.2999999999997,587.0
2018-06-25,2489.6000000000004,3292.7999999999997,7109.800000000001,739.0
2018-06-26,1342.7999999999995,1973.2999999999997,4032.299999999999,568.0
2018-06-27,1279.0,1575.8000000000004,3536.9000000000005,645.0
2018-06-28,1828.3000000000002,2001.6000000000004,4804.900000000001,762.0
2018-06-29,1744.5999999999997,2004.7,4679.499999999999,662.0
2018-06-30,988.4,1566.2,3081.2000000000003,631.0
2018-07-01,960.5,2077.3999999999996,3550.5,750.0
2018-07-02,1420.9999999999998,2088.4,4266.999999999999,640.0
2018-07-03,766.1000000000001,1427.2000000000003,2601.8,538.0
2018-07-04,1468.6000000000001,1932.8999999999999,4184.7,690.0
2018-07-05,3180.5,3519.2000000000003,8395.7,978.0
2018-07-06,3233.9000000000005,3959.2999999999997,8918.199999999999,930.0
2018-07-07,2386.4,3140.8,6799.899999999999,993.0
2018-07-08,1544.3999999999996,2445.7000000000003,4813.800000000001,674.0
2018-07-09,2744.999999999999,2766.8,6975.299999999998,680.0
2018-07-10,2465.0,1969.9000000000003,5749.599999999999,578.0
2018-07-11,2633.5999999999995,2176.0,6213.85,661.0
2018-07-12,1819.3999999999996,1981.3000000000002,4771.3,666.0
2018-07-13,1619.1,1846.7000000000003,4329.3,635.0
2018-07-14,1574.4,2155.8,4569.599999999999,613.0
2018-07-15,1962.6,2765.7,5775.2,574.0
2018-07-16,2337.1000000000004,2619.0,6202.700000000001,581.0
2018-07-17,1974.1,1697.6,4724.0,488.0
2018-07-18,2865.9,2507.2999999999997,6901.800000000002,506.0
2018-07-19,2019.3000000000002,2252.4,5349.1,532.0
2018-07-20,1758.6000000000001,2167.8,4864.0,550.0
2018-07-21,2107.9,2655.0999999999995,5887.400000000001,667.0
2018-07-22,1999.8,2287.4000000000005,5353.9,528.0
2018-07-23,2279.2999999999997,2293.0,5787.7,558.0
2018-07-24,2305.2,2222.7999999999997,5757.0999999999985,519.0
2018-07-25,2674.7000000000003,2471.1,6572.300000000001,616.0
2018-07-26,1676.5,2248.8999999999996,4819.2,803.0
2018-07-27,2321.2000000000003,2432.0,5991.099999999999,742.0
2018-07-28,1226.3000000000002,1321.2000000000003,3201.5,637.0
2018-07-29,1016.0000000000001,976.1999999999999,2533.8999999999996,290.0
2018-07-30,2234.0999999999995,1603.5000000000002,5028.700000000001,410.0
2018-07-31,2170.2,1937.3999999999996,5265.000000000001,499.0
2018-08-01,2547.5000000000005,2433.6,6340.299999999998,502.0
2018-08-02,2816.0,2731.2,7049.200000000002,553.0
2018-08-03,3147.4,3421.2000000000003,8247.099999999999,660.0
2018-08-04,1756.5000000000002,1950.5,4643.700000000002,429.0
2018-08-05,1002.4999999999999,1652.0000000000005,3188.7,433.0
2018-08-06,3035.0000000000005,3857.8,8511.500000000004,722.0
2018-08-07,2707.7,3579.1000000000004,7730.799999999999,710.0
2018-08-08,1639.6999999999998,2055.1000000000004,4569.200000000001,434.0
2018-08-09,3012.2000000000003,2717.2,7335.8,565.5
2018-08-10,2708.7,2546.4000000000005,6699.400000000001,481.0
2018-08-11,2115.2000000000003,2234.5,5478.2,475.0
2018-08-12,1299.5000000000002,1711.8,3703.8000000000006,369.0
2018-08-13,2321.2000000000003,2232.2,5791.3,530.0
2018-08-14,2076.6,2214.7999999999997,5397.999999999999,448.0
2018-08-15,1995.6,2132.7,5192.799999999999,408.0
2018-08-16,2303.2000000000003,2191.0000000000005,5722.7,439.0
2018-08-17,2417.6000000000004,2423.6000000000004,6129.999999999999,569.0
2018-08-18,1916.5,1924.1000000000001,4862.7,490.0
2018-08-19,1274.5,1523.4999999999998,3477.9,340.0
2018-08-20,2196.2999999999993,2043.4,5411.6,309.0
2018-08-21,2175.4,2338.0,5673.299999999999,334.0
2018-08-22,2300.6,2209.0,5736.699999999999,389.0
2018-08-23,2278.0,2204.0,5696.6,392.0
2018-08-24,2121.4,2144.8,5397.599999999999,386.0
2018-08-25,2867.5000000000005,2589.3,6986.100000000002,479.0
2018-08-26,1594.2,1902.2,4346.6,312.0
2018-08-27,1159.0,1557.3,3333.900000000001,351.0
2018-08-28,2427.1,2514.7999999999997,6236.499999999999,410.0
2018-08-29,4888.389327641411,3454.140341515475,10948.77833511206,547.0246052901374
2018-08-30,5877.341302027748,3835.1218783351114,12845.93084311633,576.1353290957557
2018-08-31,5856.170074706511,3826.675517609391,12805.026851654216,576.2534344884151
2018-09-01,5834.998847385273,3818.229156883671,12764.122860192105,576.3715398810745
2018-09-02,5813.827620064036,3809.7827961579505,12723.21886872999,576.4896452737338
2018-09-03,5792.656392742796,3801.3364354322302,12682.314877267878,576.6077506663934
2018-09-04,5771.48516542156,3792.89007470651,12641.410885805764,576.7258560590527
2018-09-05,5750.31393810032,3784.4437139807897,12600.50689434365,576.8439614517121
2018-09-06,5729.142710779084,3775.9973532550694,12559.602902881537,576.9620668443716
2018-09-07,5707.971483457843,3767.5509925293486,12518.698911419426,577.0801722370309
2018-09-08,5686.800256136608,3759.1046318036283,12477.794919957312,577.1982776296904
2018-09-09,5665.629028815366,3750.658271077908,12436.8909284952,577.3163830223498
2018-09-10,5644.457801494133,3742.2119103521877,12395.986937033085,577.4344884150091
2018-09-11,5623.286574172891,3733.7655496264674,12355.082945570972,577.5525938076688
2018-09-12,5602.115346851656,3725.319188900747,12314.17895410886,577.6706992003279
2018-09-13,5580.944119530414,3716.8728281750264,12273.274962646747,577.7888045929875
2018-09-14,5559.77289220918,3708.426467449306,12232.370971184633,577.906909985647
2018-09-15,5538.6016648879395,3699.980106723586,12191.46697972252,578.0250153783063
2018-09-16,5517.430437566703,3691.5337459978655,12150.562988260406,578.1431207709657
2018-09-17,5496.259210245463,3683.087385272145,12109.658996798293,578.2612261636252
2018-09-18,5475.087982924228,3674.6410245464244,12068.75500533618,578.3793315562846
2018-09-19,5453.916755602987,3666.194663820704,12027.851013874068,578.4974369489441
2018-09-20,5432.74552828175,3657.7483030949834,11986.947022411954,578.6155423416034
2018-09-21,5411.574300960511,3649.301942369263,11946.04303094984,578.7336477342628
2018-09-22,5390.403073639274,3640.855581643543,11905.139039487729,578.8517531269225
2018-09-23,5369.231846318035,3632.4092209178225,11864.235048025615,578.9698585195816
2018-09-24,5348.060618996798,3623.962860192102,11823.3310565635,579.0879639122412
2018-09-25,5326.88939167556,3615.516499466382,11782.427065101389,579.2060693049006
2018-09-26,5305.718164354323,3607.0701387406616,11741.523073639275,579.32417469756
2018-09-27,5284.546937033084,3598.6237780149413,11700.619082177163,579.4422800902194
2018-09-28,5263.375709711845,3590.177417289221,11659.715090715052,579.5603854828788
2018-09-29,5242.204482390608,3581.7310565635003,11618.811099252936,579.6784908755383
2018-09-30,5221.033255069369,3573.28469583778,11577.907107790823,579.7965962681976
2018-10-01,5199.862027748132,3564.8383351120597,11537.003116328708,579.9147016608571
2018-10-02,5178.6908004268935,3556.3919743863394,11496.099124866596,580.0328070535164
2018-10-03,5157.5195731056565,3547.945613660619,11455.195133404484,580.1509124461761
2018-10-04,5136.348345784418,3539.499252934899,11414.291141942369,580.2690178388353
2018-10-05,5115.177118463181,3531.0528922091785,11373.387150480257,580.3871232314947
2018-10-06,5094.005891141942,3522.606531483458,11332.483159018144,580.5052286241543
2018-10-07,5072.834663820705,3514.1601707577374,11291.57916755603,580.6233340168136
2018-10-08,5051.663436499466,3505.713810032017,11250.675176093917,580.7414394094731
2018-10-09,5030.492209178229,3497.267449306297,11209.771184631807,580.8595448021325
2018-10-10,5009.32098185699,3488.8210885805765,11168.867193169694,580.977650194792
2018-10-11,4988.149754535753,3480.3747278548553,11127.96320170758,581.0957555874512
2018-10-12,4966.9785272145145,3471.928367129135,11087.059210245465,581.2138609801108
2018-10-13,4945.807299893278,3463.4820064034147,11046.15521878335,581.3319663727701
2018-10-14,4924.636072572039,3455.0356456776944,11005.251227321238,581.4500717654296
2018-10-15,4903.464845250802,3446.589284951974,10964.347235859126,581.5681771580889
2018-10-16,4882.293617929563,3438.142924226254,10923.443244397013,581.6862825507484
2018-10-17,4861.122390608326,3429.6965635005336,10882.539252934901,581.804387943408
2018-10-18,4839.951163287086,3421.2502027748133,10841.635261472786,581.9224933360672
2018-10-19,4818.77993596585,3412.803842049093,10800.731270010674,582.0405987287266
2018-10-20,4797.608708644611,3404.357481323372,10759.827278548559,582.1587041213862
2018-10-21,4776.437481323374,3395.911120597652,10718.923287086447,582.2768095140456
2018-10-22,4755.266254002134,3387.464759871931,10678.019295624335,582.3949149067048
2018-10-23,4734.095026680899,3379.018399146211,10637.11530416222,582.5130202993644
2018-10-24,4712.923799359658,3370.5720384204906,10596.211312700108,582.6311256920237
2018-10-25,4691.752572038423,3362.1256776947703,10555.307321237995,582.7492310846833
2018-10-26,4670.581344717181,3353.67931696905,10514.403329775882,582.8673364773426
2018-10-27,4649.410117395947,3345.2329562433297,10473.499338313768,582.985441870002
2018-10-28,4628.238890074706,3336.7865955176094,10432.595346851655,583.1035472626617
2018-10-29,4607.06766275347,3328.340234791889,10391.691355389543,583.2216526553208
2018-10-30,4585.89643543223,3319.893874066169,10350.78736392743,583.3397580479804
2018-10-31,4564.725208110995,3311.447513340448,10309.883372465316,583.4578634406398
2018-11-01,4543.553980789753,3303.0011526147277,10268.979381003202,583.5759688332992
2018-11-02,4522.382753468518,3294.5547918890074,10228.075389541089,583.6940742259585
2018-11-03,4501.211526147277,3286.108431163287,10187.171398078977,583.812179618618
2018-11-04,4480.040298826042,3277.662070437567,10146.267406616864,583.9302850112774
2018-11-05,4458.8690715048015,3269.2157097118466,10105.36341515475,584.0483904039368
2018-11-06,4437.6978441835645,3260.7693489861263,10064.459423692635,584.1664957965962
2018-11-07,4416.526616862327,3252.322988260406,10023.555432230523,584.2846011892556
2018-11-08,4395.355389541089,3243.8766275346857,9982.65144076841,584.4027065819153
2018-11-09,4374.18416221985,3235.4302668089654,9941.747449306298,584.5208119745745
2018-11-10,4353.012934898612,3226.983906083244,9900.843457844183,584.638917367234
2018-11-11,4331.841707577375,3218.537545357524,9859.939466382071,584.7570227598934
2018-11-12,4310.670480256136,3210.091184631803,9819.035474919958,584.8751281525529
2018-11-13,4289.499252934898,3201.644823906083,9778.131483457844,584.9932335452122
2018-11-14,4268.3280256136595,3193.1984631803625,9737.227491995733,585.1113389378717
2018-11-15,4247.156798292423,3184.752102454642,9696.323500533621,585.2294443305311
2018-11-16,4225.985570971184,3176.305741728922,9655.419509071506,585.3475497231905
2018-11-17,4204.814343649948,3167.8593810032016,9614.515517609392,585.4656551158499
2018-11-18,4183.643116328707,3159.413020277481,9573.611526147279,585.5837605085093
2018-11-19,4162.471889007471,3150.9666595517606,9532.707534685167,585.7018659011687
2018-11-20,4141.300661686232,3142.5202988260403,9491.803543223054,585.8199712938282
2018-11-21,4120.129434364995,3134.0739381003195,9450.89955176094,585.9380766864875
2018-11-22,4098.9582070437555,3125.6275773745992,9409.995560298827,586.0561820791471
2018-11-23,4077.78697972252,3117.181216648879,9369.091568836715,586.1742874718065
2018-11-24,4056.615752401279,3108.7348559231586,9328.1875773746,586.2923928644659
2018-11-25,4035.4445250800436,3100.2884951974384,9287.283585912488,586.4104982571253
2018-11-26,4014.2732977588034,3091.842134471718,9246.379594450373,586.5286036497848
2018-11-27,3993.102070437568,3083.3957737459978,9205.475602988261,586.6467090424442
2018-11-28,3971.9308431163277,3074.9494130202775,9164.57161152615,586.7648144351036
2018-11-29,3950.759615795092,3066.503052294557,9123.667620064036,586.8829198277629
2018-11-30,3929.588388473852,3058.0566915688364,9082.763628601922,587.0010252204224
2018-12-01,3908.4171611526162,3049.610330843116,9041.859637139809,587.1191306130818
2018-12-02,3887.245933831376,3041.163970117396,9000.955645677695,587.2372360057412
2018-12-03,3866.0747065101405,3032.7176093916755,8960.051654215582,587.3553413984007
2018-12-04,3844.9034791889003,3024.2712486659548,8919.147662753468,587.47344679106
2018-12-05,3823.7322518676647,3015.8248879402345,8878.243671291357,587.5915521837196
2018-12-06,3802.5610245464245,3007.378527214514,8837.339679829242,587.709657576379
2018-12-07,3781.389797225189,2998.932166488794,8796.43568836713,587.8277629690384
2018-12-08,3760.2185699039487,2990.4858057630736,8755.531696905016,587.9458683616978
2018-12-09,3739.047342582713,2982.0394450373533,8714.627705442903,588.0639737543572
2018-12-10,3717.876115261473,2973.593084311633,8673.723713980791,588.1820791470166
2018-12-11,3696.7048879402373,2965.1467235859122,8632.819722518678,588.300184539676
2018-12-12,3675.5336606189967,2956.700362860192,8591.915731056564,588.4182899323355
2018-12-13,3654.3624332977615,2948.2540021344716,8551.01173959445,588.5363953249948
2018-12-14,3633.191205976521,2939.8076414087514,8510.107748132337,588.6545007176544
2018-12-15,3612.019978655285,2931.361280683031,8469.203756670226,588.7726061103136
2018-12-16,3590.8487513340447,2922.9149199573108,8428.299765208112,588.8907115029733
2018-12-17,3569.677524012809,2914.4685592315905,8387.395773745999,589.0088168956325
2018-12-18,3548.506296691569,2906.02219850587,8346.491782283885,589.126922288292
2018-12-19,3527.3350693703333,2897.57583778015,8305.587790821772,589.2450276809515
2018-12-20,3506.1638420490926,2889.1294770544296,8264.683799359658,589.3631330736108
