MeasurementDateGMT,Lewisham - New Cross: Nitric Oxide (ug/m3),Lewisham - New Cross: Nitrogen Dioxide (ug/m3),Lewisham - New Cross: Oxides of Nitrogen (ug/m3),Lewisham - New Cross: PM10 Particulate (ug/m3),Lewisham - New Cross: PM2.5 Particulate (ug/m3)
2020-02-20,450.2,678.8999999999999,1369.3000000000002,276.40000000000003,118.4
2020-02-21,409.09999999999997,676.0,1302.8999999999999,557.8000000000002,205.10000000000005
2020-02-22,294.90000000000003,533.1000000000001,986.5,515.9999999999999,262.8
2020-02-23,264.8,561.5999999999999,967.5999999999999,295.40000000000003,172.20000000000002
2020-02-24,343.3,624.4,1150.6000000000001,247.40000000000003,143.60000000000002
2020-02-25,658.5999999999999,919.7,1929.3500000000004,293.6,145.2
2020-02-26,787.8999999999999,1098.9,2307.2,368.40000000000003,155.4
2020-02-27,510.19999999999993,1037.0000000000002,1819.1,329.20000000000005,213.90000000000003
2020-02-28,242.70000000000002,682.4999999999999,1055.0,333.2,181.6
2020-02-29,271.8,468.80000000000007,884.9999999999998,516.9,236.20000000000005
2020-03-01,271.90000000000003,504.6,921.1,321.69999999999993,157.7
2020-03-02,570.3999999999999,996.5999999999999,1871.1999999999998,323.09999999999997,167.69999999999996
2020-03-03,815.4000000000001,1224.7,2480.4,491.09999999999997,228.39999999999998
2020-03-04,408.70000000000005,1112.5000000000002,1741.3999999999996,437.7000000000001,250.0
2020-03-05,331.40000000000003,776.5999999999999,1285.8000000000002,388.29999999999995,276.99999999999994
2020-03-06,1040.4,1271.1,2867.7,671.4000000000001,398.2
2020-03-07,436.5000000000001,889.4999999999999,1560.6999999999994,635.7000000000002,371.49999999999994
2020-03-08,225.99999999999997,477.2,823.5999999999999,348.20000000000005,179.4
2020-03-09,661.9,894.7,1909.15,406.7,189.64999999999998
2020-03-10,551.8,682.3999999999999,1529.3000000000002,178.3,151.50000000000003
2020-03-11,415.6,653.9,1291.3000000000002,221.8,137.50000000000003
2020-03-12,532.6,689.8000000000002,1506.3,393.40000000000003,185.6
2020-03-13,660.0000000000001,929.0,1940.7,470.79999999999995,251.60000000000005
2020-03-14,241.29999999999995,503.7,874.4,321.3,202.70000000000002
2020-03-15,369.3,632.7,1199.1,321.5,232.10000000000002
2020-03-16,907.2000000000002,1201.2,2592.399999999999,459.6,260.3
2020-03-17,286.0999999999999,511.7,950.4,390.20000000000005,202.70000000000005
2020-03-18,424.29999999999995,628.5,1279.3000000000002,363.30000000000007,239.8
2020-03-19,390.4999999999999,847.6,1446.3000000000002,492.2,333.7
2020-03-20,254.2,554.0,943.8000000000003,373.4000000000001,188.29999999999998
2020-03-21,202.69999999999996,520.6999999999999,831.5000000000001,408.3999999999999,212.90000000000003
2020-03-22,168.79999999999998,591.8000000000001,850.4,467.80000000000007,284.90000000000003
2020-03-23,385.29999999999995,1081.6000000000001,1672.0000000000002,543.5,349.20000000000005
2020-03-24,227.99999999999997,764.4000000000001,1114.3999999999999,540.6,386.70000000000005
2020-03-25,606.6,1134.5000000000002,2064.1,755.1499999999997,550.2
2020-03-26,272.79999999999995,890.9000000000002,1308.8,913.8000000000001,702.8000000000001
2020-03-27,247.39999999999992,674.2999999999998,1053.3999999999999,957.6000000000001,705.5999999999999
2020-03-28,135.8,348.00000000000006,556.7000000000002,568.5,359.9000000000001
2020-03-29,121.6,237.89999999999998,424.4,375.79999999999995,173.0
2020-03-30,215.2,454.7,785.3000000000001,358.90000000000003,188.1
2020-03-31,191.49999999999997,595.3000000000001,889.3999999999999,401.3,214.20000000000002
2020-04-01,359.39999999999986,833.5,1384.8,477.40000000000003,342.59999999999997
2020-04-02,492.4,818.6999999999998,1574.2000000000005,286.7,200.79999999999998
2020-04-03,385.7,846.9999999999999,1438.2,444.49999999999994,282.7
2020-04-04,108.1,479.3,644.9,420.29999999999995,346.09999999999997
2020-04-05,85.10000000000001,376.59999999999997,507.40000000000003,368.3,307.6
2020-04-06,231.5,591.9000000000001,947.4000000000001,364.59999999999997,240.6
2020-04-07,298.4,1047.9999999999998,1505.2999999999997,643.5,417.20000000000005
2020-04-08,345.9999999999999,1309.6,1839.8000000000002,1252.8,940.2999999999998
2020-04-09,406.40000000000003,1274.7999999999997,1897.9,1346.4999999999995,1065.5
2020-04-10,195.20000000000002,1019.0000000000001,1317.6,1076.6999999999998,797.6000000000001
2020-04-11,298.2999999999999,1054.0000000000002,1511.4999999999998,857.0000000000001,653.2
2020-04-12,106.29999999999998,570.9,733.5,565.3000000000001,471.3
2020-04-13,79.9,262.7,385.3,383.69999999999993,210.79999999999998
2020-04-14,178.8,526.6,800.6,354.4,207.10000000000002
2020-04-15,184.00000000000003,805.0999999999998,1087.7,644.9,448.40000000000003
2020-04-16,306.2,1211.3000000000004,1681.0,1213.4,898.1
2020-04-17,146.9,542.5000000000002,767.3000000000001,481.70000000000005,269.80000000000007
2020-04-18,150.7,579.5,810.4,590.3000000000001,348.2
2020-04-19,126.99999999999999,458.59999999999997,653.9000000000001,488.40000000000003,301.90000000000003
2020-04-20,123.7,498.69999999999993,688.7,512.8000000000001,280.30000000000007
2020-04-21,140.4,565.0,780.4000000000002,610.3,296.49999999999994
2020-04-22,157.39999999999998,633.3999999999999,874.4,656.5,394.70000000000005
2020-04-23,241.6,854.1999999999999,1224.8999999999999,736.0999999999999,513.1
2020-04-24,183.5,835.0999999999999,1116.6,742.8999999999997,583.0
2020-04-25,127.59999999999998,502.29999999999995,697.7,437.40000000000003,324.2
2020-04-26,73.8,442.50000000000006,555.8,439.40000000000003,353.90000000000003
2020-04-27,227.19999999999996,700.8000000000001,1048.8999999999999,560.9,439.90000000000003
2020-04-28,167.4,604.0,860.3,231.10000000000002,205.5
2020-04-29,76.60000000000002,300.1,417.0,253.50000000000003,183.29999999999995
2020-04-30,58.300000000000004,212.89999999999998,302.60000000000014,219.49999999999997,138.9
2020-05-01,313.5,533.4,1013.7,255.2,170.5
2020-05-02,177.9,498.0,770.2000000000002,243.00000000000003,189.40000000000003
