MeasurementDateGMT,Brent - Ikea: Nitric Oxide (ug/m3),Brent - Ikea: Nitrogen Dioxide (ug/m3),Brent - Ikea: Oxides of Nitrogen (ug/m3),Brent - Ikea: Ozone (ug/m3),Brent - Ikea: PM10 Particulate (ug/m3)
2020-06-07,336.80000000000007,594.7000000000002,1111.3999999999999,830.4000000000001,338.0
2020-06-08,461.70000000000005,874.6999999999999,1583.0000000000002,851.3000000000001,527.0
2020-06-09,1102.4,1459.9,3149.7999999999993,794.5000000000001,656.0
2020-06-10,1093.5,1229.5000000000002,2906.1,818.5999999999999,635.0
2020-06-11,612.2000000000002,1048.7,1987.1500000000003,753.5,553.5
2020-06-12,678.8000000000001,1206.8999999999999,2247.9,821.3999999999999,825.0
2020-06-13,658.3,1078.6,2088.7000000000003,956.7000000000002,611.0
2020-06-14,389.09999999999997,855.6,1452.6999999999998,1216.8000000000002,492.0
2020-06-15,927.6999999999997,1340.5,2762.8,826.4000000000002,489.0
2020-06-16,890.4000000000002,1324.8000000000002,2690.0,905.5999999999999,509.0
2020-06-17,1449.1000000000001,1831.2000000000003,4053.2,455.2,842.0
2020-06-18,896.9,1194.3500000000001,2569.8,972.3000000000001,407.0
2020-06-19,691.9,969.5000000000001,2030.4000000000003,964.9000000000002,520.0
2020-06-20,559.5999999999999,822.3000000000002,1679.8000000000002,902.5000000000001,467.0
2020-06-21,226.20000000000002,423.4,769.9999999999999,1142.6000000000001,336.0
2020-06-22,799.2,1010.6999999999998,2236.1,871.2999999999998,589.0
2020-06-23,946.9,1476.8,2928.8999999999996,1028.0,736.0
2020-06-24,702.4000000000002,1784.3,2861.0,1806.3000000000002,979.0
2020-06-25,633.1,1986.7000000000005,2957.4,1805.9,984.0
2020-06-26,746.6000000000001,1601.5999999999997,2746.2,1438.8999999999999,788.0
2020-06-27,375.6000000000001,538.5,1114.3000000000002,1084.6000000000001,406.0
2020-06-28,285.99999999999994,500.09999999999997,938.5999999999999,1191.3,340.0
2020-06-29,542.7000000000002,688.2000000000002,1520.7,1019.4,482.0
2020-06-30,908.8000000000001,932.0999999999999,2325.5999999999995,629.6999999999999,399.0
2020-07-01,734.8000000000001,849.9,1976.4999999999995,644.6500000000001,374.0
2020-07-02,697.8,890.9000000000001,1960.7000000000003,653.6,335.0
2020-07-03,705.5999999999998,845.4,1927.2000000000003,810.3000000000001,479.0
2020-07-04,491.6000000000001,513.0,1267.0,638.5,252.0
2020-07-05,186.5,255.60000000000002,541.6,1036.8000000000002,413.0
2020-07-06,277.0,542.3,966.9,1016.2000000000002,409.0
2020-07-07,713.2,1001.4,2094.9,665.3000000000001,471.0
2020-07-08,866.9000000000001,751.6,2080.2999999999997,341.4,360.0
2020-07-09,898.2999999999997,675.5000000000001,2053.1,344.29999999999995,413.0
2020-07-10,189.99999999999997,467.6,759.2,965.3000000000002,297.0
2020-07-11,418.0999999999999,745.4,1386.3999999999999,835.1,421.0
2020-07-12,438.0,903.8000000000002,1575.5000000000002,1204.7,443.0
2020-07-13,649.6,952.2,1948.7,929.5000000000001,424.0
2020-07-14,260.3,569.7000000000002,968.7,899.6000000000001,327.0
2020-07-15,400.5,600.5,1214.6999999999998,761.4000000000001,302.0
2020-07-16,285.79999999999995,561.0,999.4,726.7,413.0
2020-07-17,528.6,731.1999999999998,1541.6,734.4999999999999,470.0
2020-07-18,376.00000000000006,523.8,1100.3,795.3,404.0
2020-07-19,357.29999999999995,664.3,1211.9,765.6999999999999,312.0
2020-07-20,429.7,835.2000000000002,1493.8000000000002,865.5999999999999,427.0
