MeasurementDateGMT,Wandsworth - Putney: Nitric Oxide (ug/m3),Wandsworth - Putney: Nitrogen Dioxide (ug/m3),Wandsworth - Putney: Oxides of Nitrogen (ug/m3),Wandsworth - Putney: PM10 Particulate (ug/m3)
2019-12-19,316.20000000000005,548.1999999999999,1033.2,478.0
2019-12-20,307.34999999999997,652.6,1123.3999999999999,193.0
2019-12-21,277.8,590.3000000000001,1016.6999999999999,291.0
2019-12-22,214.5,409.6,739.0999999999999,237.0
2019-12-23,297.1,493.2,948.6,393.0
2019-12-24,220.29999999999998,355.1,692.4999999999999,348.0
2019-12-25,395.79999999999995,518.1,1124.6999999999998,388.0
2019-12-26,231.60000000000002,485.50000000000017,840.7,353.0
2019-12-27,623.1999999999999,494.4,1449.3999999999999,406.0
2019-12-28,525.6,524.7500000000001,1331.0,466.0
2019-12-29,312.40000000000003,473.00000000000006,951.4999999999999,465.0
2019-12-30,493.09999999999997,540.2999999999998,1296.2000000000003,528.0
2019-12-31,490.2,668.1999999999999,1418.9,741.0
2020-01-01,561.8,751.5999999999999,1612.9000000000003,875.0
2020-01-02,249.20000000000005,547.5999999999999,929.5,295.0
2020-01-03,91.80000000000001,479.99999999999994,620.8,295.0
2020-01-04,184.79999999999998,661.7,945.4000000000001,314.0
2020-01-05,140.0,485.0000000000001,699.6,195.0
2020-01-06,170.7,563.5,825.6,321.0
2020-01-07,488.70000000000005,814.874418604651,1564.7127906976743,390.0
2020-01-08,392.4,893.7488372093023,1496.5255813953488,589.0
2020-01-09,334.8,856.2418604651164,1371.279069767442,298.0
2020-01-10,277.2,818.7348837209303,1246.0325581395348,282.0
2020-01-11,198.60000000000002,669.7000000000002,974.3,402.0
2020-01-12,88.2,429.29999999999995,564.6,217.0
2020-01-13,130.3,516.8,716.9000000000002,322.0
2020-01-14,198.1,591.5999999999999,895.3999999999999,294.0
2020-01-15,196.50000000000003,745.6999999999998,1047.1000000000001,282.0
2020-01-16,230.49999999999997,731.1,1084.4,375.0
2020-01-17,157.0,661.7000000000003,902.8000000000001,247.0
2020-01-18,384.69999999999993,847.9999999999999,1437.9999999999998,409.0
2020-01-19,958.9,1155.5,2626.0,537.0
2020-01-20,1376.3999999999999,1281.1000000000001,3391.5,779.0
2020-01-21,2147.6499999999996,1448.05,4740.35,864.0
2020-01-22,1889.0999999999997,1281.5,4177.900000000001,836.0
2020-01-23,488.6000000000001,1155.9,1905.1999999999996,451.0
2020-01-24,346.4,937.0000000000002,1467.5,429.0
2020-01-25,297.6,858.5999999999998,1314.6000000000001,659.0
2020-01-26,168.0,629.3000000000001,886.5000000000001,512.0
2020-01-27,228.7,884.7,1235.5,269.0
2020-01-28,88.69999999999997,451.2,587.1,174.0
2020-01-29,156.9,655.8000000000001,896.3,359.0
2020-01-30,181.0,652.3,929.9000000000001,208.0
2020-01-31,194.2,632.4,929.8999999999999,206.0
2020-02-01,66.60000000000001,336.7,438.7,303.0
2020-02-02,77.60000000000001,421.99999999999994,541.0999999999999,401.0
2020-02-03,44.7,362.2,430.5,410.0
2020-02-04,55.49999999999999,492.20000000000005,577.4999999999999,284.0
2020-02-05,665.4,1165.0,2185.5,637.0
2020-02-06,1188.0000000000002,1411.7,3233.2999999999993,658.0
2020-02-07,611.6999999999999,1169.8000000000002,2107.7999999999997,744.0
2020-02-08,133.29999999999998,625.6,829.8999999999999,380.0
2020-02-09,51.099999999999994,239.29999999999995,317.70000000000005,318.0
2020-02-10,68.7,326.4,431.3999999999999,225.0
2020-02-11,64.70000000000002,372.69999999999993,471.70000000000005,330.0
2020-02-12,132.59999999999997,630.1,833.5999999999999,273.0
2020-02-13,114.89999999999999,674.8999999999999,851.2000000000002,209.0
2020-02-14,356.50000000000006,949.0999999999999,1495.9,458.0
2020-02-15,133.4,452.79999999999995,657.7,199.0
2020-02-16,95.0,422.09999999999997,568.3000000000001,107.0
2020-02-17,101.9,424.5999999999999,581.4000000000001,322.0
2020-02-18,155.9,616.0000000000001,855.2,244.0
2020-02-19,190.4,745.6,1037.6,319.0
2020-02-20,113.80000000000003,602.6000000000001,777.3000000000001,147.0
2020-02-21,156.0,594.9999999999999,834.4,436.0
2020-02-22,65.79999999999998,313.4,414.3999999999999,413.0
2020-02-23,70.9,403.4000000000001,511.59999999999997,173.0
2020-02-24,145.1,567.5,789.9000000000001,181.0
2020-02-25,102.9,478.0000000000001,635.4000000000001,182.0
2020-02-26,95.8,557.1,703.8000000000001,194.0
2020-02-27,119.89999999999999,771.0999999999998,954.7,204.0
2020-02-28,293.7,911.7,1362.05,321.0
2020-02-29,114.5,441.90000000000003,617.3000000000001,472.0
2020-03-01,108.4,482.59999999999997,648.5000000000001,267.0
2020-03-02,74.39999999999999,582.9,696.9,208.0
2020-03-03,188.8,808.6,1098.0,398.0
2020-03-04,479.8,1141.5,1877.2999999999997,388.0
2020-03-05,124.6,652.0,843.4999999999999,333.0
2020-03-06,345.0,895.4000000000001,1424.4,454.0
2020-03-07,225.40000000000006,819.4000000000001,1165.1999999999998,491.0
