MeasurementDateGMT,Brent - John Keble Primary School: Nitric Oxide (ug/m3),Brent - John Keble Primary School: Nitrogen Dioxide (ug/m3),Brent - John Keble Primary School: Oxides of Nitrogen (ug/m3),Brent - John Keble Primary School: PM10 Particulate (ug/m3)
2019-05-08,254.5,920.3000000000001,1310.5,375.59999999999997
2019-05-09,598.8,1210.6999999999998,2128.7999999999993,446.9
2019-05-10,378.8000000000001,982.9000000000001,1563.7,386.9999999999999
2019-05-11,141.1,685.5,901.8000000000001,365.79999999999984
2019-05-12,107.99999999999999,729.3,894.5,311.8
2019-05-13,87.49999999999997,582.8,716.5000000000001,319.9000000000001
2019-05-14,73.6,406.9,519.8999999999999,358.70000000000005
2019-05-15,116.89999999999999,673.5000000000001,852.8,627.6
2019-05-16,69.80000000000001,446.7,553.7,528.0999999999999
2019-05-17,66.80000000000001,480.4,582.8000000000001,443.0
2019-05-18,209.2,843.5999999999999,1164.3000000000002,515.7
2019-05-19,256.6,848.3000000000001,1241.8,524.0
2019-05-20,304.7,958.6000000000001,1425.4000000000003,526.7
2019-05-21,246.0,761.6,1138.8,370.50000000000006
2019-05-22,154.7,767.0000000000002,1003.8,324.99999999999994
2019-05-23,204.75000000000003,927.05,1241.1999999999998,344.4
2019-05-24,346.2,913.7,1444.8,442.9000000000001
2019-05-25,215.59999999999997,610.6999999999999,941.5999999999999,284.09999999999997
2019-05-26,158.0,472.29999999999995,714.7,283.20000000000005
2019-05-27,155.70000000000002,505.2,743.8000000000001,356.40000000000003
2019-05-28,219.9,623.0999999999999,960.4,212.99999999999997
2019-05-29,226.89999999999998,775.5000000000001,1123.5000000000002,331.4
2019-05-30,152.60000000000005,434.49999999999994,668.5,295.4
2019-05-31,233.8,585.1999999999999,943.9999999999999,244.50000000000003
2019-06-01,181.80000000000004,738.5000000000001,1017.8000000000001,336.9
2019-06-02,166.0,626.3999999999999,880.7999999999997,350.7
2019-06-03,182.79999999999998,544.6999999999999,825.1,401.79999999999995
2019-06-04,248.7,985.8,1366.7,512.0
2019-06-05,191.70000000000005,626.0,920.0,277.2
2019-06-06,221.0,744.5,1083.6000000000001,331.6
2019-06-07,175.89999999999998,788.0000000000001,1057.45,356.1
2019-06-08,138.79999999999998,420.79999999999995,633.9999999999999,221.7
2019-06-09,151.0,592.4,823.8999999999999,283.50000000000006
2019-06-10,186.99999999999994,642.8,929.5999999999999,219.0
2019-06-11,235.39999999999998,533.0,894.0999999999999,218.7
2019-06-12,178.6,687.6999999999999,961.1999999999999,252.49999999999997
2019-06-13,247.40000000000006,722.0999999999999,1101.6000000000001,241.29999999999998
2019-06-14,235.70000000000005,650.9000000000001,1012.3,291.90000000000003
2019-06-15,173.00000000000003,627.4000000000001,892.7999999999997,264.5
2019-06-16,132.79999999999998,476.1000000000001,679.7,244.3
2019-06-17,176.8,580.4999999999999,851.5,312.79999999999995
2019-06-18,275.6,1056.0,1478.0,406.1000000000001
2019-06-19,317.9,905.5,1393.1000000000004,450.90000000000003
2019-06-20,278.9,712.4,1139.8,249.60000000000002
2019-06-21,333.2,833.6,1344.6,288.4
2019-06-22,243.80000000000004,694.8000000000003,1068.6000000000001,324.40000000000003
2019-06-23,39.6,409.90000000000003,470.7,616.3
2019-06-24,257.0,977.9,1371.6,705.4000000000001
2019-06-25,145.50000000000003,551.8999999999999,774.3999999999999,458.0
2019-06-26,81.10000000000001,296.59999999999997,421.20000000000005,351.09999999999997
2019-06-27,50.89999999999999,200.34999999999997,278.45,291.7
2019-06-28,78.1,314.90000000000003,434.9,572.5
2019-06-29,152.6,824.5999999999999,1058.2,676.6
2019-06-30,143.0,362.49999999999994,581.8,335.79999999999995
2019-07-01,467.4000000000001,664.6,1381.0,266.90000000000003
2019-07-02,244.60000000000005,518.3999999999999,893.3,341.40000000000003
2019-07-03,103.0,515.4,673.3000000000002,367.8
2019-07-04,222.69681528662414,790.7254777070062,1132.173248407643,380.4925146198831
2019-07-05,72.16815286624202,935.8547770700638,1048.532484076433,544.7747368421052
2019-07-06,127.93375796178343,892.9299363057326,1090.723566878981,540.4631578947369
2019-07-07,183.69936305732486,850.0050955414013,1132.9146496815285,536.1515789473684
2019-07-08,239.4649681528662,807.08025477707,1175.1057324840765,531.84
2019-07-09,295.2305732484076,764.1554140127389,1217.2968152866242,527.5284210526316
2019-07-10,350.99617834394905,721.2305732484076,1259.4878980891722,523.2168421052631
2019-07-11,326.9101910828026,715.5184713375797,1216.6656050955414,518.9052631578948
2019-07-12,595.7,833.4999999999999,1746.3,514.5936842105262
2019-07-13,142.60000000000002,375.2,593.2000000000002,510.28210526315786
2019-07-14,54.300000000000004,252.79999999999995,336.19999999999993,505.97052631578947
2019-07-15,86.76981132075473,314.35471698113207,445.7056603773585,501.658947368421
2019-07-16,115.2,481.19999999999993,656.3999999999999,497.3473684210526
2019-07-17,115.63018867924528,637.8452830188681,815.2943396226416,493.03578947368425
