MeasurementDateGMT,Wandsworth - Putney High Street: Nitric Oxide (ug/m3),Wandsworth - Putney High Street: Nitrogen Dioxide (ug/m3),Wandsworth - Putney High Street: Oxides of Nitrogen (ug/m3),Wandsworth - Putney High Street: PM10 Particulate (ug/m3)
2020-05-24,502.1,782.0,1552.1000000000001,497.99999999999994
2020-05-25,611.6999999999999,1082.4000000000003,2020.3000000000002,540.2
2020-05-26,943.3000000000001,1468.0,2914.1000000000004,519.1
2020-05-27,392.7000000000001,986.4000000000001,1588.6999999999996,481.90000000000003
2020-05-28,150.9,383.30000000000007,614.7000000000002,351.70000000000005
2020-05-29,174.9,521.9000000000001,790.4,396.09999999999997
2020-05-30,199.9,563.1999999999999,869.3999999999999,436.0
2020-05-31,87.29999999999998,342.90000000000003,476.6000000000001,380.7999999999999
2020-06-01,333.8,712.2000000000002,1223.9999999999998,396.30000000000007
2020-06-02,982.3000000000001,1605.8999999999999,3112.5000000000005,461.99999999999994
2020-06-03,977.0000000000001,1460.3999999999999,2958.2999999999993,496.9000000000001
2020-06-04,1007.4999999999999,1196.4,2741.1000000000004,272.3
2020-06-05,1142.6,1292.1,3044.2999999999997,321.20000000000005
2020-06-06,1009.3000000000001,1150.6,2697.8999999999996,243.7
2020-06-07,857.6000000000001,1028.4,2343.2000000000003,248.48260869565223
2020-06-08,1001.8999999999999,1199.3,2735.9999999999995,189.69565217391306
2020-06-09,836.3,1219.8,2502.4999999999995,192.61739130434785
2020-06-10,1066.2,1120.3999999999999,2755.5000000000005,195.5391304347826
2020-06-11,387.4756097560976,700.0512195121951,1293.7463414634146,198.46086956521742
2020-06-12,308.0780487804878,524.9560975609755,996.7317073170731,201.38260869565218
2020-06-13,182.44634146341463,312.3926829268293,592.0219512195123,265.4717391304348
2020-06-14,391.09999999999997,716.2000000000002,1316.1999999999996,377.09999999999997
2020-06-15,1152.3000000000002,1511.3999999999996,3278.2,386.40000000000003
2020-06-16,857.8999999999999,1260.3,2575.5,322.1
2020-06-17,921.6000000000001,1264.4,2677.500000000001,348.69999999999993
2020-06-18,1138.2000000000003,1420.1000000000004,3165.1999999999985,288.8
2020-06-19,1117.3,1261.6000000000004,2974.6,314.9000000000001
2020-06-20,865.3000000000002,1045.7999999999997,2373.0,285.90000000000003
2020-06-21,769.6,876.7999999999998,2057.7000000000003,311.2
2020-06-22,2044.5,2062.3,5197.6,501.2
2020-06-23,680.0999999999999,997.9,2040.6999999999998,504.6
2020-06-24,365.09999999999997,963.0,1522.5,626.5
2020-06-25,419.4500000000001,1153.45,1796.0999999999997,650.0999999999999
2020-06-26,1217.5999999999997,1941.8999999999996,3808.999999999999,534.4
2020-06-27,1142.3999999999996,1196.2,2947.8,290.5
2020-06-28,829.8,929.1999999999999,2201.6,260.29999999999995
2020-06-29,1191.6000000000001,1140.2000000000003,2967.2,358.0
2020-06-30,1372.3000000000002,1268.1999999999998,3372.1999999999994,291.09999999999997
2020-07-01,1273.7,1286.1000000000004,3239.3000000000006,264.90000000000003
2020-07-02,1572.7000000000003,1614.3,4025.8,272.8
2020-07-03,1202.8999999999999,1195.2,3039.6000000000004,356.80000000000007
2020-07-04,923.1999999999999,916.1999999999999,2331.9999999999995,221.9
2020-07-05,727.1000000000001,721.6999999999998,1836.5,296.6
2020-07-06,1456.1999999999998,1497.9000000000003,3730.4000000000005,349.4
2020-07-07,1784.3000000000002,1876.3,4611.799999999999,388.0
2020-07-08,2132.5999999999995,1615.1000000000004,4885.099999999999,280.20000000000005
2020-07-09,1420.5999999999997,1152.3,3330.0999999999995,255.59999999999997
2020-07-10,1675.4999999999995,1630.7,4200.000000000001,255.79999999999995
2020-07-11,1765.0000000000002,1891.7000000000003,4597.900000000001,299.6
2020-07-12,1216.7000000000003,1611.1999999999998,3476.8,374.8
2020-07-13,1855.4,2104.0,4948.6,343.1000000000001
2020-07-14,2000.8000000000002,1897.4,4965.299999999999,279.49999999999994
2020-07-15,2493.0,2175.5,5998.299999999999,321.7
2020-07-16,1855.2,1893.0,4737.7,272.9000000000001
2020-07-17,2131.8,2175.25,5444.25,465.1999999999999
2020-07-18,1501.1,1692.3000000000002,3994.0,357.7000000000001
2020-07-19,1055.1499999999999,1236.9499999999998,2854.8500000000004,224.80000000000004
2020-07-20,1277.1,1568.6000000000001,3526.3,325.70000000000005
2020-07-21,1594.3,1846.4,4291.1,383.1000000000001
2020-07-22,1526.6000000000001,1944.5000000000002,4285.1,466.6000000000001
2020-07-23,1523.8,2033.3,4369.9,493.6000000000001
2020-07-24,1722.9999999999998,1677.8,4319.9,365.00000000000006
2020-07-25,1118.3,1132.0,2847.2,265.1
2020-07-26,849.6999999999999,882.6999999999999,2185.4,319.70000000000005
2020-07-27,922.0,981.7,2396.0,365.69999999999993
2020-07-28,1773.8,1835.8000000000002,4556.099999999999,342.3
2020-07-29,2120.8999999999996,2187.7999999999997,5439.8,432.99999999999994
2020-07-30,1079.2999999999997,1486.2499999999998,3140.9500000000003,415.0
2020-07-31,611.9,1403.1999999999998,2341.4999999999995,548.5
2020-08-01,1323.8,1406.4999999999998,3436.1999999999994,260.2
2020-08-02,958.6,1202.1999999999998,2672.2000000000007,227.50000000000003
2020-08-03,1451.3000000000002,1634.1999999999998,3859.9,276.50000000000006
2020-08-04,1442.3999999999999,1619.6,3830.7,479.50000000000006
2020-08-05,1067.3999999999999,1341.8999999999996,2978.500000000001,411.20000000000005
2020-08-06,1278.5,1532.1000000000001,3492.7,392.70000000000005
2020-08-07,1347.8999999999999,2279.7999999999997,4346.299999999999,672.6
2020-08-08,653.8999999999999,1768.5,2770.6999999999994,708.0000000000001
2020-08-09,170.79999999999995,701.6999999999999,963.5999999999999,635.5999999999999
2020-08-10,299.80000000000007,944.4000000000001,1404.4,698.3000000000001
2020-08-11,483.7499999999999,1673.4500000000003,2414.4499999999994,945.3000000000001
2020-08-12,363.00000000000006,1614.2999999999997,2170.9,1068.2999999999997
2020-08-13,826.1000000000003,1702.6000000000004,2969.6,709.0999999999998
2020-08-14,1573.4,1973.2999999999997,4386.0,463.8999999999999
2020-08-15,1332.3999999999999,1654.4999999999995,3697.0999999999995,536.2999999999998
2020-08-16,695.0999999999999,1296.5,2363.1000000000004,636.0000000000002
2020-08-17,1393.8,1833.8999999999999,3971.2000000000003,405.29999999999995
2020-08-18,1170.2999999999997,1374.9,3169.300000000001,338.40000000000003
2020-08-19,477.25,689.05,1421.0500000000002,256.5
2020-08-20,1013.0999999999997,1327.8999999999999,2881.3999999999996,558.3000000000001
2020-08-21,921.6999999999999,1137.6000000000001,2550.6,541.0999999999999
2020-08-22,970.9000000000001,1287.1,2775.4999999999995,385.90000000000003
2020-08-23,840.4,1032.0,2320.6000000000004,301.3
2020-08-24,1663.2000000000005,1794.1,4344.500000000001,359.70000000000005
2020-08-25,627.4,781.6999999999999,1743.4,319.7
2020-08-26,1791.0,1823.5000000000002,4569.900000000001,471.90000000000003
2020-08-27,1241.8999999999999,1211.7999999999997,3116.099999999999,412.59999999999997
2020-08-28,1891.8999999999996,1661.4999999999998,4562.199999999999,394.8
2020-08-29,886.6999999999999,990.8000000000001,2350.000000000001,278.8
2020-08-30,760.8000000000001,969.9000000000001,2136.8,327.6
2020-08-31,1621.1,1806.6999999999998,4292.200000000001,355.7
2020-09-01,2254.2000000000003,2234.3000000000006,5690.299999999998,512.2
2020-09-02,1944.3000000000002,2021.7999999999997,5002.9,397.0
2020-09-03,1523.1,1521.5,3856.7,332.4
2020-09-04,2351.9,2143.2,5749.699999999999,444.00000000000006
2020-09-05,2665.4000000000005,2259.7,6346.499999999999,435.09999999999997
2020-09-06,1632.0000000000002,1769.8,4271.800000000001,330.70000000000005
2020-09-07,1970.1999999999998,1568.0,4588.900000000001,334.4
2020-09-08,2000.3000000000004,1689.2999999999995,4756.7,309.1
2020-09-09,2232.6000000000004,1776.2,5199.199999999998,418.29999999999995
2020-09-10,1934.1999999999998,2045.9000000000003,5011.7,479.4000000000001
2020-09-11,2177.7999999999997,2169.6000000000004,5509.300000000001,428.8
2020-09-12,1629.7,1719.4,4218.0,338.7000000000001
2020-09-13,969.4000000000001,1344.6,2831.0,313.2
2020-09-14,695.1999999999999,1281.2999999999997,2347.0,622.0
2020-09-15,1544.3,2725.7999999999997,5094.099999999999,1068.0
2020-09-16,623.9999999999999,1272.5,2228.8,669.0999999999999
2020-09-17,329.59999999999997,573.3000000000001,1079.0,484.8
2020-09-18,561.5999999999999,847.3000000000001,1708.0,483.2
2020-09-19,271.40000000000003,695.8,1112.3,511.8
2020-09-20,260.40000000000003,738.9999999999999,1138.1000000000001,527.6000000000001
2020-09-21,1519.8000000000002,2003.6,4333.5,738.8999999999999
2020-09-22,1741.5000000000002,2136.5,4806.3,630.6000000000001
2020-09-23,1294.8999999999999,1427.1000000000004,3413.0999999999995,311.79999999999995
2020-09-24,1367.8000000000004,1316.4,3413.2000000000003,274.70000000000005
2020-09-25,1257.8999999999999,1129.8,3058.7,149.45
2020-09-26,1181.9,1193.9,3005.7999999999997,199.50000000000003
2020-09-27,793.3000000000001,883.0,2099.1,230.39999999999995
2020-09-28,2519.1,1986.2,5848.699999999999,420.1
2020-09-29,2302.0000000000005,1887.8,5417.700000000001,413.29999999999995
2020-09-30,1026.3000000000002,1128.1999999999998,2702.2999999999997,340.1000000000001
2020-10-01,2183.7,1765.9000000000003,5114.6,325.8000000000001
2020-10-02,524.1999999999999,783.0999999999999,1587.0999999999997,234.79999999999998
2020-10-03,1067.8,1233.6000000000004,2871.1000000000004,282.09999999999997
2020-10-04,1039.8,1143.6,2737.9,145.20000000000005
2020-10-05,1869.8999999999999,1539.0000000000002,4405.3,308.0
2020-10-06,1755.6499999999999,1677.0499999999997,4369.25,315.1000000000001
2020-10-07,2087.5,1698.5,4899.100000000001,373.69999999999993
2020-10-08,1730.4000000000005,1474.1000000000001,4126.9,280.2
2020-10-09,3065.3,2229.6,6930.0999999999985,358.3
2020-10-10,2327.3,2029.8000000000004,5598.4,393.4
2020-10-11,1692.2,1421.9,4015.999999999999,297.4999999999999
2020-10-12,2466.8,1896.8,5679.400000000001,364.1
2020-10-13,2725.1000000000004,1777.5000000000002,5955.900000000001,394.69999999999993
2020-10-14,1198.1999999999998,1219.6,3057.099999999999,336.2
2020-10-15,1735.1000000000001,1524.7999999999997,4184.899999999999,347.7
2020-10-16,2007.1,1682.6000000000004,4760.499999999999,423.7000000000001
2020-10-17,1727.8,1694.8000000000002,4343.900000000001,377.9
2020-10-18,1858.8,1696.8,4547.200000000001,494.1
2020-10-19,541.2,963.1999999999999,1792.7000000000003,420.99999999999994
2020-10-20,902.3000000000001,1086.9,2469.7000000000003,493.4
2020-10-21,1332.5,1393.1,3435.8,301.50000000000006
2020-10-22,2182.9999999999995,1996.3000000000002,5343.400000000001,414.2
2020-10-23,1732.0500000000002,1685.05,4340.9,427.678640776699
2020-10-24,750.5000000000002,1066.1999999999998,2217.3,427.60776699029134
2020-10-25,755.5,1031.6000000000001,2189.8,421.45631067961165
2020-10-26,1906.6,1818.1,4741.1,415.30485436893207
2020-10-27,1324.8999999999999,1418.5000000000002,3449.7000000000003,448.85242718446585
2020-10-28,1670.0999999999997,1652.0999999999997,4212.7,401.80000000000007
2020-10-29,1464.7999999999997,1516.6000000000001,3762.7999999999993,385.47999999999996
2020-10-30,1403.0000000000002,1505.3,3656.4,413.52
2020-10-31,1272.6,1488.5000000000002,3439.7000000000003,504.69999999999993
2020-11-01,627.4,883.2000000000002,1844.8999999999999,418.50000000000006
2020-11-02,1117.9000000000003,1266.6,2980.6999999999994,376.40000000000003
2020-11-03,2260.1,2074.0,5539.6,438.4
2020-11-04,4767.699999999999,2709.8,10020.100000000002,714.9999999999999
2020-11-05,4958.8,2368.2000000000003,9971.7,1427.5000000000002
2020-11-06,1641.3,1634.6,4151.1,1263.8999999999999
2020-11-07,1382.3999999999999,1325.5,3445.1,941.9
2020-11-08,1345.9,1186.0000000000002,3249.9000000000005,945.8000000000001
2020-11-09,1026.0,1230.5999999999997,2803.7000000000003,472.9
2020-11-10,1537.6000000000001,1577.5,3935.6,506.2000000000001
2020-11-11,649.1,891.5999999999999,1887.0000000000002,392.0999999999999
2020-11-12,1348.0,1504.2000000000003,3571.2,463.0
2020-11-13,1945.6,1961.7999999999997,4944.9,512.6999999999999
2020-11-14,501.8,824.0,1593.9,100.65
2020-11-15,456.4,797.5999999999999,1497.2999999999997,227.35000000000005
2020-11-16,1409.0,1523.2999999999997,3684.0000000000014,362.5
2020-11-17,1172.6000000000001,1445.1,3243.1,406.90000000000003
2020-11-18,1166.1499999999999,1294.3000000000002,3082.5000000000005,498.0500000000002
2020-11-19,2368.0,2000.6000000000001,5631.299999999999,459.3
2020-11-20,2063.9000000000005,1882.8999999999999,5047.400000000001,384.0
2020-11-21,1052.8,1393.0000000000002,3007.2000000000003,331.9
2020-11-22,2010.3000000000002,1894.0,4976.6,457.25000000000006
2020-11-23,2349.1999999999994,2021.1000000000001,5623.199999999999,596.1
2020-11-24,909.0000000000001,1238.5,2632.5,400.09999999999997
2020-11-25,1495.0,1616.8,3909.9999999999995,550.5999999999999
2020-11-26,2959.6,2223.2,6760.800000000002,685.5
2020-11-27,4294.500000000001,2186.0,8770.2,794.6
2020-11-28,781.5,1326.7999999999997,2525.3,902.2
2020-11-29,971.8999999999999,1464.9,2954.9000000000005,718.4
2020-11-30,2297.8999999999996,1708.0000000000002,5231.200000000002,566.5
2020-12-01,1970.6000000000004,1779.0999999999997,4800.7,679.5499999999998
