MeasurementDateGMT,Enfield - Bowes Primary School: Nitric Oxide (ug/m3),Enfield - Bowes Primary School: Nitrogen Dioxide (ug/m3),Enfield - Bowes Primary School: Oxides of Nitrogen (ug/m3),Enfield - Bowes Primary School: PM10 Particulate (ug/m3)
2020-01-26,110.3,502.1,671.0999999999999,497.0
2020-01-27,104.30000000000001,695.4,855.0999999999999,184.0
2020-01-28,287.7,832.3000000000002,1273.1,210.1
2020-01-29,268.20000000000005,856.4999999999999,1267.5,417.20000000000005
2020-01-30,149.90000000000003,654.1,884.8000000000001,198.00000000000003
2020-01-31,90.1,424.5,562.8,80.5
2020-02-01,160.49999999999997,510.49999999999994,756.6,394.29999999999995
2020-02-02,168.5,564.1999999999999,822.4000000000001,417.5
2020-02-03,321.0000000000001,725.1999999999999,1217.0,436.20000000000005
2020-02-04,649.2,954.7,1950.3,400.84999999999997
2020-02-05,2233.8,1701.4,5126.900000000001,916.4000000000001
2020-02-06,2812.0,1934.5000000000002,6245.6,1006.4999999999998
2020-02-07,1480.7000000000003,1194.5,3465.5,926.3999999999999
2020-02-08,77.80000000000001,491.40000000000003,611.1999999999999,397.9000000000001
2020-02-09,50.800000000000004,197.6,275.5,253.69999999999996
2020-02-10,261.09999999999997,530.4000000000001,930.7999999999998,264.1
2020-02-11,290.40000000000003,572.6,1017.4000000000001,358.0
2020-02-12,245.49999999999997,786.5,1163.2,284.1
2020-02-13,289.40000000000003,705.0999999999999,1148.6,211.6
2020-02-14,849.4,814.4000000000001,2117.0999999999995,473.1000000000001
2020-02-15,24.099999999999998,184.70000000000002,221.39999999999998,104.3
2020-02-16,54.300000000000004,274.6,358.2,73.4
2020-02-17,173.8,486.7,753.1999999999999,335.1
2020-02-18,157.29999999999998,587.1,828.5,245.1
2020-02-19,186.99999999999997,674.6999999999998,961.3,274.4
2020-02-20,192.80000000000004,508.90000000000003,804.8000000000001,139.89999999999998
2020-02-21,118.35000000000001,502.94999999999993,684.6999999999999,405.99999999999994
