MeasurementDateGMT,Hackney - Old Street: Nitric Oxide (ug/m3),Hackney - Old Street: Nitrogen Dioxide (ug/m3),Hackney - Old Street: Oxides of Nitrogen (ug/m3),Hackney - Old Street: Ozone (ug/m3),Hackney - Old Street: PM10 Particulate (ug/m3)
2018-12-08,750.05,1189.4499999999998,2340.0499999999997,808.7999999999998,540.5000000000001
2018-12-09,1087.3,1224.5,2891.2,642.5999999999999,338.9000000000001
2018-12-10,2247.3999999999996,1591.1,5036.500000000001,159.29999999999993,532.6
2018-12-11,2371.9499999999994,1490.7000000000003,5127.650000000001,149.10000000000002,829.8499999999999
2018-12-12,593.8000000000001,1129.4,2039.6000000000004,488.3,606.4000000000001
2018-12-13,974.7000000000003,1171.1,2665.4999999999995,182.99999999999997,625.3999999999999
2018-12-14,1334.5000000000002,1214.9,3261.1,147.50000000000003,778.5000000000001
2018-12-15,623.2,899.8000000000001,1855.6000000000001,466.70000000000005,538.9
2018-12-16,912.8000000000003,1401.5000000000002,2801.5,569.4,437.1
2018-12-17,1777.3,1536.3999999999996,4261.599999999999,345.4,562.6000000000001
2018-12-18,487.99999999999994,864.2,1612.3,915.0000000000001,471.09999999999997
2018-12-19,1170.8,1456.1000000000004,3251.2000000000007,559.0,393.70000000000005
2018-12-20,1297.3,1471.7,3460.9999999999995,537.3000000000001,500.5
2018-12-21,1012.4,1293.6999999999998,2846.0,601.9,557.5000000000001
2018-12-22,1328.3000000000002,1504.8999999999999,3542.1000000000004,406.2999999999999,483.9
2018-12-23,662.0,1009.3999999999999,2024.7,592.9999999999999,224.80000000000004
2018-12-24,1276.9,1210.1000000000001,3168.3999999999996,257.49999999999994,480.40000000000003
2018-12-25,2027.5999999999997,1171.1,4280.099999999999,175.90000000000003,527.4
2018-12-26,620.0,1144.5,2095.5,268.19999999999993,431.00000000000006
2018-12-27,4181.7,1373.2,7784.999999999999,51.80000000000002,1008.4
2018-12-28,2878.7999999999997,1373.9000000000003,5787.700000000002,79.69999999999997,827.9000000000001
2018-12-29,944.2,1215.8999999999999,2663.7999999999997,387.70000000000005,450.74999999999994
2018-12-30,912.0,1160.8,2558.599999999999,341.99999999999994,360.50000000000006
2018-12-31,721.6999999999999,964.6000000000001,2071.2000000000003,728.6999999999998,304.4
2019-01-01,519.7,861.2,1658.1000000000001,840.0999999999997,439.50000000000006
2019-01-02,359.79999999999995,746.6999999999999,1298.1000000000001,1013.0,353.29999999999995
2019-01-03,567.7,1047.0000000000002,1916.8999999999999,700.1000000000001,369.15000000000003
2019-01-04,1123.8999999999999,1217.1000000000001,2940.2999999999997,343.99999999999983,753.5000000000002
2019-01-05,883.9000000000001,1155.3,2510.6000000000004,473.5,597.6
