MeasurementDateGMT,City of London - The Aldgate School: Nitric Oxide (ug/m3),City of London - The Aldgate School: Nitrogen Dioxide (ug/m3),City of London - The Aldgate School: Oxides of Nitrogen (ug/m3),City of London - The Aldgate School: PM10 Particulate (ug/m3),City of London - The Aldgate School: PM2.5 Particulate (ug/m3)
2019-12-05,762.0999999999999,1095.1,2263.5999999999995,548.0,424.0
2019-12-06,65.89999999999999,681.0999999999999,782.1,289.5,178.5
2019-12-07,56.60000000000001,577.4999999999999,664.0999999999998,340.0,179.0
2019-12-08,21.1,302.00000000000006,334.3,334.0,221.0
2019-12-09,274.0,920.7000000000002,1340.9999999999998,381.0,221.0
2019-12-10,107.90000000000002,704.0999999999999,869.3,377.0,212.0
2019-12-11,184.9,1026.8,1310.2,368.0,249.0
2019-12-12,212.29999999999998,940.3999999999999,1266.0000000000002,304.0,195.0
2019-12-13,142.90000000000003,844.4,1063.1999999999998,373.0,259.0
2019-12-14,81.60000000000001,659.3,784.4999999999999,424.0,224.0
2019-12-15,73.5,494.99999999999994,608.2,310.0,217.0
2019-12-16,416.7,1184.6,1823.2,372.0,253.0
2019-12-17,324.8,1157.8999999999999,1655.4,394.0,384.5
2019-12-18,326.59999999999997,1071.8999999999999,1573.0,402.0,270.0
2019-12-19,178.99999999999997,571.3,845.9,477.0,308.0
2019-12-20,161.69999999999996,840.1999999999998,1087.7,233.0,217.0
2019-12-21,44.9,462.6,531.2,299.0,273.0
2019-12-22,48.199999999999996,598.0,671.8,357.0,231.0
2019-12-23,85.2,731.4,862.4000000000001,394.0,283.0
2019-12-24,41.79999999999999,530.0,594.1,411.0,312.0
2019-12-25,230.79999999999995,812.0,1165.9,308.0,259.0
2019-12-26,75.1,588.3,703.3999999999999,371.0,260.0
2019-12-27,422.6000000000001,796.0,1444.1,411.0,396.0
2019-12-28,220.9,691.9,1031.5000000000002,441.0,449.0
2019-12-29,68.13333333333334,533.3333333333335,637.9666666666667,409.0,415.0
2019-12-30,313.06666666666666,806.2666666666667,1286.3333333333333,490.0,530.0
2019-12-31,394.9000000000001,859.3999999999999,1465.1,687.0,619.0
2020-01-01,400.5,923.9000000000001,1537.4000000000003,752.0,885.0
2020-01-02,50.7,486.69999999999993,563.9,304.0,280.5
2020-01-03,120.8,735.1999999999998,920.8000000000002,351.0,267.0
2020-01-04,87.3,806.3000000000001,940.0000000000001,313.0,242.0
2020-01-05,40.3,489.1000000000001,551.0000000000001,213.0,165.0
2020-01-06,60.099999999999994,584.7,677.5999999999998,379.0,260.0
2020-01-07,71.15,573.5500000000001,682.75,491.0,278.0
2020-01-08,154.4,806.4,1043.1000000000001,635.0,475.0
2020-01-09,52.800000000000004,473.90000000000003,554.5,348.0,207.0
2020-01-10,171.19999999999993,885.4,1148.1,333.0,278.0
2020-01-11,24.900000000000002,339.90000000000003,378.19999999999993,412.0,260.0
2020-01-12,29.1,396.19999999999993,441.1,249.0,190.0
2020-01-13,39.9,422.49999999999994,484.00000000000006,314.0,192.0
2020-01-14,34.7,384.90000000000003,437.8000000000001,393.0,269.0
2020-01-15,75.90000000000002,697.9,814.1000000000001,381.5,252.5
2020-01-16,56.20000000000002,480.7,567.0999999999999,408.0,267.0
2020-01-17,54.9,653.1999999999999,737.5000000000001,334.0,252.04347826086956
2020-01-18,210.7,1004.3000000000001,1327.0000000000002,359.0,418.26086956521743
2020-01-19,471.79999999999995,1015.7,1739.3000000000002,431.0,626.9565217391305
2020-01-20,1884.8000000000002,1747.1,4636.900000000001,766.0,754.7391304347826
2020-01-21,1903.2000000000003,1740.3999999999999,4658.7,847.0,712.0
2020-01-22,1041.3,1252.0,2848.7000000000007,696.0,734.0
2020-01-23,378.59999999999997,1113.6000000000001,1693.4000000000003,519.0,479.5
2020-01-24,402.5,1049.0,1666.1000000000001,460.0,415.0
2020-01-25,87.69999999999999,699.5,834.2999999999998,601.0,516.0
2020-01-26,22.299999999999997,458.6000000000001,492.79999999999995,529.0,420.5
2020-01-27,46.800000000000004,745.1,816.9999999999999,312.0,232.0
2020-01-28,85.29999999999998,774.2000000000002,904.9000000000001,249.0,191.0
2020-01-29,98.29999999999997,785.3,935.7,454.0,273.0
2020-01-30,64.25,658.1999999999999,756.5999999999998,376.0,247.5
2020-01-31,55.199999999999996,512.5,597.7,250.0,108.0
2020-02-01,22.600000000000005,372.09999999999997,406.69999999999993,410.0,202.0
2020-02-02,23.149999999999995,423.49999999999994,459.0,464.0,260.0
2020-02-03,85.75,704.4499999999998,836.1000000000001,453.0,263.5
2020-02-04,129.85,815.1499999999999,1014.6,376.0,226.0
2020-02-05,579.0000000000001,1306.7500000000002,2194.0499999999997,618.0,457.0
2020-02-06,975.1500000000001,1412.2000000000003,2906.9500000000003,718.5,659.0
2020-02-07,504.8,999.4,1773.55,726.0,577.0
2020-02-08,71.9,539.9999999999999,650.35,462.0,252.0
2020-02-09,21.599999999999998,190.1,223.19999999999996,404.0,198.0
2020-02-10,48.25,459.75,533.8,344.0,230.5
2020-02-11,68.14999999999999,526.1500000000001,630.7000000000002,359.0,243.0
2020-02-12,84.05000000000001,691.2500000000001,820.0,319.0,158.0
2020-02-13,76.90000000000002,723.7,841.7,300.0,203.5
2020-02-14,138.85,796.3500000000001,1008.95,515.0,312.0
2020-02-15,14.600000000000001,235.60000000000002,257.9,315.0,170.0
2020-02-16,10.100000000000003,228.10000000000002,243.30000000000004,200.0,168.0
2020-02-17,46.3,446.8,518.3,382.0,195.0
2020-02-18,57.25000000000001,515.75,603.25,284.0,218.0
2020-02-19,110.40000000000002,742.6000000000001,911.9000000000002,337.0,271.0
2020-02-20,68.3,593.4000000000001,697.8,220.0,183.0
2020-02-21,45.8,445.7,515.4999999999999,401.0,294.0
2020-02-22,28.500000000000004,315.9000000000001,359.4,398.0,333.0
2020-02-23,46.800000000000004,402.7,474.2,162.0,154.0
2020-02-24,46.4,494.80000000000007,565.9,245.0,183.0
2020-02-25,72.39999999999999,643.5000000000001,754.1000000000001,222.0,167.0
2020-02-26,119.39999999999999,850.1,1033.3,269.0,206.0
2020-02-27,161.9,895.3000000000001,1143.2,292.0,255.0
2020-02-28,97.6,723.6999999999999,873.3,326.0,252.0
2020-02-29,32.300000000000004,340.7,390.09999999999997,415.0,303.0
2020-03-01,51.6,365.0,443.9,250.0,198.0
2020-03-02,130.79999999999998,767.2,967.6,240.0,203.0
2020-03-03,126.60000000000001,923.0000000000001,1117.6,370.0,239.0
2020-03-04,197.69999999999993,994.4000000000002,1297.6000000000004,359.0,304.0
2020-03-05,82.19999999999999,523.6,649.3,430.0,322.0
2020-03-06,394.79999999999995,1122.7,1727.7,529.0,385.0
2020-03-07,132.49999999999997,847.1000000000001,1050.3000000000002,465.0,370.0
2020-03-08,27.3,376.9,419.3,238.0,217.0
