MeasurementDateGMT,Greenwich - Plumstead High Street: Nitric Oxide (ug/m3),Greenwich - Plumstead High Street: Nitrogen Dioxide (ug/m3),Greenwich - Plumstead High Street: Oxides of Nitrogen (ug/m3),Greenwich - Plumstead High Street: Ozone (ug/m3),Greenwich - Plumstead High Street: PM10 Particulate (ug/m3),Greenwich - Plumstead High Street: PM2.5 Particulate (ug/m3)
2019-08-15,348.1,648.0,1182.1000000000001,664.6999999999997,256.43717590745905,137.8
2019-08-16,147.0,325.09999999999997,550.0999999999998,771.2999999999997,253.8639010769844,170.55
2019-08-17,141.60000000000002,281.8999999999999,499.19999999999993,841.2999999999997,251.2906262465098,169.4
2019-08-18,104.30000000000003,259.40000000000003,419.80000000000007,1012.2999999999996,248.7173514160351,183.05000000000004
2019-08-19,179.00000000000003,391.6,665.8999999999999,936.8999999999996,246.1440765855604,159.29999999999998
2019-08-20,305.45000000000005,731.1000000000001,1199.2,947.1499999999996,243.5708017550857,227.14999999999998
2019-08-21,250.90000000000006,574.1999999999999,958.8000000000002,1062.8999999999999,240.9975269246111,239.0
2019-08-22,187.1,525.5,812.4,1163.2,238.42425209413645,232.60000000000002
2019-08-23,285.2,909.7,1346.8999999999999,644.3999999999999,235.85097726366172,336.6
2019-08-24,292.5,1189.3999999999999,1638.0000000000002,943.0999999999998,233.27770243318707,674.4
2019-08-25,108.6,1032.3,1199.1,1058.6999999999998,230.7044276027124,1013.5
2019-08-26,186.50000000000003,1096.7000000000003,1382.8999999999996,1040.6999999999998,228.1311527722377,688.2000000000002
2019-08-27,358.6,1229.0,1778.8,1078.1999999999998,225.55787794176302,797.1999999999999
2019-08-28,188.7,543.4000000000001,832.9,1012.6999999999997,222.9846031112884,244.6
2019-08-29,249.60000000000002,602.5,985.3000000000002,1025.8999999999996,220.4113282808137,137.10645161290324
2019-08-30,203.6,423.9000000000001,735.9,1004.7999999999996,217.83805345033903,134.0935483870968
2019-08-31,249.4,648.2,1030.7,832.6999999999997,215.2647786198644,201.29999999999998
2019-09-01,184.10000000000002,579.1999999999999,861.3,787.3999999999997,212.6915037893897,181.9
2019-09-02,273.59999999999997,641.4,1060.8999999999996,893.2999999999997,210.118228958915,175.89999999999992
2019-09-03,283.70000000000005,601.5999999999999,1036.6000000000004,984.3999999999996,207.54495412844034,168.7
2019-09-04,280.1,549.8000000000002,979.6999999999999,870.3999999999996,204.97167929796566,163.0
2019-09-05,344.7,764.4,1292.8999999999999,823.7999999999997,202.398404467491,188.70000000000002
2019-09-06,351.0,759.3000000000001,1297.1,714.9999999999998,199.82512963701635,233.70000000000002
2019-09-07,63.10000000000001,342.70000000000005,439.7999999999999,855.0999999999997,197.2518548065417,162.50000000000003
2019-09-08,136.50000000000003,575.0,784.5999999999999,879.7999999999998,194.67857997606703,251.9
2019-09-09,423.3,934.4,1584.1,641.3999999999999,192.10530514559233,260.90000000000003
2019-09-10,805.0000000000002,1075.0,2309.1000000000004,350.4,189.53203031511765,367.79999999999995
2019-09-11,283.5,478.19999999999993,912.8,657.4999999999998,186.95875548464298,245.10000000000002
2019-09-12,309.4,471.20000000000005,945.9999999999999,630.0999999999998,184.3854806541683,223.40000000000003
2019-09-13,143.7,472.99999999999994,693.8,781.0999999999997,181.81220582369366,281.99999999999994
2019-09-14,415.1000000000001,918.7999999999998,1555.1000000000001,625.1999999999998,179.23893099321901,280.20000000000005
2019-09-15,357.50000000000006,918.2,1466.8,665.9999999999998,176.66565616274434,298.7
2019-09-16,383.6000000000001,750.9000000000001,1338.4,318.5,174.09238133226964,367.25454545454534
2019-09-17,89.8,411.7,548.8,797.6999999999997,171.51910650179497,196.14545454545456
2019-09-18,270.0,790.5,1204.5,687.4999999999999,168.9458316713203,237.10000000000002
2019-09-19,611.5,1095.3000000000002,2033.1,493.1999999999999,166.37255684084562,323.59999999999997
2019-09-20,469.70000000000005,1072.4999999999998,1792.8000000000002,576.1999999999999,163.79928201037092,362.49999999999994
2019-09-21,310.1,1088.3000000000002,1563.5,511.7999999999999,161.22600717989627,418.4
2019-09-22,139.0,582.2999999999998,795.5999999999998,859.8999999999997,158.65273234942163,337.19999999999993
2019-09-23,174.29999999999998,323.59999999999997,591.1,951.1999999999997,156.07945751894698,160.46956521739133
2019-09-24,194.90000000000003,349.4,648.2000000000002,854.9999999999997,153.50618268847225,176.23043478260868
2019-09-25,227.1,402.30000000000007,750.4999999999999,765.9999999999997,150.93290785799758,116.55
2019-09-26,150.79999999999998,288.4000000000001,519.9,1025.5999999999997,148.35963302752293,125.10000000000001
2019-09-27,175.70000000000002,314.2,583.7,1033.2999999999997,145.78635819704826,177.7
2019-09-28,163.4,291.6,542.4000000000001,1040.4999999999998,143.21308336657358,157.2
2019-09-29,132.8,270.8,474.7,1082.6999999999998,140.63980853609894,132.5
2019-09-30,289.40000000000003,522.5,966.3,751.6999999999998,138.06653370562427,160.56153846153848
2019-10-01,167.49999999999997,400.70000000000005,657.1,954.8999999999997,135.49325887514956,116.23846153846154
2019-10-02,315.59999999999997,770.6000000000001,1254.3000000000002,589.7999999999998,132.9199840446749,158.05
2019-10-03,630.5000000000001,924.3000000000001,1891.0000000000002,483.3999999999999,130.34670921420022,278.9
2019-10-04,420.90000000000003,856.6000000000001,1501.7000000000003,619.6999999999998,127.77343438372559,309.3
