MeasurementDateGMT,Croydon - Norbury Manor: PM2.5 Particulate (ug/m3)
2019-06-29,282.0
2019-06-30,177.0
2019-07-01,105.0
2019-07-02,132.0
2019-07-03,143.0
2019-07-04,140.0
2019-07-05,203.0
2019-07-06,153.0
2019-07-07,140.0
2019-07-08,112.0
2019-07-09,162.0
2019-07-10,200.0
2019-07-11,140.0
2019-07-12,112.0
2019-07-13,132.0
2019-07-14,137.0
2019-07-15,97.0
2019-07-16,150.0
2019-07-17,185.0
2019-07-18,148.0
2019-07-19,104.0
2019-07-20,84.0
2019-07-21,102.0
2019-07-22,149.0
2019-07-23,214.0
2019-07-24,218.0
2019-07-25,332.0
2019-07-26,249.0
2019-07-27,112.0
2019-07-28,98.0
2019-07-29,148.0
2019-07-30,143.0
2019-07-31,104.0
2019-08-01,139.0
2019-08-02,194.0
2019-08-03,175.0
2019-08-04,190.0
2019-08-05,123.0
2019-08-06,119.0
2019-08-07,103.0
2019-08-08,106.0
2019-08-09,124.0
2019-08-10,179.0
2019-08-11,153.0
2019-08-12,135.0
2019-08-13,94.0
2019-08-14,100.0
2019-08-15,81.0
2019-08-16,107.0
2019-08-17,109.0
2019-08-18,124.0
2019-08-19,108.0
2019-08-20,166.0
2019-08-21,200.0
2019-08-22,188.0
2019-08-23,175.0
2019-08-24,367.0
2019-08-25,578.0
2019-08-26,383.0
2019-08-27,429.0
2019-08-28,154.0
2019-08-29,70.0
2019-08-30,125.0
2019-08-31,166.0
2019-09-01,119.0
2019-09-02,137.0
2019-09-03,94.0
2019-09-04,81.0
2019-09-05,107.0
2019-09-06,138.0
2019-09-07,132.0
2019-09-08,161.0
2019-09-09,180.0
2019-09-10,194.0
2019-09-11,100.0
2019-09-12,119.0
2019-09-13,119.0
2019-09-14,225.0
2019-09-15,176.0
2019-09-16,197.0
2019-09-17,158.0
2019-09-18,169.0
2019-09-19,199.0
2019-09-20,245.0
2019-09-21,261.0
2019-09-22,172.0
2019-09-23,88.0
2019-09-24,98.0
2019-09-25,92.0
2019-09-26,119.0
2019-09-27,123.0
2019-09-28,99.0
2019-09-29,100.0
2019-09-30,103.0
2019-10-01,160.0
2019-10-02,164.0
2019-10-03,220.0
2019-10-04,222.0
2019-10-05,243.0
2019-10-06,126.0
2019-10-07,99.0
2019-10-08,191.0
2019-10-09,118.0
2019-10-10,148.0
2019-10-11,87.0
2019-10-12,130.0
2019-10-13,115.0
2019-10-14,143.0
2019-10-15,109.0
2019-10-16,144.0
2019-10-17,115.0
2019-10-18,137.0
2019-10-19,152.0
2019-10-20,201.0
2019-10-21,123.0
2019-10-22,248.0
2019-10-23,355.0
2019-10-24,354.0
2019-10-25,127.0
2019-10-26,167.0
2019-10-27,402.0
2019-10-28,709.0
2019-10-29,135.0
2019-10-30,305.0
2019-10-31,622.0
2019-11-01,162.0
2019-11-02,146.0
2019-11-03,225.0
2019-11-04,218.0
2019-11-05,257.0
2019-11-06,343.0
2019-11-07,170.5
2019-11-08,302.0
2019-11-09,287.0
2019-11-10,357.0
2019-11-11,182.0
2019-11-12,162.0
2019-11-13,195.05263157894737
