MeasurementDateGMT,Bexley - Belvedere West FDMS: PM10 Particulate (ug/m3)
2019-02-13,395.9
2019-02-14,672.4000000000001
2019-02-15,716.4
2019-02-16,610.9
2019-02-17,513.5
2019-02-18,317.40000000000003
2019-02-19,285.59999999999997
2019-02-20,354.70000000000005
2019-02-21,499.19999999999993
2019-02-22,620.9999999999999
2019-02-23,734.8000000000001
2019-02-24,962.2999999999998
2019-02-25,1193.7000000000003
2019-02-26,1372.8000000000004
2019-02-27,1255.1999999999998
2019-02-28,612.5
2019-03-01,693.3000000000002
2019-03-02,293.79999999999995
2019-03-03,193.6
2019-03-04,176.40000000000003
2019-03-05,199.10000000000002
2019-03-06,273.09999999999997
2019-03-07,183.10000000000005
2019-03-08,192.79999999999998
2019-03-09,303.50000000000006
2019-03-10,191.1
2019-03-11,199.5
2019-03-12,170.64999999999998
2019-03-13,245.3
2019-03-14,214.20000000000002
2019-03-15,139.3
2019-03-16,194.50000000000003
2019-03-17,128.6
2019-03-18,270.90000000000003
2019-03-19,345.3
2019-03-20,275.09999999999997
2019-03-21,316.79999999999995
2019-03-22,362.9000000000001
2019-03-23,402.5
2019-03-24,355.8000000000001
2019-03-25,279.90000000000003
2019-03-26,431.6
2019-03-27,366.9
2019-03-28,478.7
2019-03-29,888.9
2019-03-30,1299.9000000000003
2019-03-31,598.7000000000002
2019-04-01,350.5
2019-04-02,494.10000000000014
2019-04-03,333.0
2019-04-04,208.79999999999995
2019-04-05,363.00000000000006
2019-04-06,356.29999999999995
2019-04-07,927.1000000000001
2019-04-08,989.8
2019-04-09,771.0999999999999
2019-04-10,315.00000000000006
2019-04-11,313.2999999999999
2019-04-12,332.4000000000001
2019-04-13,337.1
2019-04-14,500.70000000000005
2019-04-15,843.3999999999999
2019-04-16,1018.7999999999998
2019-04-17,1192.1
2019-04-18,1077.2
2019-04-19,839.0000000000001
2019-04-20,802.6000000000001
2019-04-21,984.9
2019-04-22,1413.9
2019-04-23,825.4000000000001
2019-04-24,584.3000000000001
2019-04-25,185.59999999999997
2019-04-26,191.9
2019-04-27,173.5
2019-04-28,234.20000000000002
2019-04-29,474.8999999999999
2019-04-30,481.2
2019-05-01,510.6999999999999
2019-05-02,271.90000000000003
2019-05-03,277.8
2019-05-04,185.20000000000005
2019-05-05,252.79999999999998
2019-05-06,201.3
2019-05-07,298.90000000000003
2019-05-08,257.0
2019-05-09,302.40000000000003
2019-05-10,277.5
2019-05-11,334.79999999999995
2019-05-12,274.30000000000007
2019-05-13,237.70000000000002
2019-05-14,267.4
2019-05-15,480.6000000000001
2019-05-16,360.5000000000001
2019-05-17,409.9
2019-05-18,425.9000000000001
2019-05-19,673.8
2019-05-20,399.1
2019-05-21,300.0
2019-05-22,270.20000000000005
2019-05-23,240.1
2019-05-24,290.1
2019-05-25,221.70000000000005
2019-05-26,225.6
2019-05-27,215.20000000000005
2019-05-28,193.20000000000005
2019-05-29,240.44999999999996
2019-05-30,258.6
2019-05-31,253.9000000000001
2019-06-01,242.96818181818188
2019-06-02,242.2818181818182
2019-06-03,252.5
2019-06-04,356.90000000000003
2019-06-05,206.7
2019-06-06,195.59999999999997
2019-06-07,294.0999999999999
2019-06-08,142.8
2019-06-09,173.50000000000003
2019-06-10,181.40000000000003
2019-06-11,138.20000000000005
2019-06-12,146.10000000000002
2019-06-13,143.70000000000002
2019-06-14,132.79999999999998
2019-06-15,119.70000000000002
2019-06-16,129.39999999999998
2019-06-17,171.10000000000002
2019-06-18,241.50000000000003
2019-06-19,368.3
2019-06-20,168.2
2019-06-21,180.2
2019-06-22,211.60000000000002
2019-06-23,600.3
2019-06-24,507.9
2019-06-25,373.70000000000005
2019-06-26,230.4
2019-06-27,270.4
2019-06-28,407.90000000000003
2019-06-29,560.9000000000001
2019-06-30,223.70000000000005
2019-07-01,144.9
2019-07-02,206.59999999999997
2019-07-03,275.5
2019-07-04,287.3
2019-07-05,315.0999999999999
2019-07-06,162.4
2019-07-07,263.5
2019-07-08,384.6
2019-07-09,240.9
2019-07-10,301.6
2019-07-11,255.10000000000005
2019-07-12,153.8
2019-07-13,176.1
2019-07-14,121.70000000000003
2019-07-15,148.5
2019-07-16,258.0
2019-07-17,259.30000000000007
2019-07-18,231.1
2019-07-19,182.60000000000002
2019-07-20,160.9
2019-07-21,140.5
2019-07-22,217.39999999999998
2019-07-23,529.5
2019-07-24,426.30000000000007
2019-07-25,636.9000000000002
2019-07-26,308.5
2019-07-27,189.70000000000005
2019-07-28,156.4
2019-07-29,197.50000000000003
2019-07-30,250.70000000000007
2019-07-31,146.7
2019-08-01,245.70000000000005
2019-08-02,319.50000000000006
2019-08-03,263.2
2019-08-04,293.4
2019-08-05,200.00000000000003
2019-08-06,188.1
2019-08-07,169.39999999999998
2019-08-08,179.4
2019-08-09,220.8
2019-08-10,314.20000000000005
2019-08-11,253.60000000000002
2019-08-12,182.4
2019-08-13,135.8
2019-08-14,120.1
2019-08-15,160.00000000000003
2019-08-16,131.90000000000003
2019-08-17,191.89999999999998
2019-08-18,156.80000000000004
2019-08-19,163.99999999999994
2019-08-20,189.70000000000002
2019-08-21,227.90000000000003
2019-08-22,221.00000000000003
2019-08-23,300.69999999999993
2019-08-24,781.6
2019-08-25,892.8000000000001
2019-08-26,685.9
2019-08-27,896.1
2019-08-28,208.99999999999994
2019-08-29,119.61428571428567
2019-08-30,206.58571428571426
2019-08-31,219.7
2019-09-01,132.20000000000002
2019-09-02,194.40000000000006
2019-09-03,145.09999999999997
2019-09-04,137.9
2019-09-05,167.5
2019-09-06,239.25
2019-09-07,202.49999999999997
2019-09-08,231.3
2019-09-09,248.4
2019-09-10,355.0999999999999
2019-09-11,162.60000000000002
2019-09-12,179.9
2019-09-13,254.39999999999998
2019-09-14,331.7
2019-09-15,280.8999999999999
2019-09-16,296.8
2019-09-17,245.19999999999996
2019-09-18,366.99999999999994
2019-09-19,448.9
2019-09-20,603.0000000000001
2019-09-21,675.1
2019-09-22,341.29999999999995
2019-09-23,156.7
2019-09-24,181.9
2019-09-25,134.2
2019-09-26,209.39999999999998
2019-09-27,232.29999999999998
2019-09-28,177.19999999999996
2019-09-29,131.9
2019-09-30,145.8
2019-10-01,218.10000000000002
2019-10-02,177.79999999999998
2019-10-03,296.1
2019-10-04,384.1
2019-10-05,314.8
2019-10-06,218.99999999999997
2019-10-07,159.00000000000003
2019-10-08,328.3999999999999
2019-10-09,179.20000000000005
2019-10-10,258.9
2019-10-11,148.7
2019-10-12,143.99999999999997
2019-10-13,172.70000000000002
2019-10-14,347.0
2019-10-15,192.79999999999998
2019-10-16,217.59999999999997
2019-10-17,180.29999999999998
2019-10-18,239.4
2019-10-19,204.5
2019-10-20,267.8
2019-10-21,190.2
2019-10-22,316.9
2019-10-23,593.0000000000001
2019-10-24,448.9
2019-10-25,194.9
2019-10-26,214.29999999999998
2019-10-27,336.2
2019-10-28,368.40000000000003
2019-10-29,215.5
2019-10-30,553.0
2019-10-31,872.4
2019-11-01,321.2999999999999
2019-11-02,244.39999999999998
2019-11-03,280.20000000000005
2019-11-04,308.1
2019-11-05,293.50000000000006
2019-11-06,514.4000000000001
2019-11-07,190.80000000000007
2019-11-08,353.4
2019-11-09,314.5
2019-11-10,313.9
2019-11-11,244.79999999999998
2019-11-12,191.39999999999998
2019-11-13,221.39999999999998
2019-11-14,159.7
2019-11-15,329.1
2019-11-16,373.80000000000007
2019-11-17,581.5000000000001
2019-11-18,252.5
2019-11-19,570.5
2019-11-20,393.00000000000006
2019-11-21,708.9000000000001
2019-11-22,270.7
2019-11-23,411.4
2019-11-24,373.40000000000003
2019-11-25,200.49999999999997
2019-11-26,152.8
2019-11-27,208.7
2019-11-28,258.5
2019-11-29,352.6
2019-11-30,462.5
2019-12-01,216.7
2019-12-02,589.4999999999999
2019-12-03,396.00000000000006
2019-12-04,624.2
2019-12-05,481.4999999999999
2019-12-06,119.69999999999999
2019-12-07,195.10000000000002
2019-12-08,254.20000000000002
2019-12-09,260.75000000000006
2019-12-10,265.5
2019-12-11,251.20000000000002
2019-12-12,163.45
2019-12-13,255.3
2019-12-14,318.70000000000005
2019-12-15,258.3
2019-12-16,228.10000000000002
2019-12-17,240.94999999999996
2019-12-18,290.0
2019-12-19,308.70000000000005
2019-12-20,110.10000000000001
2019-12-21,144.29999999999995
2019-12-22,159.20000000000002
2019-12-23,232.1
2019-12-24,260.2
2019-12-25,238.4
2019-12-26,250.90000000000003
2019-12-27,312.5
2019-12-28,316.30000000000007
2019-12-29,382.59999999999997
2019-12-30,500.99999999999994
2019-12-31,628.0
2020-01-01,851.8000000000001
2020-01-02,179.1
2020-01-03,190.29999999999998
2020-01-04,218.1
2020-01-05,112.2
2020-01-06,215.09999999999997
2020-01-07,282.5
2020-01-08,399.79999999999995
2020-01-09,113.4
2020-01-10,168.7
2020-01-11,272.3
2020-01-12,104.8
2020-01-13,191.90000000000003
2020-01-14,170.40000000000003
2020-01-15,163.54999999999998
2020-01-16,236.2
2020-01-17,143.44999999999996
2020-01-18,319.1
2020-01-19,399.79999999999995
2020-01-20,672.8
2020-01-21,794.8000000000002
2020-01-22,890.6999999999999
2020-01-23,526.7
2020-01-24,424.2000000000001
2020-01-25,571.8999999999999
2020-01-26,421.90000000000003
2020-01-27,137.09999999999997
2020-01-28,140.70000000000002
2020-01-29,304.09999999999997
2020-01-30,147.59999999999997
2020-01-31,36.9
2020-02-01,269.0
2020-02-02,325.40000000000003
2020-02-03,310.50000000000006
2020-02-04,274.09999999999997
2020-02-05,507.50000000000006
2020-02-06,554.0
2020-02-07,702.3000000000002
2020-02-08,320.6000000000001
2020-02-09,225.90000000000003
2020-02-10,197.09999999999997
2020-02-11,235.99999999999997
2020-02-12,282.49999999999994
2020-02-13,132.85
2020-02-14,353.30000000000007
2020-02-15,84.4
2020-02-16,61.05
2020-02-17,272.7
2020-02-18,201.20000000000005
2020-02-19,247.1
2020-02-20,112.30000000000001
2020-02-21,348.30000000000007
2020-02-22,314.5
2020-02-23,69.75
2020-02-24,80.0
2020-02-25,121.19999999999999
2020-02-26,161.9
2020-02-27,142.7
2020-02-28,182.0
2020-02-29,333.40000000000003
2020-03-01,200.79999999999998
2020-03-02,155.09999999999997
2020-03-03,281.2
2020-03-04,276.90000000000003
2020-03-05,250.09999999999994
2020-03-06,353.7
2020-03-07,439.2
2020-03-08,211.5
2020-03-09,234.0
2020-03-10,55.49999999999999
2020-03-11,79.59999999999998
2020-03-12,259.7
2020-03-13,305.8
2020-03-14,189.4
2020-03-15,150.5
2020-03-16,277.09999999999997
2020-03-17,274.40000000000003
2020-03-18,219.30000000000004
2020-03-19,316.79999999999995
2020-03-20,255.9
2020-03-21,348.0
2020-03-22,389.5
2020-03-23,564.2
2020-03-24,488.6000000000001
2020-03-25,761.9999999999999
2020-03-26,835.3
2020-03-27,816.5000000000001
2020-03-28,480.3999999999999
2020-03-29,266.5
2020-03-30,231.6
2020-03-31,345.69999999999993
2020-04-01,310.40000000000003
2020-04-02,225.2
2020-04-03,313.3
2020-04-04,343.7
2020-04-05,323.5000000000001
2020-04-06,230.2
2020-04-07,591.9
2020-04-08,1250.3000000000002
2020-04-09,1288.6999999999998
2020-04-10,1058.4
2020-04-11,658.0999999999998
2020-04-12,491.9000000000001
2020-04-13,344.90000000000003
2020-04-14,315.5
2020-04-15,691.6999999999999
2020-04-16,1173.1
2020-04-17,422.7999999999999
2020-04-18,503.29999999999995
2020-04-19,395.1
2020-04-20,519.0
2020-04-21,639.2
2020-04-22,708.6999999999998
2020-04-23,748.6
2020-04-24,738.1999999999999
2020-04-25,339.5
2020-04-26,365.79999999999995
2020-04-27,449.70000000000005
2020-04-28,179.30000000000004
2020-04-29,217.9
2020-04-30,166.9
2020-05-01,156.7
2020-05-02,137.0
2020-05-03,227.00000000000003
2020-05-04,293.59999999999997
2020-05-05,309.7
2020-05-06,409.70000000000005
2020-05-07,513.2
2020-05-08,504.90000000000003
2020-05-09,765.9000000000001
2020-05-10,552.1999999999999
2020-05-11,256.5
2020-05-12,282.79999999999995
2020-05-13,228.6
2020-05-14,192.3
2020-05-15,312.0
2020-05-16,276.1
2020-05-17,236.50000000000003
2020-05-18,194.00000000000003
2020-05-19,211.2
2020-05-20,220.69999999999993
2020-05-21,389.19999999999993
2020-05-22,388.1
2020-05-23,310.24999999999994
2020-05-24,291.2
2020-05-25,335.6
2020-05-26,281.55
2020-05-27,338.7
2020-05-28,281.4
2020-05-29,335.3
2020-05-30,360.0
2020-05-31,272.2
2020-06-01,337.79999999999995
2020-06-02,286.0
2020-06-03,437.9999999999999
2020-06-04,160.35000000000002
2020-06-05,141.10000000000005
2020-06-06,154.29999999999995
2020-06-07,171.3
2020-06-08,229.89999999999998
2020-06-09,269.5
2020-06-10,305.50000000000006
2020-06-11,368.3999999999999
2020-06-12,568.2000000000002
2020-06-13,310.4
2020-06-14,290.8
2020-06-15,181.79999999999998
2020-06-16,259.4
2020-06-17,298.05
2020-06-18,165.70000000000002
2020-06-19,188.39999999999998
2020-06-20,177.59999999999997
2020-06-21,213.50000000000003
2020-06-22,319.70000000000005
2020-06-23,345.70000000000005
2020-06-24,598.8000000000001
2020-06-25,619.2
2020-06-26,433.59999999999997
2020-06-27,192.2
2020-06-28,159.79999999999993
2020-06-29,224.9
2020-06-30,123.3
2020-07-01,119.3
2020-07-02,133.89999999999998
2020-07-03,205.4
2020-07-04,114.7
2020-07-05,180.79999999999998
2020-07-06,207.60000000000002
2020-07-07,184.89999999999998
2020-07-08,146.79999999999998
2020-07-09,189.89999999999998
2020-07-10,131.2
2020-07-11,169.4
2020-07-12,335.6
2020-07-13,167.99999999999994
2020-07-14,178.60000000000002
2020-07-15,128.3
2020-07-16,137.8
2020-07-17,271.8
2020-07-18,169.70000000000002
2020-07-19,134.9
2020-07-20,180.10000000000005
2020-07-21,211.0
2020-07-22,216.50000000000003
2020-07-23,257.9
2020-07-24,137.3
2020-07-25,64.30000000000001
2020-07-26,199.20000000000005
2020-07-27,207.0
2020-07-28,183.29999999999998
2020-07-29,168.0
2020-07-30,271.3
