MeasurementDateGMT,Enfield - Bush Hill Park: Nitric Oxide (ug/m3),Enfield - Bush Hill Park: Nitrogen Dioxide (ug/m3),Enfield - Bush Hill Park: Oxides of Nitrogen (ug/m3)
2018-05-29,16.1,262.5,287.4
2018-05-30,53.599999999999994,591.6000000000001,674.1
2018-05-31,53.09999999999999,503.1000000000001,584.1
2018-06-01,56.2,637.5,723.5
2018-06-02,15.5,321.00000000000006,345.50000000000006
2018-06-03,33.099999999999994,420.7999999999999,471.1000000000001
2018-06-04,23.099999999999994,323.00000000000006,358.6
2018-06-05,26.2,286.90000000000003,327.00000000000006
2018-06-06,27.4,277.75000000000006,319.8
2018-06-07,30.000000000000004,336.59999999999997,383.09999999999997
2018-06-08,33.89999999999999,296.7,348.69999999999993
2018-06-09,34.7,310.5,363.9000000000001
2018-06-10,43.699999999999996,301.09999999999997,368.3
2018-06-11,59.800000000000004,380.59999999999997,472.2
2018-06-12,41.4,360.79999999999995,424.4
2018-06-13,114.0,553.8999999999999,728.5000000000001
2018-06-14,43.99999999999999,296.9,364.5
2018-06-15,44.900000000000006,412.4000000000001,481.30000000000007
2018-06-16,45.0,312.8,382.20000000000005
2018-06-17,34.8,215.60000000000002,268.8
2018-06-18,25.4,199.70000000000002,238.7
2018-06-19,51.300000000000004,244.1,323.00000000000006
2018-06-20,80.39999999999999,285.95000000000005,409.6
2018-06-21,20.500000000000004,206.7,238.0
2018-06-22,35.20000000000001,329.1,383.5
2018-06-23,23.699999999999996,378.9000000000001,415.29999999999995
2018-06-24,36.699999999999996,392.6,448.5999999999999
2018-06-25,30.5,500.29999999999995,547.0999999999999
2018-06-26,84.60000000000001,531.3,661.0000000000001
2018-06-27,45.1,343.00000000000006,411.9
2018-06-28,29.8,313.00000000000006,358.4
2018-06-29,30.999999999999996,291.99999999999994,339.6000000000001
2018-06-30,25.699999999999996,292.8,332.90000000000003
2018-07-01,24.500000000000004,412.00000000000006,449.6
2018-07-02,35.199999999999996,428.5999999999999,483.1
2018-07-03,35.400000000000006,371.0,425.20000000000005
2018-07-04,47.699999999999996,552.9000000000001,626.1000000000001
2018-07-05,55.9,606.7,693.0
2018-07-06,21.400000000000002,443.70000000000005,476.5
2018-07-07,22.1,433.1,466.7
2018-07-08,21.099999999999998,407.40000000000003,439.3000000000001
2018-07-09,61.2,496.49999999999994,590.6
2018-07-10,21.099999999999994,192.40000000000003,224.8
2018-07-11,20.7,216.89999999999998,248.5
2018-07-12,29.400000000000006,386.5999999999999,431.40000000000003
2018-07-13,46.9,427.49999999999994,499.2
2018-07-14,72.4,718.6,829.8000000000003
2018-07-15,26.00000000000001,595.6,635.5000000000001
2018-07-16,21.2,392.9000000000001,425.29999999999995
2018-07-17,25.8,311.90000000000003,351.8999999999999
2018-07-18,52.00000000000001,572.6000000000001,652.1999999999999
2018-07-19,144.79999999999998,809.3000000000001,1031.2000000000003
2018-07-20,84.70000000000002,846.9,976.6999999999998
2018-07-21,15.999999999999993,423.80000000000007,448.4
2018-07-22,27.100000000000005,477.4,518.9
2018-07-23,72.89999999999998,684.2000000000002,796.7
2018-07-24,38.900000000000006,505.6,565.6
2018-07-25,31.8,451.0999999999999,499.8
2018-07-26,58.39999999999999,725.9,815.4
2018-07-27,37.099999999999994,680.6,737.3000000000001
2018-07-28,36.599999999999994,255.50000000000003,311.50000000000006
2018-07-29,40.800000000000004,254.90000000000003,318.09999999999997
2018-07-30,77.8,316.7,435.50000000000006
2018-07-31,42.2,381.7,446.6
2018-08-01,55.4,531.75,616.8000000000001
2018-08-02,76.8,568.5999999999999,686.3
2018-08-03,76.7,539.6,656.7999999999998
2018-08-04,16.1,241.8,266.4
2018-08-05,36.300000000000004,397.1,452.79999999999984
2018-08-06,135.00000000000003,765.0000000000001,971.6999999999999
2018-08-07,37.900000000000006,614.2999999999998,672.5999999999999
2018-08-08,27.299999999999997,251.5,293.00000000000006
2018-08-09,85.60000000000001,579.4000000000001,710.9
2018-08-10,86.10000000000001,483.1000000000001,615.2
2018-08-11,85.7,453.29999999999995,584.9
