MeasurementDateGMT,Redbridge - Ley Street: Nitric Oxide (ug/m3),Redbridge - Ley Street: Nitrogen Dioxide (ug/m3),Redbridge - Ley Street: Oxides of Nitrogen (ug/m3),Redbridge - Ley Street: Ozone (ug/m3),Redbridge - Ley Street: PM10 Particulate (ug/m3),Redbridge - Ley Street: PM2.5 Particulate (ug/m3)
2020-06-25,158.30000000000004,534.6999999999999,777.6,2260.2999999999997,510.0,278.0
2020-06-26,118.8,462.5999999999999,645.0,1856.6000000000004,437.0,268.0
2020-06-27,23.299999999999994,140.9,176.39999999999998,1135.9,246.0,95.0
2020-06-28,17.150000000000002,100.29999999999998,127.05,1232.4499999999998,228.5,87.0
2020-06-29,216.0,247.50000000000003,578.7000000000002,1147.4000000000003,300.0,77.0
2020-06-30,276.6,362.59999999999997,786.8999999999999,769.4,200.0,69.0
2020-07-01,351.3,344.7,883.2000000000002,779.9000000000001,167.0,65.0
2020-07-02,246.2,442.69999999999993,820.4000000000001,769.9,184.0,93.0
2020-07-03,218.3,314.30000000000007,649.1000000000001,995.7499999999998,278.0,77.0
2020-07-04,32.300000000000004,164.50000000000003,213.9,683.1,182.0,72.0
2020-07-05,15.7,64.19999999999999,87.9,997.8,258.0,66.0
2020-07-06,896.2,500.1,1873.9,956.3000000000002,239.0,100.0
2020-07-07,341.0000000000001,553.1,1075.2999999999997,890.3999999999999,262.0,113.0
2020-07-08,434.1,472.6000000000001,1138.3,379.2,159.0,69.0
2020-07-09,214.9,272.9,602.4,404.6000000000001,152.0,97.0
2020-07-10,579.7499999999997,473.24999999999994,1362.3500000000001,873.1,152.0,36.0
2020-07-11,33.3,350.8,401.8999999999999,884.1,207.0,84.0
2020-07-12,55.09999999999999,385.50000000000006,470.3,1300.3999999999999,278.0,141.0
2020-07-13,539.8,620.7,1448.6000000000001,976.5999999999999,196.0,78.0
2020-07-14,423.15000000000003,408.6000000000001,1057.6999999999998,824.6999999999999,192.0,74.0
2020-07-15,333.8,454.7999999999999,966.8000000000001,651.8,169.0,42.0
2020-07-16,517.4000000000001,443.90000000000003,1237.0000000000002,604.7,240.0,71.0
2020-07-17,648.7000000000002,603.5999999999999,1598.6000000000001,706.1000000000001,336.0,144.0
2020-07-18,15.299999999999999,214.9,238.20000000000002,818.6000000000001,239.0,76.0
2020-07-19,16.300000000000004,199.99999999999997,225.6,866.6999999999999,163.0,56.0
2020-07-20,456.1346153846155,389.53461538461534,1090.142307692308,773.9192307692307,180.1153846153846,81.92307692307692
2020-07-21,103.3153846153846,343.5153846153846,502.20769230769235,1203.1307692307691,201.3846153846154,68.07692307692307
2020-07-22,99.5,427.29999999999995,580.0,1519.5,326.0,121.0
2020-07-23,46.1,342.20000000000005,412.8,1355.9,288.0,137.0
2020-07-24,61.3,286.8,380.69999999999993,808.2,204.0,108.0
2020-07-25,39.699999999999996,253.89999999999998,315.2,681.5999999999998,193.0,92.0
2020-07-26,31.2,194.99999999999997,242.99999999999997,657.1999999999999,247.0,86.0
2020-07-27,48.19999999999998,228.4,302.3999999999999,728.3000000000001,340.13843648208467,108.0
2020-07-28,171.8,347.1,609.9999999999998,849.2000000000002,350.4039087947883,63.0
2020-07-29,167.4,482.20000000000005,738.4999999999998,889.8000000000001,360.7231270358306,114.0
2020-07-30,78.0,515.6,635.6000000000001,1201.3000000000002,371.04234527687294,132.0
2020-07-31,42.9,502.3000000000001,568.5000000000001,1844.1000000000004,381.3615635179153,291.0
2020-08-01,23.999999999999996,176.20000000000002,212.9,884.9000000000001,391.68078175895766,117.0
2020-08-02,21.8,157.9,191.09999999999997,988.4000000000001,402.0,53.32258064516129
2020-08-03,103.6,291.09999999999997,449.7,983.6000000000001,412.31921824104234,60.7741935483871
2020-08-04,101.60000000000004,346.89999999999986,502.70000000000005,1031.7,422.63843648208467,71.9225806451613
2020-08-05,32.4,203.69999999999996,253.60000000000005,1179.4,432.957654723127,83.07096774193549
2020-08-06,46.9,368.9,441.3,908.9,443.27687296416934,94.21935483870968
