MeasurementDateGMT,Westminster - Marylebone Road FDMS: PM10 Particulate (ug/m3),Westminster - Marylebone Road FDMS: PM2.5 Particulate (ug/m3)
2019-06-29,752.6999999999999,369.9
2019-06-30,425.8999999999999,170.58861788617887
2019-07-01,288.8,155.09268292682927
2019-07-02,285.5,194.89756097560974
2019-07-03,395.1,234.70243902439023
2019-07-04,394.7,274.5073170731708
2019-07-05,477.2,317.0113821138211
2019-07-06,236.20000000000002,129.7
2019-07-07,380.1,189.40975609756097
2019-07-08,412.09999999999997,186.09024390243903
2019-07-09,550.3,288.09999999999997
2019-07-10,604.9000000000001,365.09999999999997
2019-07-11,448.69999999999993,256.29999999999995
2019-07-12,262.50000000000006,133.00000000000003
2019-07-13,234.49999999999997,135.8
2019-07-14,226.50000000000003,109.80000000000001
2019-07-15,304.3,109.50000000000001
2019-07-16,528.8,255.29999999999998
2019-07-17,597.1999999999999,323.0
2019-07-18,488.2999999999999,208.8
2019-07-19,449.7000000000001,162.8
2019-07-20,418.90000000000003,115.7
2019-07-21,491.20000000000005,120.50000000000003
2019-07-22,583.0,220.90000000000003
2019-07-23,702.0999999999999,282.1
2019-07-24,768.4,374.19999999999993
2019-07-25,814.9000000000001,369.8000000000001
2019-07-26,558.6,248.30000000000004
2019-07-27,299.6,84.19999999999999
2019-07-28,353.29999999999995,77.69999999999999
2019-07-29,443.53853211009175,153.88163265306122
2019-07-30,497.9119266055045,174.94897959183677
2019-07-31,547.0568807339449,170.54081632653057
2019-08-01,596.2018348623852,166.13265306122452
2019-08-02,644.9908256880735,161.72448979591832
2019-08-03,474.3,157.31632653061226
2019-08-04,514.6999999999999,152.9081632653061
2019-08-05,491.70000000000005,148.50000000000003
2019-08-06,489.79999999999995,159.09693877551018
2019-08-07,506.1499999999999,164.19999999999996
2019-08-08,438.6000000000001,177.49999999999997
2019-08-09,457.40000000000003,169.70000000000002
2019-08-10,539.9999999999999,194.1
2019-08-11,476.90000000000015,166.39999999999998
2019-08-12,414.20000000000005,180.09999999999997
2019-08-13,351.49999999999994,132.35
2019-08-14,359.29999999999995,189.8
2019-08-15,356.4,132.10000000000002
2019-08-16,373.29999999999995,190.1
2019-08-17,418.4,174.6
2019-08-18,389.1,165.50000000000003
2019-08-19,457.4,178.2
2019-08-20,515.4,214.29999999999998
2019-08-21,543.0,246.99999999999994
2019-08-22,519.8,258.7
2019-08-23,522.0999999999999,278.90000000000003
2019-08-24,830.0999999999999,574.3
