MeasurementDateGMT,Sutton - Beddington Lane north: Nitric Oxide (ug/m3),Sutton - Beddington Lane north: Nitrogen Dioxide (ug/m3),Sutton - Beddington Lane north: Oxides of Nitrogen (ug/m3),Sutton - Beddington Lane north: PM10 Particulate (ug/m3),Sutton - Beddington Lane north: PM2.5 Particulate (ug/m3)
2018-11-22,5636.83,1544.6899999999998,10188.68,1227.1875,1083.5
2018-11-23,5269.976000000001,1541.048,9622.655999999999,913.0,829.0
2018-11-24,4347.992,1397.816,8065.152,719.0,628.0
2018-11-25,3426.008,1254.584,6507.648,503.0,430.0
2018-11-26,2504.024,1111.352,4950.143999999999,505.5,277.0
2018-11-27,1582.04,968.1199999999999,3392.64,389.0,290.0
2018-11-28,636.7800000000001,690.4400000000002,1665.5800000000002,292.0,160.0
2018-11-29,464.90000000000003,838.3999999999999,1551.3000000000002,397.0,156.0
2018-11-30,542.6999999999999,809.6000000000001,1641.7000000000003,534.0,162.0
2018-12-01,264.4,587.0,992.1,223.0,87.0
2018-12-02,107.99999999999999,213.7,379.50000000000006,129.0,83.0
2018-12-03,313.0,645.5,1125.3999999999999,401.0,185.0
2018-12-04,1592.5,1381.5000000000002,3823.0,1067.0,241.0
2018-12-05,650.7000000000003,919.5999999999999,1917.1,237.0,184.0
2018-12-06,372.90000000000003,567.5000000000001,1139.3999999999999,316.0,146.0
2018-12-07,290.4,451.0,896.4,222.0,91.0
2018-12-08,130.10000000000002,243.49999999999991,443.1000000000001,350.0,153.0
2018-12-09,102.9,343.9,502.3,223.0,128.0
2018-12-10,903.5000000000001,1227.8,2613.1,777.0,233.0
2018-12-11,1847.6,1349.0999999999997,4182.000000000001,1149.0,451.0
2018-12-12,316.94999999999993,1023.4500000000002,1509.35,713.0,347.5
2018-12-13,451.29999999999995,1027.2,1719.2,497.0,373.0
2018-12-14,1610.1,1420.6,3889.499999999999,1005.0,526.0
2018-12-15,128.89999999999998,526.5999999999998,724.8000000000001,509.0,316.0
2018-12-16,270.79999999999995,738.8,1154.4,271.0,128.0
2018-12-17,844.9999999999999,1222.0,2517.5999999999995,382.0,177.0
2018-12-18,374.95000000000005,803.1500000000001,1378.05,405.5,181.5
2018-12-19,749.0,1420.7999999999997,2569.5,252.0,118.0
2018-12-20,424.6000000000001,726.9999999999999,1378.0,422.0,128.0
2018-12-21,217.19999999999996,456.5,789.9000000000001,458.0,187.0
2018-12-22,170.3,427.3,688.5000000000001,420.0,184.0
2018-12-23,109.60000000000001,523.9000000000001,692.0,194.0,142.0
2018-12-24,1208.7,1044.6,2898.0999999999995,488.0,432.0
2018-12-25,721.5,785.1999999999999,1891.5000000000002,473.0,379.0
2018-12-26,380.99999999999994,849.6000000000001,1434.0000000000002,497.0,368.0
2018-12-27,3211.8,1311.3999999999999,6236.4,1052.0,815.0
2018-12-28,1541.6999999999998,1095.0,3459.3999999999996,755.0,537.5
2018-12-29,219.1,560.4000000000001,895.8000000000001,340.0,205.0
2018-12-30,145.8,517.3000000000001,740.8999999999999,268.0,217.0
2018-12-31,246.90000000000003,541.0,919.3,338.0,196.0
2019-01-01,103.10000000000001,411.19999999999993,569.4000000000001,314.0,177.1851851851852
2019-01-02,157.29999999999998,756.9999999999999,998.35,341.0,199.8148148148148
2019-01-03,378.6,993.2000000000002,1573.8,389.0,204.0
2019-01-04,1412.4,1550.5999999999997,3715.9000000000005,976.0,644.0
2019-01-05,312.30000000000007,1069.0000000000002,1548.7,662.0,505.0
2019-01-06,225.79999999999998,957.7000000000002,1303.8999999999999,586.0,375.0
2019-01-07,306.79999999999995,655.4999999999998,1126.2,482.0,228.0
2019-01-08,488.29999999999995,963.0,1711.6,651.0,209.0
