MeasurementDateGMT,Croydon - Purley Way A23: Nitric Oxide (ug/m3),Croydon - Purley Way A23: Nitrogen Dioxide (ug/m3),Croydon - Purley Way A23: Oxides of Nitrogen (ug/m3)
2019-03-09,304.1,476.3,942.4000000000001
2019-03-10,188.00000000000003,334.99999999999994,623.6999999999999
2019-03-11,430.49999999999994,558.9,1219.3
2019-03-12,337.3,429.7,946.4
2019-03-13,318.8,416.4999999999999,905.5
2019-03-14,340.8,477.8,1000.3000000000001
2019-03-15,316.2,353.30000000000007,838.2
2019-03-16,170.1,216.2,476.90000000000003
2019-03-17,289.0,432.6000000000001,876.0000000000001
2019-03-18,817.6,980.8,2234.4
2019-03-19,865.3000000000001,915.2000000000002,2242.0999999999995
2019-03-20,657.8,770.2,1779.4
2019-03-21,913.1,903.0,2303.1000000000004
2019-03-22,678.3000000000001,775.9,1816.2000000000003
2019-03-23,375.70000000000005,703.7,1280.2
2019-03-24,450.29999999999995,882.6000000000001,1573.5
2019-03-25,592.1,985.9999999999998,1893.6
2019-03-26,934.4999999999999,1341.6999999999996,2774.3500000000004
2019-03-27,1004.8,1472.3000000000002,3012.8
2019-03-28,864.1000000000003,1267.8999999999999,2593.1000000000004
2019-03-29,566.5000000000001,1198.6,2067.1000000000004
2019-03-30,679.0,1343.1,2384.1
2019-03-31,175.6,580.8,850.0
2019-04-01,399.50000000000006,703.8,1316.1
2019-04-02,816.4000000000001,1012.5,2264.5
2019-04-03,1190.0,1267.3999999999999,3092.1000000000013
2019-04-04,348.30000000000007,536.5999999999999,1070.2999999999997
2019-04-05,237.39999999999998,530.0,893.6999999999999
2019-04-06,253.19999999999996,634.4000000000002,1023.3
2019-04-07,549.3,850.4,1692.6
2019-04-08,895.9000000000001,1358.6,2731.8000000000006
2019-04-09,653.5499999999998,1045.6499999999999,2047.2500000000002
2019-04-10,322.9,590.9000000000001,1086.3000000000002
2019-04-11,366.79999999999995,732.2,1294.5
2019-04-12,556.5000000000001,847.0,1700.1999999999998
2019-04-13,297.90000000000003,702.6999999999999,1159.6000000000001
2019-04-14,222.49999999999994,603.1,944.3000000000001
2019-04-15,293.9,669.2,1119.5000000000002
2019-04-16,919.1000000000001,1378.6000000000004,2787.9000000000005
2019-04-17,704.3999999999999,1011.7000000000002,2091.3
2019-04-18,434.2999999999999,1093.5,1758.7999999999997
2019-04-19,242.30000000000004,982.7,1354.5
2019-04-20,295.7999999999999,918.1999999999999,1371.9999999999995
2019-04-21,155.50000000000003,797.1999999999999,1035.3
2019-04-22,175.3,785.0,1053.6000000000001
2019-04-23,422.9000000000001,1209.3,1857.1999999999994
2019-04-24,298.6,610.0999999999999,1067.7000000000003
2019-04-25,353.55,512.3499999999999,1054.7
2019-04-26,422.7000000000001,496.50000000000006,1143.9
2019-04-27,242.5,231.1,603.0000000000001
2019-04-28,274.5999999999999,468.9,889.5999999999998
2019-04-29,404.00000000000006,681.9,1301.1
2019-04-30,486.8999999999999,748.8000000000001,1495.4999999999998
2019-05-01,660.5,897.6999999999999,1910.8999999999999
2019-05-02,571.3000000000001,730.0999999999999,1606.1
2019-05-03,797.6999999999999,863.9000000000001,2086.6999999999994
2019-05-04,452.30000000000007,662.5000000000001,1356.2
2019-05-05,391.1,741.1,1340.9999999999998
2019-05-06,322.3999999999999,585.6999999999999,1080.2
2019-05-07,479.65000000000003,711.65,1446.6
2019-05-08,331.19999999999993,423.20000000000005,930.5999999999999
2019-05-09,696.5000000000001,813.0,1881.1000000000004
2019-05-10,657.3,826.4,1834.1000000000001
2019-05-11,434.7000000000001,789.4000000000002,1456.2999999999997
2019-05-12,344.4,512.4,1040.5000000000002
2019-05-13,380.8,550.8000000000001,1135.1000000000001
2019-05-14,324.7,516.5000000000001,1013.8999999999999
2019-05-15,327.20000000000005,623.5,1124.9
2019-05-16,283.9,577.0999999999999,1012.5
2019-05-17,378.3999999999999,672.9000000000001,1253.3000000000002
2019-05-18,446.4,952.1999999999998,1636.9999999999995
2019-05-19,555.9,886.3,1738.8
2019-05-20,772.8,1265.8,2450.9999999999995
2019-05-21,541.25,904.6,1734.05
2019-05-22,425.90000000000003,841.7000000000003,1495.1000000000004
2019-05-23,471.59999999999997,810.4,1533.5000000000002
2019-05-24,594.1,873.4999999999999,1784.3000000000004
2019-05-25,356.1,597.8,1144.1
2019-05-26,233.0,239.79999999999998,596.5999999999999
2019-05-27,235.7,313.40000000000003,674.1999999999998
2019-05-28,511.5999999999999,594.6999999999999,1379.2
2019-05-29,431.8,524.5000000000001,1186.5999999999997
2019-05-30,426.7,367.19999999999993,1020.8
2019-05-31,488.4000000000001,428.49999999999994,1177.1999999999998
2019-06-01,369.4000000000001,566.4000000000001,1132.8999999999999
2019-06-02,141.49999999999997,305.09999999999997,521.8000000000001
2019-06-03,357.1,427.0000000000001,975.1
2019-06-04,364.5,547.4,1106.4
2019-06-05,444.9,511.6,1193.8
2019-06-06,382.9,509.69999999999993,1096.8
2019-06-07,370.7000000000001,573.2,1141.8
2019-06-08,228.29999999999998,256.0,606.4
2019-06-09,279.59999999999997,477.09999999999997,906.1
2019-06-10,761.5000000000001,975.3000000000002,2142.5
2019-06-11,512.0999999999999,660.3000000000001,1445.3999999999996
2019-06-12,522.1000000000001,772.9999999999999,1573.5000000000002
2019-06-13,329.20000000000005,440.6000000000001,945.4999999999999
2019-06-14,352.4,502.0,1042.1
2019-06-15,296.49999999999994,486.49999999999994,940.9
2019-06-16,189.5,292.6,583.4
2019-06-17,345.70000000000005,490.09999999999997,1020.0999999999999
2019-06-18,556.75,844.05,1697.5
2019-06-19,666.3999999999999,845.4999999999998,1867.1999999999996
2019-06-20,453.4,476.79999999999995,1171.8999999999996
2019-06-21,502.4,617.3,1387.1
2019-06-22,206.6,453.6999999999999,770.8
2019-06-23,151.10000000000002,513.5999999999999,745.0
2019-06-24,444.8999999999999,784.6,1466.0
2019-06-25,665.0999999999999,936.0999999999999,1955.9999999999998
2019-06-26,300.19999999999993,482.4,942.4999999999999
2019-06-27,239.70000000000002,335.0,702.3999999999999
2019-06-28,248.0,379.0,758.5
2019-06-29,239.49999999999997,616.1000000000001,983.0000000000001
2019-06-30,203.1,289.7,600.9
2019-07-01,377.0,446.9000000000001,1024.8999999999999
2019-07-02,574.5999999999999,733.0,1614.3000000000002
2019-07-03,426.3999999999999,594.1999999999999,1248.7
2019-07-04,514.6499999999999,823.5,1612.4999999999998
2019-07-05,512.3,899.8,1685.7
2019-07-06,445.50000000000006,671.7,1354.8999999999999
2019-07-07,200.6,290.9,598.1
2019-07-08,334.9,468.19999999999993,982.0000000000001
2019-07-09,434.90000000000003,677.2,1344.2999999999997
2019-07-10,502.7999999999999,687.3,1458.1999999999998
2019-07-11,450.40000000000003,617.0,1307.7
2019-07-12,390.5999999999999,459.4,1058.6
