MeasurementDateGMT,Camden - Coopers Lane: PM10 Particulate (ug/m3)
2020-01-13,187.00000000000003
2020-01-14,214.10000000000002
2020-01-15,248.99999999999997
2020-01-16,269.5
2020-01-17,165.5
2020-01-18,263.34999999999997
2020-01-19,335.30000000000007
2020-01-20,731.5999999999999
2020-01-21,807.0
2020-01-22,660.3
2020-01-23,443.09999999999997
2020-01-24,409.7000000000001
2020-01-25,555.0
2020-01-26,410.30000000000007
2020-01-27,152.7
2020-01-28,151.59999999999997
2020-01-29,252.14999999999995
2020-01-30,175.8
2020-01-31,99.89999999999999
2020-02-01,268.9
2020-02-02,283.1
2020-02-03,288.20000000000005
2020-02-04,247.7
2020-02-05,548.4
2020-02-06,670.0
2020-02-07,703.3
2020-02-08,337.00000000000006
2020-02-09,227.4
2020-02-10,210.20000000000002
2020-02-11,250.79999999999995
2020-02-12,217.6
2020-02-13,237.2
2020-02-14,424.1
2020-02-15,173.71052631578948
2020-02-16,132.28947368421052
2020-02-17,337.1
2020-02-18,202.79999999999998
2020-02-19,262.9
2020-02-20,136.45
2020-02-21,307.2999999999999
2020-02-22,306.59999999999997
2020-02-23,127.49999999999997
2020-02-24,153.95000000000002
2020-02-25,197.8
2020-02-26,178.2
2020-02-27,178.5
2020-02-28,198.85
2020-02-29,293.75
2020-03-01,182.9
2020-03-02,187.60000000000005
2020-03-03,257.90000000000003
2020-03-04,337.15
2020-03-05,292.79999999999995
2020-03-06,339.7
2020-03-07,405.4
2020-03-08,174.10000000000002
2020-03-09,268.1
2020-03-10,89.0
2020-03-11,286.29999999999995
2020-03-12,229.30000000000004
2020-03-13,298.3
2020-03-14,163.10000000000002
2020-03-15,148.4
2020-03-16,259.7
2020-03-17,247.44999999999996
2020-03-18,327.80000000000007
2020-03-19,359.59999999999997
2020-03-20,259.20000000000005
2020-03-21,300.8
2020-03-22,412.80000000000007
2020-03-23,497.90000000000003
2020-03-24,392.49999999999994
2020-03-25,695.6
2020-03-26,801.8000000000002
2020-03-27,844.8000000000001
2020-03-28,486.99999999999994
2020-03-29,279.5
2020-03-30,219.79999999999998
2020-03-31,292.20000000000005
2020-04-01,273.1
2020-04-02,184.39999999999992
2020-04-03,281.59999999999997
2020-04-04,346.20000000000005
2020-04-05,309.09999999999997
2020-04-06,251.39999999999995
2020-04-07,490.99999999999994
2020-04-08,1074.3999999999999
2020-04-09,1156.3
2020-04-10,946.2
2020-04-11,690.4999999999998
2020-04-12,595.7
2020-04-13,313.3
2020-04-14,304.29999999999995
2020-04-15,601.1999999999999
2020-04-16,1053.5000000000002
2020-04-17,389.6
2020-04-18,493.0
2020-04-19,365.79999999999995
2020-04-20,434.8
2020-04-21,511.90000000000003
