MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-11-12,1905.85,1781.05,4703.08,469.83,180.0
2018-11-13,1690.68,1789.68,4382.08,534.78,210.0
2018-11-14,2147.38,1784.15,5076.95,640.5,275.05
2018-11-15,2903.6,1705.9,6157.72,875.25,377.95
2018-11-16,3211.82,1566.08,6490.98,686.75,303.0
2018-11-17,2059.8,1631.3,4789.45,764.0,490.5
2018-11-18,1311.9,1507.32,3518.65,601.25,311.5
2018-11-19,1723.05,1438.5,4080.45,435.75,157.0
2018-11-20,2344.4,1592.18,5187.05,510.5,288.5
2018-11-21,3665.88,1924.68,7545.52,819.75,487.5
2018-11-22,4899.73,2083.11,9596.16,1527.0,941.0
2018-11-23,3974.55,1902.2,7996.6,1245.0,761.5
2018-11-24,1941.67,1676.95,4654.38,853.75,526.5
2018-11-25,1170.32,1223.5,3018.23,616.75,396.5
2018-11-26,1167.8,1290.52,3081.1,577.0,255.98
2018-11-27,2730.7,1756.62,5943.67,558.5,320.64
2018-11-28,1322.9,1471.0,3499.48,411.75,149.68
2018-11-29,1042.0,1345.02,2942.82,440.12,163.7
2018-11-30,1486.82,1714.68,3994.72,602.75,213.5
2018-12-01,1814.45,1820.17,4602.5,342.75,187.25
2018-12-02,790.68,1133.2,2345.27,203.5,58.5
2018-12-03,1276.18,1504.32,3461.35,459.0,189.5
2018-12-04,4384.65,2365.3,9088.3,626.5,276.5
2018-12-05,2742.48,1855.38,6060.1,430.73,226.0
2018-12-06,1231.53,1629.42,3517.7,536.14,166.5
2018-12-07,1141.42,1525.98,3276.62,539.96,131.0
2018-12-08,425.15,1034.38,1686.45,666.54,201.53
2018-12-09,414.63,1043.03,1678.95,643.86,206.53
2018-12-10,1716.25,1829.08,4460.75,899.52,229.44
2018-12-11,3803.9,2289.9,8122.45,967.5,442.25
2018-12-12,2667.38,1973.15,6062.85,670.0,289.25
2018-12-13,3679.3,2113.6,7755.08,701.12,375.5
2018-12-14,3462.45,2005.52,7314.2,930.0,469.0
2018-12-15,1387.22,1402.48,3529.65,542.5,366.77
2018-12-16,1165.65,1700.28,3487.65,466.25,207.23
2018-12-17,1936.0,1910.28,4878.72,722.25,196.5
2018-12-18,1554.7,1545.05,3929.18,608.57,184.5
2018-12-19,1856.32,1985.1,4831.3,519.36,123.0
2018-12-20,1530.45,1821.1,4167.55,497.38,144.5
2018-12-21,771.78,1335.6,2519.18,681.44,228.5
2018-12-22,575.75,1263.47,2146.35,461.5,199.5
2018-12-23,537.4,1171.65,1995.57,276.0,157.0
2018-12-24,1583.9,1545.85,3974.63,530.25,337.0
2018-12-25,1756.92,1548.32,4242.22,525.25,408.0
2018-12-26,829.3,1286.22,2558.2,478.5,352.5
2018-12-27,4428.7,1970.5,8760.9,1067.75,855.75
2018-12-28,3134.1,1723.38,6529.1,840.5,617.0
2018-12-29,652.95,1220.5,2221.65,446.5,243.0
2018-12-30,661.08,1191.33,2204.9,375.75,258.5
2018-12-31,429.75,982.15,1641.25,326.75,150.5
2019-01-01,289.15,868.42,1311.65,361.25,174.5
2019-01-02,542.56,1006.37,1837.87,492.0,179.0
2019-01-03,786.32,1280.38,2485.41,552.75,212.0
2019-01-04,1240.75,1429.59,3331.72,826.5,494.0
2019-01-05,727.18,1243.69,2358.28,604.5,409.0
2019-01-06,789.25,1364.57,2574.26,627.0,338.0
2019-01-07,989.35,1405.92,2922.51,560.25,249.0
2019-01-08,789.34,1219.46,2429.66,596.25,228.0
2019-01-09,775.21,1184.39,2372.64,581.75,202.5
2019-01-10,2469.59,1699.66,5486.26,991.5,538.5
2019-01-11,1582.86,1495.39,3922.31,724.5,381.5
2019-01-12,614.43,1255.28,2197.44,385.0,167.5
2019-01-13,298.63,921.76,1379.87,327.75,140.5
2019-01-14,889.57,1362.48,2726.19,523.0,219.0
2019-01-15,1188.83,1594.06,3416.8,444.25,197.0
2019-01-16,1262.68,1533.65,3469.88,335.0,184.25
2019-01-17,1127.75,1528.68,3257.95,335.13,188.5
2019-01-18,2571.92,2052.68,5996.45,419.97,254.5
2019-01-19,2405.93,1877.58,5566.43,485.83,293.75
2019-01-20,902.3,1392.08,2775.73,661.44,439.5
2019-01-21,3501.85,1988.22,7357.88,815.05,563.25
2019-01-22,2022.9,1952.05,5054.0,605.91,248.0
2019-01-23,1314.33,1475.22,3490.62,783.4,370.5
2019-01-24,3819.79,2328.38,8185.31,792.64,604.0
2019-01-25,2062.6,1870.58,5033.45,606.5,475.5
2019-01-26,619.48,1185.23,2135.05,352.25,159.5
2019-01-27,230.25,713.88,1066.83,343.5,171.5
2019-01-28,1266.22,1611.68,3553.2,571.5,199.75
2019-01-29,2324.9,2130.2,5694.98,739.75,274.6
2019-01-30,2340.98,2032.08,5621.58,1071.25,357.8
2019-01-31,3988.6,2348.05,8463.55,1030.75,472.6
2019-02-01,1663.63,1602.62,4153.88,404.97,304.7
2019-02-02,382.05,903.75,1489.8,424.61,309.8
2019-02-03,1033.05,1530.1,3114.03,418.18,257.75
2019-02-04,1796.12,1599.68,4353.8,361.26,269.5
2019-02-05,2096.25,1696.5,4910.92,370.84,332.5
2019-02-06,2167.07,1810.22,5132.68,403.41,469.25
2019-02-07,885.03,1310.03,2667.2,382.49,206.0
2019-02-08,879.97,1239.2,2588.3,385.57,176.5
2019-02-09,491.05,940.05,1692.95,409.15,204.5
2019-02-10,390.5,1053.4,1652.1,278.97,133.0
2019-02-11,1511.9,1685.0,4003.3,409.3,205.0
2019-02-12,1630.1,1876.45,4375.8,434.13,272.0
2019-02-13,2061.2,1896.68,5057.1,474.45,407.0
2019-02-14,3665.81,2293.78,7914.51,600.28,584.38
2019-02-15,2989.05,2240.6,6823.75,641.61,607.88
2019-02-16,1598.45,1903.52,4354.52,588.18,607.5
2019-02-17,993.75,1622.98,3146.88,576.01,499.5
2019-02-18,1422.7,1729.12,3910.75,453.59,287.5
2019-02-19,1158.03,1643.63,3418.95,436.29,240.0
2019-02-20,1259.95,1625.98,3557.65,428.24,266.0
2019-02-21,1317.52,1759.8,3780.35,509.07,378.0
2019-02-22,3232.6,2149.55,7106.0,678.14,655.5
2019-02-23,2271.57,1817.3,5300.0,620.22,724.5
2019-02-24,2349.07,2069.7,5671.52,704.05,828.5
2019-02-25,4432.0,2754.35,9549.7,879.63,900.0
2019-02-26,4977.66,3087.31,10719.75,996.7,944.0
2019-02-27,4038.27,2978.1,9169.95,967.03,1061.0
2019-02-28,1126.62,1982.28,3709.4,580.86,577.0
2019-03-01,1461.32,1859.45,4099.9,569.68,504.0
2019-03-02,535.6,1217.75,2039.05,400.51,229.75
2019-03-03,312.92,928.62,1408.2,346.84,219.5
2019-03-04,658.53,1345.72,2355.3,323.66,148.5
2019-03-05,1157.87,1731.78,3507.15,347.49,166.5
2019-03-06,1160.73,1492.02,3271.75,378.57,256.5
2019-03-07,659.62,1316.62,2327.82,315.39,179.5
2019-03-08,1389.35,1822.9,3953.52,336.47,191.0
2019-03-09,462.45,1195.05,1904.05,426.55,258.0
2019-03-10,306.4,974.18,1443.7,284.87,154.0
2019-03-11,725.42,1421.9,2534.07,371.45,147.0
2019-03-12,871.83,1463.55,2800.0,320.53,172.0
2019-03-13,526.65,1249.78,2057.52,388.61,204.0
2019-03-14,562.83,1282.45,2145.52,415.03,190.25
2019-03-15,458.25,1115.7,1818.3,337.5,177.0
2019-03-16,341.98,829.9,1354.2,356.5,145.5
2019-03-17,324.18,1036.93,1533.75,253.5,112.5
2019-03-18,1364.98,1930.18,4023.2,633.25,219.5
2019-03-19,1646.95,1935.6,4460.88,677.0,298.75
2019-03-20,1386.42,1829.3,3955.02,533.5,234.5
2019-03-21,2028.56,1835.3,4945.82,678.56,296.5
2019-03-22,1437.47,1773.42,3977.63,511.19,301.5
2019-03-23,862.43,1603.65,2926.0,646.0,293.0
2019-03-24,432.22,1287.07,1949.95,586.0,267.5
2019-03-25,676.82,1346.45,2384.15,630.25,202.0
2019-03-26,1579.05,2143.7,4564.62,871.5,325.0
2019-03-27,1622.43,1941.25,4428.58,696.25,242.75
2019-03-28,2503.28,2465.83,6304.3,883.75,397.58
2019-03-29,2328.22,2459.55,6029.48,1157.75,648.42
2019-03-30,1793.57,2012.68,4762.95,1396.0,926.5
2019-03-31,576.45,1166.65,2050.5,804.0,454.5
2019-04-01,1647.45,1816.2,4342.25,726.5,244.75
2019-04-02,1321.15,1856.98,3882.75,763.0,439.0
