MeasurementDateGMT, PM10 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3)
2019-01-26,379.0,951.1,1084.5,2543.0
2019-01-27,432.0,164.7,418.2,671.0
2019-01-28,645.5,775.0,1204.9,2393.5
2019-01-29,902.0,3209.4,2102.4,7023.8
2019-01-30,635.0,1716.8,1793.0,4425.6
2019-01-31,1221.0,2853.0,1919.7,6293.7
2019-02-01,496.0,276.8,1011.8,1436.1
2019-02-02,802.5,84.1,610.9,739.2
2019-02-03,672.0,1287.7,1428.1,3402.3
2019-02-04,426.0,1962.5,1535.9,4544.9
2019-02-05,527.5,2909.8,1822.8,6285.1
2019-02-06,582.0,2274.0,1738.8,5225.3
2019-02-07,446.0,888.4,1040.5,2403.1
2019-02-08,530.0,1211.0,1173.7,3030.3
2019-02-09,604.0,885.0,976.0,2333.2
2019-02-10,255.0,445.7,889.8,1573.3
2019-02-11,741.0,1380.8,1570.7,3687.8
2019-02-12,751.0,1998.7,1789.6,4854.1
2019-02-13,957.0,2868.2,1944.4,6342.6
2019-02-14,1409.0,4819.9,2595.8,9986.7
2019-02-15,1504.0,5180.8,2790.9,10734.2
2019-02-16,1153.0,2731.5,2048.3,6236.3
2019-02-17,997.0,1802.1,1688.7,4452.1
2019-02-18,635.0,1975.4,1773.6,4803.0
2019-02-19,739.0,1280.6,1422.6,3386.3
2019-02-20,701.0,1853.7,1602.5,4444.9
2019-02-21,758.0,1129.5,1346.3,3078.5
2019-02-22,987.0,2050.8,1851.1,4995.6
2019-02-23,1178.0,2568.1,1990.8,5928.8
2019-02-24,1265.0,2097.9,1922.7,5139.6
2019-02-25,1494.0,3247.9,2538.3,7517.9
2019-02-26,1560.0,3856.3,2852.0,8765.1
2019-02-27,1562.0,4049.7,2657.9,8867.8
2019-02-28,797.0,1222.3,1504.1,3378.7
2019-03-01,1011.0,1655.8,1683.0,4222.5
2019-03-02,617.0,898.8,1173.3,2551.4
2019-03-03,390.0,868.6,1045.1,2377.7
2019-03-04,359.0,780.3,1059.4,2256.25
2019-03-05,529.0,1393.4,1473.5,3610.5
2019-03-06,616.0,1350.9,1184.2,3255.8
2019-03-07,347.0,356.4,585.1,1132.0
2019-03-08,458.0,1279.6,1338.7,3300.4
2019-03-09,776.0,516.3,776.5,1567.6
2019-03-10,350.0,257.9,570.8,966.6
2019-03-11,528.0,846.6,1026.3,2324.8
2019-03-12,412.5,770.5,989.8,2171.1
2019-03-13,622.0,289.0,545.5,988.3
2019-03-14,464.0,319.9,657.6,1148.3
2019-03-15,246.0,359.7,488.5,1040.2
2019-03-16,408.0,578.8,755.5,1643.0
