MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3)
2019-02-21,550.06,1192.59,2036.05,672.51,925.0
2019-02-22,1133.52,1409.17,3147.18,810.84,511.2
2019-02-23,1056.33,1467.17,3086.54,963.28,330.25
2019-02-24,1880.66,1921.1,4804.72,1112.14,53.2
2019-02-25,2611.15,2435.55,6439.08,1372.37,32.8
2019-02-26,3245.24,2501.64,7477.85,1483.76,219.4
2019-02-27,2498.08,2350.63,6181.21,1581.18,255.7
2019-02-28,653.93,1404.2,2407.02,819.17,832.8
2019-03-01,784.2,1407.9,2610.24,870.78,552.4
2019-03-02,372.51,803.57,1374.42,549.77,1343.6
2019-03-03,211.81,525.5,850.36,412.74,1751.0
2019-03-04,415.05,804.25,1440.84,371.44,1366.5
2019-03-05,449.31,945.08,1634.17,363.82,1297.9
2019-03-06,388.07,757.43,1352.85,494.19,1305.9
2019-03-07,333.59,686.12,1197.71,333.65,1399.9
2019-03-08,568.53,1023.71,1895.54,415.3,1093.3
2019-03-09,313.91,749.42,1231.04,589.3,1505.1
2019-03-10,262.34,631.86,1034.01,270.64,1378.0
2019-03-11,445.21,857.09,1539.82,442.68,1266.4
2019-03-12,371.03,743.14,1312.13,419.59,1345.15
2019-03-13,347.42,732.99,1265.67,452.52,1264.2
2019-03-14,362.07,811.42,1366.43,386.31,1247.4
2019-03-15,298.61,627.29,1084.9,268.93,1235.2
2019-03-16,195.49,479.54,779.34,374.99,1640.8
2019-03-17,306.63,762.64,1232.22,233.58,1265.8
2019-03-18,693.32,1297.81,2360.47,438.51,666.3
2019-03-19,588.3,1141.8,2043.88,486.56,675.2
2019-03-20,497.5,1046.35,1809.54,423.58,993.5
2019-03-21,647.9,1086.94,2080.46,488.04,596.3
2019-03-22,536.69,1034.77,1857.57,517.18,920.3
2019-03-23,542.96,1189.26,2021.78,622.27,768.8
2019-03-24,533.92,1316.46,2135.18,592.45,836.4
2019-03-25,511.5,1093.08,1877.31,534.26,1168.55
2019-03-26,1058.8,1794.69,3418.25,751.96,421.9
2019-03-27,1031.98,1837.27,3419.81,623.56,504.1
2019-03-28,942.62,1783.33,3228.83,822.49,699.4
2019-03-29,1010.21,1741.98,3290.85,1078.98,657.6
2019-03-30,1297.9,1743.81,3733.94,1308.98,778.4
2019-03-31,280.9,842.68,1273.29,834.96,1346.8
2019-04-01,500.61,1161.39,1929.01,751.59,932.8
2019-04-02,713.9,1407.79,2502.61,669.25,548.7
2019-04-03,834.29,1493.5,2772.76,548.38,616.4
2019-04-04,370.91,924.15,1492.93,425.61,1151.05
2019-04-05,329.47,908.06,1413.18,544.7,1236.5
2019-04-06,456.97,1150.96,1851.93,590.68,758.2
2019-04-07,542.89,1112.68,1945.13,1076.6,401.6
2019-04-08,906.57,1639.41,3029.15,1122.35,375.2
2019-04-09,705.84,1452.21,2534.71,1046.58,669.3
