MeasurementDateGMT, PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3)
2019-01-26,294.15,122.7,237.28,505.43,868.95,1406.3
2019-01-27,270.51,126.1,108.6,360.35,526.8,1474.3
2019-01-28,494.45,192.4,840.95,1034.35,2324.17,898.5
2019-01-29,355.42,242.3,596.2,1159.33,2073.57,614.2
2019-01-30,419.0,237.3,1432.25,1336.4,3532.7,522.9
2019-01-31,540.53,486.7,1700.95,1171.92,3779.86,546.7
2019-02-01,336.95,292.9,452.25,960.78,1654.38,874.8
2019-02-02,347.54,303.8,300.4,703.05,1163.42,990.9
2019-02-03,413.58,207.5,405.4,905.0,1526.6,761.1
2019-02-04,287.1,164.6,665.15,768.3,1788.5,964.6
2019-02-05,300.04,200.1,371.28,717.3,1286.65,610.1
2019-02-06,311.46,170.06,851.7,994.45,2300.31,850.0
2019-02-07,332.03,223.2,412.12,649.22,1281.28,1543.5
2019-02-08,318.86,216.34,168.35,395.35,653.45,1640.4
2019-02-09,374.29,159.8,121.98,339.35,526.48,1703.1
2019-02-10,183.98,78.2,231.45,613.68,968.9,1302.2
2019-02-11,444.55,171.1,1080.78,1309.55,2966.52,636.9
2019-02-12,493.61,230.13,1062.68,1132.1,2761.55,681.2
2019-02-13,482.62,347.24,404.48,820.58,1440.78,922.8
2019-02-14,783.21,576.79,2345.38,1527.92,5124.15,206.1
2019-02-15,861.18,715.23,2303.48,1489.88,5021.8,381.1
2019-02-16,669.52,587.5,648.58,910.55,1905.05,650.0
2019-02-17,665.56,439.1,228.65,609.6,960.3,1123.5
2019-02-18,392.99,183.2,302.85,724.15,1188.55,1247.9
2019-02-19,446.26,152.3,457.4,778.05,1479.32,1302.1
2019-02-20,459.65,224.65,310.45,687.9,1163.6,1258.6
2019-02-21,535.61,324.2,404.83,863.5,1484.4,1105.2
