MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-12-01,113.35,644.65,818.44,168.2
2018-12-02,53.34,318.84,400.71,88.6
2018-12-03,219.41,578.71,915.35,298.35
2018-12-04,2225.4,1287.58,4699.38,479.8
2018-12-05,409.22,891.25,1518.89,253.1
2018-12-06,116.25,593.56,772.04,188.0
2018-12-07,138.99,434.76,647.84,167.0
2018-12-08,68.62,270.44,375.69,248.0
2018-12-09,141.15,328.75,545.16,184.8
2018-12-10,548.66,972.73,1814.05,318.55
2018-12-11,3492.48,1389.22,6744.39,982.9
2018-12-12,567.34,1051.66,1921.59,559.1
2018-12-13,1027.81,1076.31,2652.39,573.1
2018-12-14,1519.28,1149.74,3479.28,739.1
2018-12-15,174.22,626.34,893.55,470.8
2018-12-16,321.61,990.08,1483.09,271.2
2018-12-17,413.7,998.71,1632.75,307.3
2018-12-18,154.25,550.48,787.0,240.2
2018-12-19,228.98,1027.84,1379.27,127.4
2018-12-20,205.61,838.36,1153.68,216.7
2018-12-21,126.75,506.3,700.51,325.5
2018-12-22,112.2,596.12,768.22,286.8
2018-12-23,161.54,677.32,925.08,191.7
2018-12-24,2136.15,1125.12,4400.66,713.6
2018-12-25,2571.1,1139.46,5081.73,835.2
2018-12-26,647.65,920.79,1914.0,417.0
2018-12-27,5114.7,1388.45,9230.71,939.9
2018-12-28,2111.86,993.1,4231.29,689.2
2018-12-29,378.29,673.7,1253.72,318.6
2018-12-30,259.34,611.26,1008.75,244.7
2018-12-31,158.33,389.31,631.96,194.6
2019-01-01,92.89,379.11,521.36,237.4
2019-01-02,316.46,810.59,1295.76,342.6
2019-01-03,485.76,1080.22,1825.14,473.9
2019-01-04,724.84,1133.53,2244.87,762.0
2019-01-05,249.94,798.15,1181.3,569.7
2019-01-06,343.09,826.78,1352.52,527.4
2019-01-07,184.21,673.08,955.53,334.3
2019-01-08,319.7,674.77,1165.07,438.0
2019-01-09,335.95,792.69,1307.78,318.7
2019-01-10,831.51,1212.92,2488.22,717.9
2019-01-11,509.1,1014.31,1795.09,538.3
2019-01-12,136.39,520.34,729.36,193.2
2019-01-13,97.15,280.64,429.49,177.2
2019-01-14,328.1,776.21,1279.26,376.0
2019-01-15,234.41,961.08,1320.37,251.4
2019-01-16,198.35,753.9,1058.04,177.85
2019-01-17,428.61,940.2,1597.46,384.0
2019-01-18,1571.21,1294.91,3704.15,558.7
2019-01-19,333.55,843.46,1354.91,543.1
2019-01-20,1418.56,1139.65,3314.66,899.6
2019-01-21,2742.09,1314.57,5519.13,945.4
2019-01-22,624.03,1095.6,2052.38,319.1
2019-01-23,1068.14,1117.7,2755.27,547.1
2019-01-24,2670.41,1534.72,5629.31,890.95
2019-01-25,689.14,1042.52,2099.34,423.8
2019-01-26,64.6,519.5,618.56,161.8
2019-01-27,92.11,267.84,408.94,236.2
2019-01-28,765.79,961.95,2136.08,410.6
2019-01-29,1476.64,1436.0,3700.34,366.7
2019-01-30,1331.44,1198.9,3240.5,443.6
2019-01-31,3055.51,1300.12,5985.14,775.1
2019-02-01,284.15,716.68,1152.05,299.3
2019-02-02,183.84,461.48,743.28,358.1
2019-02-03,322.46,888.27,1382.78,310.5
2019-02-04,545.95,957.53,1794.79,283.9
2019-02-05,1147.41,1030.09,2789.67,302.4
2019-02-06,345.19,923.84,1452.77,248.1
2019-02-07,97.56,455.65,605.34,179.8
2019-02-08,84.06,462.95,591.81,174.0
2019-02-09,59.28,304.81,395.56,250.3
2019-02-10,110.7,465.0,634.44,135.9
2019-02-11,1137.1,1187.84,2931.52,445.3
2019-02-12,929.56,1173.71,2599.02,413.9
2019-02-13,482.35,1154.91,1894.57,423.0
2019-02-14,2624.54,1496.16,5520.6,979.6
2019-02-15,2870.73,1578.91,5980.89,1046.7
2019-02-16,619.09,1123.51,2072.84,723.9
2019-02-17,228.29,740.31,1090.76,685.7
2019-02-18,157.3,933.6,1174.75,305.1
2019-02-19,272.75,772.65,1191.06,329.9
2019-02-20,160.0,596.33,841.68,303.1
2019-02-21,189.98,839.56,1130.61,453.1
2019-02-22,550.65,1097.48,1941.94,822.3
2019-02-23,786.59,1038.82,2244.76,946.7
2019-02-24,1500.45,1116.15,3416.8,1176.6
2019-02-25,2280.88,1522.76,5020.26,1229.7
2019-02-26,2455.31,1729.76,5494.51,1284.4
2019-02-27,3114.26,1856.81,6632.04,1513.5
2019-02-28,871.66,936.86,2273.1,777.1
2019-03-01,377.49,845.74,1424.28,688.9
2019-03-02,90.45,493.09,631.69,271.5
2019-03-03,40.19,286.85,348.6,185.6
2019-03-04,130.31,408.03,608.14,163.4
2019-03-05,141.81,613.64,830.82,192.2
2019-03-06,140.14,595.2,810.08,230.5
2019-03-07,113.76,356.82,531.08,172.4
2019-03-08,238.12,637.28,1002.24,198.6
2019-03-09,88.66,367.62,503.71,344.4
2019-03-10,89.67,328.59,466.12,233.0
2019-03-11,165.45,432.71,686.15,286.0
2019-03-12,124.31,532.44,722.85,173.0
2019-03-13,148.16,302.08,529.19,298.6
2019-03-14,124.46,387.1,577.94,229.1
2019-03-15,123.78,326.25,516.15,160.5
2019-03-16,45.55,207.36,277.18,174.7
2019-03-17,112.22,360.41,532.45,136.7
2019-03-18,535.03,778.26,1598.89,320.0
2019-03-19,510.38,992.11,1774.78,397.7
2019-03-20,125.25,617.24,809.05,289.85
2019-03-21,390.38,663.51,1261.92,378.15
2019-03-22,172.74,687.24,951.95,304.3
2019-03-23,226.59,726.91,1074.75,474.1
2019-03-24,336.22,652.58,1168.36,464.3
2019-03-25,438.95,708.64,1381.61,412.3
2019-03-26,1388.84,1170.84,3300.59,655.0
2019-03-27,848.6,1147.45,2448.49,429.33
2019-03-28,486.04,1171.16,1916.58,679.32
2019-03-29,1285.43,1337.11,3308.15,1222.18
2019-03-30,843.78,1020.78,2314.65,1188.24
2019-03-31,78.01,380.62,500.39,434.2
2019-04-01,260.56,719.23,1118.89,473.4
2019-04-02,710.49,1019.34,2108.48,754.33
2019-04-03,547.95,1030.34,1870.61,537.05
2019-04-04,261.62,753.51,1154.71,366.8
2019-04-05,232.61,672.45,1029.02,478.0
2019-04-06,146.56,494.74,719.41,426.6
2019-04-07,142.69,423.41,642.03,1258.3
2019-04-08,649.28,853.26,1848.88,1455.2
2019-04-09,282.93,717.96,1152.0,1155.75
2019-04-10,214.32,570.74,899.46,536.7
2019-04-11,254.19,821.79,1211.29,494.7
2019-04-12,292.24,896.04,1344.22,559.3
2019-04-13,171.08,663.89,926.22,529.7
2019-04-14,127.2,686.91,882.18,697.2
2019-04-15,323.74,906.82,1403.08,1141.0
2019-04-16,507.19,1192.86,1970.32,1550.5
2019-04-17,340.7,877.71,1400.57,1559.9
2019-04-18,342.5,990.79,1516.08,1525.3
2019-04-19,220.54,957.21,1295.42,1046.8
2019-04-20,186.15,835.1,1120.61,1015.7
2019-04-21,155.11,888.78,1126.68,1167.4
2019-04-22,140.55,1117.1,1332.46,1481.1
2019-04-23,397.98,1283.75,1893.88,1098.0
2019-04-24,255.0,836.69,1227.7,784.8
2019-04-25,116.41,589.7,767.97,201.15
2019-04-26,173.52,609.42,875.65,324.4
2019-04-27,86.09,232.18,364.2,270.8
2019-04-28,123.14,365.7,554.43,320.4
2019-04-29,379.63,791.01,1372.79,562.8
2019-04-30,324.81,817.81,1315.71,704.5
2019-05-01,382.22,873.79,1459.52,752.8
2019-05-02,259.48,633.74,1031.6,432.5
2019-05-03,358.51,677.81,1227.47,392.2
2019-05-04,124.78,294.65,486.02,294.7
2019-05-05,99.09,428.24,580.34,383.5
2019-05-06,116.0,424.65,602.74,274.1
2019-05-07,148.3,780.08,1007.25,403.2
2019-05-08,196.91,722.02,1024.21,329.3
2019-05-09,505.06,664.19,1438.51,442.1
2019-05-10,224.06,649.2,992.71,420.9
2019-05-11,196.53,599.21,900.5,480.3
2019-05-12,288.01,542.3,983.76,322.6
2019-05-13,370.28,708.35,1275.43,368.5
2019-05-14,225.09,597.16,942.19,358.8
2019-05-15,215.55,718.21,1048.8,576.2
2019-05-16,201.34,641.38,950.16,436.15
2019-05-17,225.55,593.35,938.81,434.3
2019-05-18,275.91,666.98,1090.12,502.1
2019-05-19,253.4,560.26,949.12,529.0
