MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-10-16,911.5,989.2,2386.7,611.0,360.9
2018-10-17,1116.25,1185.0,2896.65,414.05,233.2
2018-10-18,233.1,547.3,904.9,301.25,156.6
2018-10-19,1260.6,1047.55,2980.1,498.1,280.5
2018-10-20,2643.35,1417.94,5470.86,855.4,536.0
2018-10-21,977.55,1014.78,2513.62,576.8,404.4
2018-10-22,774.3,755.3,1942.45,379.35,183.5
2018-10-23,330.65,818.5,1325.7,391.85,188.0
2018-10-24,345.05,850.85,1380.2,403.05,216.6
2018-10-25,456.5,904.95,1604.6,418.4,258.8
2018-10-26,144.6,681.75,903.45,217.6,120.2
2018-10-27,60.3,312.25,404.6,111.8,59.3
2018-10-28,138.9,323.3,536.0,119.6,49.2
2018-10-29,296.1,461.05,915.3,130.25,61.5
2018-10-30,191.45,616.05,909.8,258.8,172.2
2018-10-31,954.72,1093.85,2557.88,434.7,338.2
2018-11-01,1034.1,1104.55,2689.85,349.05,228.7
2018-11-02,2255.1,1561.2,5019.05,668.95,416.8
2018-11-03,871.15,1271.35,2607.05,626.95,337.5
2018-11-04,420.55,914.2,1559.25,604.5,426.8
2018-11-05,796.25,842.9,2063.75,1098.95,880.2
2018-11-06,908.2,875.3,2267.75,641.25,488.3
2018-11-07,525.67,694.85,1500.82,263.3,113.5
2018-11-08,759.55,1086.0,2250.9,421.8,175.7
2018-11-09,467.4,760.75,1477.35,363.25,163.3
2018-11-10,819.9,1102.0,2359.55,367.4,141.6
2018-11-11,591.7,942.0,1848.9,279.4,78.5
2018-11-12,998.9,1214.85,2746.55,335.6,125.5
2018-11-13,985.8,1193.7,2705.15,457.2,180.1
2018-11-14,934.25,1197.65,2630.05,513.25,231.9
2018-11-15,1085.5,964.0,2628.4,695.0,430.7
2018-11-16,409.65,637.9,1266.0,308.2,233.6
2018-11-17,284.35,790.3,1226.6,567.15,407.7
2018-11-18,128.2,572.75,769.4,428.9,272.6
2018-11-19,94.9,337.05,482.85,175.2,55.9
2018-11-20,229.85,576.45,928.85,327.45,259.9
2018-11-21,1214.1,1032.25,2893.6,615.3,488.9
2018-11-22,2723.05,1231.85,5406.8,1041.0,915.1
2018-11-23,663.15,1019.15,2035.95,801.9,646.4
2018-11-24,305.7,887.7,1356.45,616.2,475.4
2018-11-25,99.05,488.85,640.75,459.8,336.1
2018-11-26,130.8,611.1,811.5,325.9,214.4
2018-11-27,969.75,1033.5,2520.6,422.35,313.0
2018-11-28,511.65,879.8,1664.5,261.05,110.7
2018-11-29,467.05,787.1,1502.9,313.65,114.6
2018-11-30,876.5,1150.65,2494.4,448.55,171.1
2018-12-01,689.65,1072.1,2129.7,247.8,92.1
2018-12-02,328.45,553.5,1056.8,151.55,68.6
2018-12-03,348.45,766.05,1299.95,362.95,178.4
2018-12-04,2300.7,1650.75,5178.05,666.9,395.4
2018-12-05,833.85,1046.08,2324.72,297.15,151.0
2018-12-06,547.85,885.15,1725.1,271.75,138.4
2018-12-07,327.9,682.2,1184.9,203.2,83.4
2018-12-08,166.55,461.3,716.65,320.0,152.9
2018-12-09,76.3,369.15,485.8,195.2,96.3
2018-12-10,430.55,1202.1,1862.0,373.45,181.6
2018-12-11,2685.05,1524.4,5641.85,828.0,528.5
2018-12-12,398.45,1030.7,1641.9,503.2,302.2
2018-12-13,436.0,988.05,1656.45,505.9,398.2
2018-12-14,1543.9,1342.2,3709.7,833.95,543.3
2018-12-15,403.15,729.35,1347.6,486.9,397.2
2018-12-16,1009.6,1319.6,2867.7,341.95,166.8
2018-12-17,1183.05,1290.75,3104.9,437.0,208.6
2018-12-18,454.15,763.45,1459.45,369.55,128.4
2018-12-19,1033.7,1357.8,2942.85,344.65,155.8
2018-12-20,889.05,1120.5,2483.8,380.7,139.3
2018-12-21,289.85,675.45,1119.95,395.95,167.6
2018-12-22,216.05,730.65,1061.75,363.35,174.9
2018-12-23,238.1,696.1,1060.95,217.3,124.8
2018-12-24,1851.25,1240.2,4078.4,593.6,398.15
2018-12-25,1318.25,1221.5,3242.5,538.25,409.8
2018-12-26,930.55,1060.3,2487.3,511.1,346.9
2018-12-27,3936.45,1485.25,7521.3,1049.0,731.9
2018-12-28,2857.9,1537.7,5919.8,922.9,726.9
2018-12-29,347.25,872.5,1405.1,352.65,208.5
2018-12-30,386.35,874.05,1466.6,302.25,198.8
2018-12-31,74.0,447.95,561.35,203.7,143.1
2019-01-01,27.7,348.98,391.38,311.3,193.0
2019-01-02,38.9,501.45,561.38,332.75,153.5
2019-01-03,119.2,726.3,909.3,406.95,259.0
2019-01-04,382.6,1104.85,1691.8,686.5,533.7
2019-01-05,63.8,698.15,795.45,529.9,421.9
2019-01-06,179.9,1013.9,1289.9,540.1,364.1
2019-01-07,276.7,947.25,1372.05,461.85,249.9
2019-01-08,44.65,448.65,516.8,323.6,116.2
2019-01-09,47.85,500.75,574.2,264.4,119.3
2019-01-10,722.0,1205.45,2312.6,740.5,562.3
2019-01-11,237.7,962.75,1327.55,475.25,354.5
2019-01-12,134.0,718.25,923.85,234.15,136.9
2019-01-13,38.6,357.8,417.45,190.5,105.15
2019-01-14,150.6,776.95,1008.2,352.6,149.0
2019-01-15,623.85,1141.25,2097.8,341.3,152.6
2019-01-16,604.45,994.65,1921.95,241.5,101.6
2019-01-17,212.15,857.6,1182.95,276.75,140.9
2019-01-18,1919.2,1663.5,4606.1,677.6,333.8
2019-01-19,290.8,853.55,1299.2,482.9,296.9
2019-01-20,609.5,1021.65,1955.95,716.55,608.0
2019-01-21,2751.2,1624.35,5842.7,1129.65,915.8
2019-01-22,577.2,1168.2,2053.15,378.12,223.6
2019-01-23,222.9,697.85,1039.9,365.7,309.3
2019-01-24,2461.4,1809.35,5583.25,744.85,619.8
2019-01-25,1344.5,1447.5,3508.88,527.65,444.0
2019-01-26,314.5,687.85,1169.95,258.05,123.4
2019-01-27,38.85,238.6,298.4,228.15,92.3
2019-01-28,534.7,887.1,1707.15,348.8,154.1
2019-01-29,1824.0,1689.25,4486.15,586.05,282.6
2019-01-30,1608.05,1447.55,3913.2,454.05,334.2
2019-01-31,2192.9,1242.8,4604.75,613.8,464.6
2019-02-01,183.7,591.9,873.7,306.3,248.5
2019-02-02,44.1,327.4,394.95,279.25,218.0
2019-02-03,701.1,1106.05,2180.95,452.3,228.2
2019-02-04,1078.98,1195.08,2849.2,299.83,173.9
2019-02-05,1299.9,1309.95,3303.8,360.9,255.4
2019-02-06,1116.45,1373.9,3085.45,411.05,185.2
2019-02-07,310.15,646.15,1121.85,329.9,135.4
2019-02-08,305.18,557.85,1025.95,274.55,121.0
2019-02-09,250.9,530.25,915.45,350.7,160.0
2019-02-10,178.4,685.35,959.1,156.9,77.5
2019-02-11,721.1,1129.28,2235.05,364.7,178.7
2019-02-12,1889.25,1505.8,4402.6,670.6,306.5
2019-02-13,1208.55,1402.5,3255.55,721.45,356.1
2019-02-14,1903.05,1582.15,4500.5,909.4,611.5
2019-02-15,2178.05,1804.2,5143.7,1190.6,759.4
2019-02-16,1817.6,1600.95,4387.75,983.35,670.7
2019-02-17,473.45,968.9,1694.75,789.2,481.2
2019-02-18,1037.6,1336.6,2927.3,466.55,237.9
2019-02-19,476.0,1008.8,1738.8,509.6,189.7
2019-02-20,566.25,951.35,1819.5,531.25,233.6
2019-02-21,802.55,1220.1,2450.35,680.9,397.2
2019-02-22,841.45,1268.65,2558.9,717.7,501.2
2019-02-23,885.85,1226.65,2584.55,800.45,610.4
2019-02-24,1250.15,1369.75,3286.95,1026.0,874.8
2019-02-25,1708.2,1638.25,4257.5,1122.25,963.2
2019-02-26,1815.15,1846.4,4629.75,1244.15,961.1
2019-02-27,3054.15,2092.1,6775.3,1599.65,1124.4
2019-02-28,1214.45,1206.3,3068.4,823.8,573.4
2019-03-01,587.2,1021.05,1921.4,859.95,616.3
2019-03-02,399.3,777.0,1389.05,444.1,204.0
2019-03-03,191.55,457.35,751.1,244.4,93.0
2019-03-04,232.0,630.2,985.5,264.9,98.8
2019-03-05,503.7,942.6,1715.1,364.38,137.6
2019-03-06,475.5,824.3,1553.35,426.2,178.2
2019-03-07,207.65,572.12,890.65,261.92,84.1
2019-03-08,594.1,1012.5,1923.2,356.2,150.9
2019-03-09,196.3,606.0,907.1,429.8,200.7
2019-03-10,93.4,417.65,560.7,175.3,98.7
2019-03-11,290.35,644.2,1089.2,328.5,121.1
2019-03-12,291.85,654.1,1101.85,248.1,95.2
2019-03-13,104.3,442.95,603.35,349.65,133.9
2019-03-14,139.4,499.7,713.65,249.75,115.0
2019-03-15,139.65,476.75,691.0,185.3,75.4
2019-03-16,231.7,462.8,818.2,273.7,148.1
2019-03-17,165.7,541.1,794.85,145.8,64.6
2019-03-18,744.45,1108.6,2250.2,447.4,203.9
2019-03-19,1260.9,1408.25,3341.4,528.55,281.8
2019-03-20,739.6,1141.15,2275.2,485.95,257.0
2019-03-21,843.7,1064.0,2357.6,482.1,275.5
2019-03-22,844.2,1212.05,2506.5,769.45,877.5
2019-03-23,200.0,794.55,1101.4,464.7,272.7
2019-03-24,161.45,577.85,825.55,409.3,267.3
2019-03-25,177.95,584.65,857.45,368.45,159.2
2019-03-26,1113.5,1245.9,2953.4,734.35,407.3
2019-03-27,423.0,1096.6,1745.2,473.05,271.6
2019-03-28,502.05,1190.4,1959.8,624.05,418.7
2019-03-29,1231.15,1549.0,3436.8,1126.7,801.1
2019-03-30,836.05,1325.45,2607.25,1322.0,1076.0
2019-03-31,47.85,378.85,452.6,694.8,484.7
2019-04-01,121.8,569.65,756.2,493.65,248.5
2019-04-02,933.0,1221.35,2652.12,642.9,417.2
2019-04-03,543.3,1255.15,2088.1,395.0,276.0
2019-04-04,409.95,1009.6,1637.9,376.6,192.6
2019-04-05,187.65,729.55,1017.45,460.6,283.4
2019-04-06,81.15,456.35,580.7,386.2,244.5
2019-04-07,156.25,437.15,676.55,996.45,895.0
2019-04-08,312.6,951.75,1431.4,1075.0,935.7
2019-04-09,155.15,593.1,831.15,859.75,643.1
2019-04-10,118.65,426.2,607.6,419.7,184.7
2019-04-11,144.3,562.5,783.35,362.55,205.4
2019-04-12,132.1,583.45,785.75,378.6,258.3
2019-04-13,168.8,630.5,889.8,371.15,256.7
2019-04-14,69.15,491.55,597.85,511.0,387.0
2019-04-15,139.3,709.65,923.05,871.5,695.7
2019-04-16,394.9,1282.55,1888.05,1153.8,906.7
2019-04-17,258.65,882.05,1278.65,1361.55,1094.2
2019-04-18,213.3,933.0,1259.85,1150.0,916.4
2019-04-19,230.95,976.6,1331.1,934.2,706.0
2019-04-20,142.85,847.25,1066.45,907.05,742.9
2019-04-21,145.95,849.0,1072.65,1066.9,900.1
2019-04-22,74.25,1000.25,1114.3,1427.55,1284.9
2019-04-23,207.8,1122.55,1441.15,952.65,698.5
2019-04-24,335.95,1026.25,1541.7,802.25,463.4
2019-04-25,441.8,960.3,1637.65,358.7,128.5
2019-04-26,460.0,874.0,1579.15,386.55,133.1
2019-04-27,96.75,354.2,502.45,298.8,93.2
2019-04-28,31.55,318.0,366.5,262.05,141.3
