Year,Borough, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Sulphur Dioxide (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3), PM2.5 Particulate (ug/m3), Carbon Monoxide (mg/m3)
2019,Lewisham,451.241123287671,776.7991780821911,1600.2230479452066,,447.19867579908674,1197.2106849315076,294.58972602739703,
2020,Lewisham,304.50806010928966,610.2729781420765,1207.4271516393437,,387.50903781589324,1356.4889344262276,263.03845628415297,
2021,Lewisham,238.85767955801103,616.8813812154697,1109.571685082873,,458.5737135877517,1432.4187845303861,312.6140883977901,
2018,Merton,1025.276712328767,1141.3816438356164,2713.2790410958924,,920.2945205479454,,,
2019,Merton,1073.5221917808226,1214.6323287671232,2860.6512328767117,,674.6589041095891,,,
2020,Merton,650.5750514450116,769.1114098967518,1766.2779455372474,,627.7472677595629,,,
2021,Merton,541.701000945446,529.382729159055,1359.3592372009225,,578.7209944751382,,,
2018,Newham,249.39527397260275,679.4389726027396,1061.8234246575341,,453.2424657534247,,,
2019,Newham,241.76664383561658,687.2083561643838,1057.8959589041096,,433.7486301369862,,,
2020,Newham,155.65437158469942,506.9497950819672,745.4143442622953,,455.60295493674676,,,
2021,Newham,125.9015193370166,512.9820441988949,706.025276243094,,476.5666767577386,,,
2018,Redbridge,434.5768493150685,810.5534931506845,1476.654863013698,,434.6452054794521,1013.9759326121172,235.69715990777166,
2019,Redbridge,416.6757534246575,808.0404109589039,1446.929383561644,,425.753287671233,944.7728345111689,188.3905113251051,
2020,Redbridge,280.32896174863413,578.6917349726773,1008.5043715846994,,386.0370218579235,1088.122540983606,250.4945355191257,
2021,Redbridge,286.1669889502762,602.5320441988949,1041.3219613259666,,343.08149171270725,957.7301104972379,326.1574585635359,
2018,Richmond upon Thames,372.8902283105023,684.8501826484018,1256.6656164383564,,390.5147804286556,1107.6516438356161,273.91328767123264,
2019,Richmond upon Thames,358.9526484018263,669.9168036529682,1220.2858447488582,,379.0667606672347,1065.9173972602741,283.8334246575341,
2020,Richmond upon Thames,155.23738615664843,399.6917122040072,637.7314663023695,,350.68804644808745,1226.680327868852,196.46612021857925,
2021,Richmond upon Thames,81.57440147329653,317.97007366482495,443.0418047882137,,332.29661602209944,1249.1955801104966,228.4281767955801,
2018,Southwark,375.8095890410968,694.190684931507,1270.695159817351,,491.95280821917834,961.0480821917807,,
2019,Southwark,430.8408219178081,762.9873515981736,1423.686529680365,,483.8989304531086,921.7067123287666,,
2020,Southwark,333.8527777777778,669.3668488160291,1181.2651183970856,,433.4104245481294,968.9166666666664,,
2021,Southwark,334.20349907918967,674.0297421731124,1186.476519337016,,442.35524861878446,1266.8107734806633,,
2018,Sutton,807.419406392694,1022.8606392694059,2260.8905936073065,,517.2272602739727,,282.06164383561645,
2019,Sutton,769.7157990867578,1004.6039269406391,2184.831826484018,,527.2629787798551,,280.2287671232877,
2020,Sutton,567.9745827579453,842.0418780601925,1712.956668314974,,462.0853717996892,,224.5655737704918,
2021,Sutton,464.72432436791246,799.6416535725749,1512.3138640702734,,407.1023020257826,,246.62707182320443,
2018,Tower Hamlets,938.8763698630141,1175.720616438356,2615.3061643835617,,578.6058904109593,665.9800000000002,317.2438356164385,
2019,Tower Hamlets,727.0056164383559,993.9556849315073,2108.675753424657,,509.73835616438333,557.0635616438354,286.63876712328755,
2020,Tower Hamlets,462.800956284153,770.4419398907103,1480.0491803278678,,403.45409836065585,825.5118852459027,230.53907103825154,
2021,Tower Hamlets,429.28991712707176,777.9256906077344,1436.1596685082875,,420.39751381215467,835.0417127071825,260.34419889502726,
2018,Wandsworth,861.3869238636058,1177.3732940149707,2499.4224889369043,,531.7738356164382,815.7279452054792,,
2019,Wandsworth,811.4369704612473,1146.2358449282772,2390.2275306325673,,551.4761643835616,337928.4686301368,,
2020,Wandsworth,579.899824355972,897.5560499609677,1786.7247853239655,,482.6560382513661,1251.1517759562842,,
2021,Wandsworth,536.7625098658249,887.3837016574587,1710.3779400157855,,496.0150828729282,452.02596685082887,,
2018,Westminster,1367.9257534246585,1529.155520547946,3626.0504109589033,126.43520547945204,705.4645479452054,490.7768493150684,313.1281916305628,7.717945205479452
2019,Westminster,865.3195205479448,1222.9763013698625,2533.215835616439,97.12452054794512,527.2520273972602,527.9749315068497,299.6570138488895,7.333835616438356
2020,Westminster,395.61166542473904,794.7753452558369,1401.3042250372596,50.93046448087431,434.34948087431695,735.7747267759562,228.87226775956287,5.997540983606563
2021,Westminster,298.23124560522353,737.4636664992469,1206.3886112506277,83.25193370165746,471.3751381215469,807.9162983425415,274.6375690607735,16.595856353591156
